state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Florida,1978,0,8,8,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,25,26,NA,NA,NA,0,16,16,NA,NA,NA
Florida,1979,0,7,7,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,27,28,NA,NA,NA,0,23,23,NA,NA,NA
Florida,1980,0,8,8,0,5,5,NA,NA,NA,0,0,0,NA,NA,NA,0,30,30,NA,NA,NA,1,14,15,NA,NA,NA
Florida,1981,0,4,4,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA,0,29,29,NA,NA,NA,1,3,4,NA,NA,NA
Florida,1982,0,6,6,0,5,5,NA,NA,NA,0,0,0,NA,NA,NA,0,36,36,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1983,0,7,7,0,2,2,NA,NA,NA,0,1,1,NA,NA,NA,1,42,43,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1984,0,5,5,0,3,3,NA,NA,NA,0,8,8,NA,NA,NA,0,45,45,NA,NA,NA,0,7,7,NA,NA,NA
Florida,1985,0,1,1,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,0,39,39,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1986,0,5,5,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,2,50,52,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1987,0,4,4,0,3,3,NA,NA,NA,0,1,1,NA,NA,NA,3,61,64,NA,NA,NA,0,6,6,NA,NA,NA
Florida,1988,0,4,4,0,1,1,NA,NA,NA,0,2,2,NA,NA,NA,5,76,81,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1989,0,2,2,0,6,6,NA,NA,NA,0,2,2,NA,NA,NA,2,88,90,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1990,0,3,3,0,2,2,NA,NA,NA,0,4,4,NA,NA,NA,4,85,89,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1991,0,2,2,0,4,4,1,50,51,0,3,3,NA,NA,NA,1,62,63,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1992,0,0,0,0,2,2,2,65,67,0,2,2,NA,NA,NA,0,60,60,NA,NA,NA,0,6,6,NA,NA,NA
Florida,1993,0,3,3,0,1,1,1,78,79,0,3,3,NA,NA,NA,1,75,76,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1994,0,4,4,0,2,2,1,128,129,0,1,1,NA,NA,NA,5,78,83,NA,NA,NA,0,11,11,NA,NA,NA
Florida,1995,0,9,9,0,1,1,7,143,150,0,3,3,NA,NA,NA,4,83,87,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1996,0,4,4,0,2,2,4,120,124,0,2,2,NA,NA,NA,5,105,110,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1997,0,3,3,3,2,5,4,104,108,0,1,1,NA,NA,NA,4,117,121,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1998,0,5,5,0,1,1,3,58,61,1,3,4,NA,NA,NA,8,122,130,NA,NA,NA,2,4,6,NA,NA,NA
Florida,1999,NA,NA,NA,0,2,2,6,47,53,0,1,1,0,1,1,5,105,110,0,1,1,0,6,6,11,166,177
Florida,2e3,NA,NA,NA,0,1,1,3,45,48,0,6,6,0,4,4,7,123,130,0,0,0,1,7,8,11,186,197
Florida,2001,NA,NA,NA,0,0,0,3,35,38,0,1,1,0,2,2,3,135,138,0,0,0,0,3,3,6,177,183
Florida,2002,NA,NA,NA,1,4,5,4,32,36,1,2,3,0,1,1,5,127,132,0,0,0,0,8,8,12,175,187
Florida,2003,NA,NA,NA,0,1,1,3,39,42,0,3,3,0,4,4,7,142,149,0,0,0,1,4,5,13,211,224
Florida,2004,NA,NA,NA,0,1,1,2,15,17,0,2,2,0,2,2,8,168,176,NA,NA,NA,0,4,4,12,218,230
Florida,2005,NA,NA,NA,NA,4,NA,1,13,14,NA,1,NA,NA,2,NA,11,209,220,NA,NA,NA,NA,7,NA,12,236,248
Florida,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
