state,year,population,population_adult,population_adult_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Indiana,2016,6633053,5057836,4137541,NA,NA,NA,2664,26336,29e3,NA,NA,NA
Indiana,2015,6619680,5041017,4144444,NA,NA,NA,2863,27157,30020,NA,NA,NA
Indiana,2014,6596855,5014663,4147984,NA,NA,NA,2868,27649,30517,NA,NA,NA
Indiana,2013,6570902,4985428,4144789,NA,NA,NA,2885,28032,30917,NA,NA,NA
Indiana,2012,6537334,4947700,4134790,NA,NA,NA,2666,27017,29683,NA,NA,NA
Indiana,2011,6516922,4921885,4121239,NA,NA,NA,2704,27820,30524,NA,NA,NA
Indiana,2010,6490621,4886036,4098945,NA,NA,NA,2683,26891,29574,NA,NA,NA
Indiana,2009,6423113,4836993,4067156,NA,NA,NA,2579,26499,29078,NA,NA,NA
Indiana,2008,6376792,4794072,4034513,NA,NA,NA,2373,24711,27084,NA,NA,NA
Indiana,2007,6345289,4751401,4018322,NA,NA,NA,2129,22860,24989,NA,NA,NA
Indiana,2006,6313520,4728787,4004157,NA,NA,NA,2117,22691,24808,NA,NA,NA
Indiana,2005,6081212,4483771,3805819,NA,NA,NA,2154,22013,24167,1283,16307,17590
Indiana,2004,6058172,4458244,3786739,NA,NA,NA,1989,20789,22778,1211,15526,16737
Indiana,2003,6021480,4419110,3752996,NA,NA,NA,1817,21054,22871,1123,15632,16755
Indiana,2002,5985228,4401277,3731166,NA,NA,NA,1661,19378,21039,1123,14736,15859
Indiana,2001,5934871,4452695,3800964,NA,NA,NA,1564,18964,20528,1123,14288,15411
Indiana,2000,5839634,4294738,3641917,NA,NA,NA,1540,18289,19829,1123,14260,15383
Indiana,1999,5810504,4273798.399999999,3621784.8000000017,NA,NA,NA,1317,16627,17944,1123,14260,15383
Indiana,1998,5781373,4252858.8,3601652.6000000015,NA,NA,NA,NA,NA,17119,NA,NA,13983
Indiana,1997,5752242,4231919.2,3581520.4000000013,NA,NA,NA,NA,NA,16892,NA,NA,13611
Indiana,1996,5723112,4210979.600000001,3561388.200000001,NA,NA,NA,NA,NA,15730,NA,NA,13611
Indiana,1995,5693982,4190040.0000000005,3541256.000000001,NA,NA,NA,NA,NA,15490,NA,NA,12539
Indiana,1994,5664851,4169100.4000000004,3521123.8000000007,NA,NA,NA,NA,NA,14711,NA,NA,12539
Indiana,1993,5635720,4148160.8000000003,3500991.6000000006,NA,NA,NA,NA,NA,14289,NA,NA,12255
Indiana,1992,5606590,4127221.2,3480859.4000000004,NA,NA,NA,NA,NA,13817,NA,NA,11983
Indiana,1991,5577460,4106281.6,3460727.2,NA,NA,NA,NA,NA,14211,NA,NA,11934
Indiana,1990,5548329,4085342,3440595,NA,NA,NA,NA,NA,NA,NA,NA,10861
Indiana,1989,5542780,4063843.8000000017,3429201.5,NA,NA,NA,NA,NA,NA,NA,NA,9101
Indiana,1988,5537231,4042345.6000000015,3417808,NA,NA,NA,NA,NA,NA,NA,NA,10412
Indiana,1987,5531682,4020847.4000000013,3406414.5,NA,NA,NA,NA,NA,NA,NA,NA,9802
Indiana,1986,5526133,3999349.200000001,3395021,NA,NA,NA,NA,NA,NA,NA,NA,8710
Indiana,1985,5520585,3977851.000000001,3383627.5,NA,NA,NA,NA,NA,NA,NA,NA,6628
Indiana,1984,5515036,3956352.8000000007,3372234,NA,NA,NA,NA,NA,6259,NA,NA,6259
Indiana,1983,5509487,3934854.6000000006,3360840.5,NA,NA,NA,NA,NA,6424,NA,NA,6424
