state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Pennsylvania,1983,NA,NA,9517,NA,NA,NA,NA,NA,NA
Pennsylvania,1984,NA,NA,10025,NA,NA,NA,NA,NA,NA
Pennsylvania,1985,NA,NA,10690,NA,NA,NA,NA,NA,NA
Pennsylvania,1986,NA,NA,11048,NA,NA,NA,NA,NA,NA
Pennsylvania,1987,NA,NA,12447,NA,NA,NA,NA,NA,NA
Pennsylvania,1988,NA,NA,12972,NA,NA,NA,NA,NA,NA
Pennsylvania,1989,NA,NA,13616,NA,NA,NA,NA,NA,NA
Pennsylvania,1990,NA,NA,14338,NA,NA,NA,NA,NA,NA
Pennsylvania,1991,NA,NA,15915,NA,NA,NA,NA,NA,NA
Pennsylvania,1992,NA,NA,16713,NA,NA,NA,NA,NA,NA
Pennsylvania,1993,NA,NA,18844,NA,NA,NA,NA,NA,NA
Pennsylvania,1994,NA,NA,20455,NA,NA,20455,NA,NA,20455
Pennsylvania,1995,NA,NA,NA,NA,NA,20970,NA,NA,NA
Pennsylvania,1996,NA,NA,22170,NA,NA,21740,NA,NA,NA
Pennsylvania,1997,NA,NA,23156,NA,NA,22875,NA,NA,NA
Pennsylvania,1998,NA,NA,24247,NA,NA,30992,NA,NA,24247
Pennsylvania,1999,1279,23949,NA,1464,30920,NA,1279,23949,NA
Pennsylvania,2e3,1459,24321,NA,1723,31457,NA,1459,24231,NA
Pennsylvania,2001,1538,24648,NA,1802,31955,NA,1802,31955,NA
Pennsylvania,2002,1478,25635,NA,1734,32849,NA,1734,32849,NA
Pennsylvania,2003,1497,24996,NA,1754,32486,NA,1754,32486,NA
Pennsylvania,2004,2162,35408,NA,2162,35408,NA,2162,35408,NA
Pennsylvania,2005,2090,36257,NA,2090,36257,NA,2090,36257,NA
Pennsylvania,2006,2090,36457,NA,2090,36457,NA,2090,36457,NA
Pennsylvania,2007,2280,39412,NA,2280,39412,NA,2280,39412,NA
Pennsylvania,2008,2769,40529,NA,2769,40529,NA,2769,40529,NA
Pennsylvania,2009,2577,41007,NA,2577,41007,NA,2577,41007,NA
Pennsylvania,2010,2615,41222,NA,2615,41222,NA,2615,41222,NA
Pennsylvania,2011,2773,45603,NA,2773,45603,NA,2773,45603,NA
Pennsylvania,2012,2795,45784,NA,2795,45784,NA,2795,45784,NA
Pennsylvania,2013,2730,45050,NA,2730,45050,NA,2730,45050,NA
Pennsylvania,2014,2757,45188,NA,2757,45188,NA,2757,45188,NA
Pennsylvania,2015,2734,45291,NA,2734,45291,NA,2734,45291,NA
Pennsylvania,2016,2723,44901,NA,2723,44901,NA,2723,44901,NA
