state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Utah,2016,2130119,1834043,3051217,1511732,1539485,1066e3,1064119,905760,928283,0,0,0,1,3,4,353,2287,2640,0,0,0,0,0,0,184,701,885,0,0,0,0,0,0,540,3071,3611,0,0,0,0,0,0,1,59,60
Utah,2015,2084167,1799650,2995919,1484834,1511085,1045462,1038705,892624,907026,0,0,0,1,2,3,376,1887,2263,0,0,0,0,0,0,178,818,996,0,0,0,0,0,0,556,2790,3346,0,0,0,0,0,0,0,67,67
Utah,2014,2037753,1767048,2942902,1464140,1478762,1024043,1013710,876070,890978,0,0,0,0,0,0,331,1636,1967,0,0,0,0,0,0,182,729,911,0,0,0,0,0,0,515,2464,2979,0,0,0,0,0,0,2,75,77
Utah,2013,2003461,1744933,2900872,1438422,1462450,1005827,997634,866879,878054,0,0,0,1,0,1,339,1589,1928,0,0,0,0,0,0,177,809,986,0,0,0,0,0,0,519,2469,2988,0,0,0,0,0,0,1,47,48
Utah,2012,1969769,1721756,2855287,1415657,1439630,988836,980933,854875,866881,0,0,0,0,0,0,281,1505,1786,0,0,0,0,0,0,229,985,1214,0,0,0,0,0,0,514,2549,3063,0,0,0,0,0,0,2,46,48
Utah,2011,1935858,1695679,2817222,1399754,1417468,971560,964298,839405,856274,0,0,0,0,0,0,288,1528,1816,0,0,0,0,0,0,236,1096,1332,0,0,0,0,0,0,527,2679,3206,0,0,0,0,0,0,2,37,39
Utah,2010,1904618,1672289,2776469,1379892,1396577,957896,946722,830960,841329,0,0,0,0,0,0,289,1491,1780,0,0,0,1,1,2,234,1043,1277,0,0,0,0,0,0,527,2582,3109,0,0,0,0,0,0,2,33,35
Utah,2009,1917297,1686022,2784572,1376770,1407802,959375,957922,831255,854767,0,0,0,0,0,0,358,1786,2144,0,0,0,1,1,2,236,1062,1298,0,0,0,0,0,0,596,2902,3498,0,0,0,0,0,0,1,36,37
Utah,2008,1891024,1662116,2736424,1356509,1379915,952e3,939024,824682,837434,0,0,0,0,0,0,400,2021,2421,0,0,0,0,1,1,152,783,935,0,0,0,0,0,0,553,2847,3400,0,0,0,0,0,0,1,30,31
Utah,2007,1830635,1617817,2645330,1310877,1334453,913263,917372,795655,822162,0,0,0,0,0,0,410,2112,2522,0,0,0,0,3,3,126,699,825,0,0,0,0,0,0,537,2856,3393,0,0,0,0,0,0,0,36,36
