state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
State Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,122,662,784,259,1328,1587,51479,327117,378596,1745,7438,9183,1040,8762,9802,5524,41962,47486,2060,26137,28197,8415,75319,83734,350,3970,4320,71149,494143,565292,156,1448,1604
State Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,119,642,761,213,1296,1509,50480,336021,386501,1061,4899,5960,1191,8917,10108,5110,37071,42181,1804,24826,26630,7832,73537,81369,352,4034,4386,69461,496008,565469,159,1634,1793
State Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,95,484,579,189,1253,1442,51966,350882,402848,1827,7628,9455,1312,9411,10723,4486,33840,38326,1671,25526,27197,7644,75616,83260,392,3578,3970,69631,509483,579114,198,1664,1862
State Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,77,462,539,161,1300,1461,51050,354951,406001,1706,10503,12209,731,6830,7561,4178,33880,38058,1863,27769,29632,6930,71117,78047,470,4320,4790,67292,512481,579773,126,1349,1475
State Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,86,648,734,175,1461,1636,47495,345478,392973,1489,7290,8779,742,7701,8443,3524,30097,33621,1834,28971,30805,6101,69058,75159,294,2430,2724,61620,494765,556385,173,1629,1802
State Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,38,578,616,179,1298,1477,47383,351326,398709,1351,7955,9306,932,8637,9569,3556,30050,33606,2549,35717,38266,8931,110109,119040,244,2177,2421,65357,549724,615081,191,1889,2080
State Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,46,990,1036,131,1211,1342,48999,359846,408845,1098,7741,8839,1580,11048,12628,2898,27895,30793,3542,42020,45562,10523,127805,138328,407,4275,4682,69346,584442,653788,0,1598,1598
State Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,187,1831,2018,119,1045,1164,49504,373969,423473,803,5455,6258,1685,12904,14589,3272,29486,32758,3772,44383,48155,11933,130284,142217,438,4645,5083,72253,607491,679744,120,1148,1268
State Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,189,1664,1853,184,1227,1411,51524,376306,427830,779,5448,6227,1820,13409,15229,2943,26807,29750,4146,46701,50847,12960,139859,152819,285,1982,2267,75820,620006,695826,112,1249,1361
State Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,307,2994,3301,178,1470,1648,51720,379299,431019,956,7388,8344,1865,13623,15488,3359,28645,32004,4301,47148,51449,12528,136382,148910,196,1847,2043,76076,623398,699474,171,1825,1996
