state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
Nevada,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1359
Nevada,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1662
Nevada,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,1833
Nevada,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,2141
Nevada,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,2675
Nevada,1983,NA,NA,NA,NA,NA,NA,NA,NA,3,121,124,172,3020,3192
Nevada,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,40,40,200,3270,3470
Nevada,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,20,20,232,3562,3794
Nevada,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,232,4326,4558
Nevada,1987,NA,NA,NA,NA,NA,NA,NA,NA,3,65,68,265,4106,4371
Nevada,1988,NA,NA,NA,NA,NA,NA,NA,NA,4,97,101,335,4567,4902
Nevada,1989,NA,NA,NA,NA,NA,NA,NA,NA,1,63,64,423,4951,5374
Nevada,1990,NA,NA,NA,NA,NA,NA,NA,NA,11,130,141,405,5236,5641
Nevada,1991,NA,NA,NA,NA,NA,NA,NA,NA,11,131,142,445,5397,5842
Nevada,1992,NA,NA,NA,NA,NA,NA,NA,NA,6,152,158,422,5556,5978
Nevada,1993,NA,NA,NA,NA,NA,NA,NA,NA,9,118,127,413,5740,6153
Nevada,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,459,6425,6884
Nevada,1995,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,521,7078,7599
Nevada,1996,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,575,7506,8081
Nevada,1997,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,631,7992,8623
Nevada,1998,NA,NA,NA,NA,NA,NA,NA,NA,2,20,22,687,8552,9239
Nevada,1999,711,8602,561,0,561,150,8602,8752,0,3,3,150,8602,8752
Nevada,2e3,799,8989,508,0,508,291,8989,9280,0,8,8,291,8989,9280
Nevada,2001,761,9101,478,0,478,283,9101,9384,1,4,5,283,9101,9384
Nevada,2002,790,9311,434,0,434,356,9311,9667,0,5,5,356,9311,9667
Nevada,2003,753,9831,0,0,0,753,9831,10584,0,5,5,753,9831,10584
Nevada,2004,877,10156,0,0,0,877,10156,11033,0,6,6,877,10156,11033
Nevada,2005,940,10722,0,0,0,940,10722,11662,0,7,7,940,10722,11662
Nevada,2006,1126,11628,0,0,0,1126,11628,12754,0,8,8,1126,11628,12754
Nevada,2007,1175,12136,0,0,0,1175,12136,13311,0,8,8,1175,12136,13311
Nevada,2008,982,11895,0,0,0,982,11895,12877,2,54,56,982,11895,12877
Nevada,2009,949,11621,0,0,0,949,11621,12570,2,4,6,949,11621,12570
Nevada,2010,900,11292,0,0,0,900,11292,12192,0,0,0,900,11292,12192
Nevada,2011,892,11267,0,0,0,892,11267,12159,0,0,0,892,11267,12159
Nevada,2012,1015,11579,0,0,0,1015,11579,12594,0,0,0,1015,11579,12594
Nevada,2013,1063,11726,0,0,0,1063,11726,12789,0,96,96,1063,11726,12789
Nevada,2014,1111,11582,0,0,0,1111,11582,12693,5,37,42,1111,11582,12693
Nevada,2015,1194,12041,0,0,0,1194,12041,13235,5,38,43,1194,12041,13235
Nevada,2016,1259,12553,0,0,0,1259,12553,13812,3,37,40,1292,12640,13932
