state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Iowa,1994,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,0,2,2,NA,NA,NA
Iowa,1995,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,7,8,NA,NA,NA,0,1,1,NA,NA,NA
Iowa,1996,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,7,7,NA,NA,NA,0,2,2,NA,NA,NA
Iowa,1997,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,9,9,NA,NA,NA,0,0,0,NA,NA,NA
Iowa,1998,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,6,6,NA,NA,NA,0,1,1,NA,NA,NA
Iowa,1999,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,12,13,0,0,0,0,2,2,1,14,15
Iowa,2e3,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,11,11,0,0,0,0,1,1,0,12,12
Iowa,2001,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,6,7,0,0,0,0,2,2,1,8,9
Iowa,2002,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,8,8,0,0,0,0,1,1,0,11,11
Iowa,2003,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,9,10,0,0,0,0,3,3,1,12,13
Iowa,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2005,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,19,19,0,0,0,0,0,0,0,19,19
