state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Vermont,1978,0,0,0,0,36,36,6,171,177,0,0,0,0,15,15,0,2,2,0,56,56,0,13,13,0,0,0,6,293,299,0,0,0
Vermont,1979,NA,NA,NA,NA,NA,NA,7,173,180,0,0,0,0,4,4,0,1,1,0,36,36,0,4,4,0,0,0,8,254,262,0,1,1
Vermont,1980,NA,NA,NA,NA,NA,NA,3,277,280,0,0,0,0,7,7,0,2,2,0,58,58,0,7,7,0,0,0,3,409,412,0,2,2
Vermont,1981,NA,NA,NA,NA,NA,NA,3,280,283,6,1,7,0,10,10,0,0,0,0,58,58,0,10,10,0,0,0,9,419,428,0,2,2
Vermont,1982,NA,NA,NA,NA,NA,NA,3,175,178,0,0,0,6,40,46,1,20,21,0,32,32,0,17,17,0,0,0,10,331,341,0,0,0
Vermont,1983,NA,NA,NA,NA,NA,NA,2,151,153,0,0,0,4,34,38,0,16,16,0,28,28,0,15,15,0,0,0,6,283,289,0,0,0
Vermont,1984,NA,NA,NA,NA,NA,NA,12,293,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,23,NA,NA,2,NA,12,338,350,NA,NA,NA
Vermont,1985,NA,NA,NA,NA,NA,NA,6,304,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,72,NA,NA,NA,NA,6,409,415,NA,NA,NA
Vermont,1986,NA,NA,NA,NA,NA,NA,2,322,324,0,NA,NA,0,NA,NA,0,NA,NA,0,2,2,0,64,64,0,NA,NA,2,424,426,0,NA,NA
Vermont,1987,NA,NA,NA,NA,NA,NA,5,385,390,0,NA,NA,0,NA,NA,0,NA,NA,0,4,4,0,26,26,0,NA,NA,5,450,455,0,NA,NA
