state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Florida,2016,16469863,12643937,20612439,10539818,10072621,8519783,7950080,6407821,6236116,74,1087,1161,NA,NA,NA,NA,1864,10312,12176,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6863,93111,99974
Florida,2015,16169195,12477531,20271272,10382856,9888416,8367041,7802154,6331651,6145880,80,993,1073,NA,NA,NA,NA,1848,10639,12487,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6943,94481,101424
Florida,2014,15841290,12295546,19893297,10168487,9724810,8192489,7648801,6233737,6061809,60,1044,1104,NA,NA,NA,NA,1865,10530,12395,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7303,95567,102870
Florida,2013,15527750,12147079,19552860,9989240,9563620,8029986,7497764,6158702,5988377,91,1084,1175,NA,NA,NA,1851,1851,9950,11801,9950,0,0,0,11801,5420,85807,91227,0,0,0,7271,95757,103028
Florida,2012,15319646,12075844,19317568,9872388,9445180,7914287,7405359,6120609,5955235,80,1117,1197,NA,NA,NA,1843,1843,9858,11701,9858,0,0,0,11701,5142,85087,90229,0,0,0,6985,94945,101930
Florida,2011,15064805,11920860,19057542,9734516,9323026,7787443,7277362,6039605,5881255,58,1209,1267,NA,NA,NA,1838,1838,9989,11827,9989,0,0,0,11827,5304,85924,91228,0,0,0,7142,95913,103055
Florida,2010,14844082,11770156,18843326,9632568,9210758,7681e3,7163082,5971996,5798160,85,1208,1293,NA,NA,NA,1844,1844,9952,11796,9952,0,0,0,11796,5506,87004,92510,0,0,0,7350,96956,104306
Florida,2009,14481613,11469445,18537969,9428709,9109260,7448300,7033313,5751115,5718330,67,1231,1298,NA,NA,NA,NA,1789,8023,9812,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7283,96632,103915
Florida,2008,14319373,11338333,18328340,9331646,8996694,7374758,6944615,5697257,5641076,78,1066,1144,NA,NA,NA,NA,1785,7373,9158,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7151,95237,102388
Florida,2007,14226790,1131e4,18251243,9286018,8965225,7325100,6901690,5680476,5629524,79,1068,1147,NA,NA,NA,NA,1785,6984,8769,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6854,91365,98219
Florida,2006,14078580,11225111,18089889,9215642,8874247,7265570,6813010,5641206,5583905,0,34,34,NA,NA,NA,NA,1412,4938,6350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6489,86480,92969
Florida,2005,13332515,10626339,17363653,8878880,8484773,6921363,6411152,5405674,5220665,0,41,41,NA,NA,NA,1409,1409,4852,6261,4852,0,0,0,6261,4744,78763,83507,0,0,0,6153,83615,89768
