state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Minnesota,1978,0,0,0,11,20,31,65,840,905,7,15,22,0,0,0,0,0,0,3,122,125,3,287,290,0,0,0,89,1284,1373,0,0,0
Minnesota,1979,NA,NA,NA,NA,NA,NA,59,884,943,0,0,0,0,0,0,0,0,0,0,136,136,8,280,288,0,0,0,78,1332,1410,0,0,0
Minnesota,1980,NA,NA,NA,NA,NA,NA,27,699,726,0,0,0,0,0,0,0,0,0,1,56,57,9,325,334,0,0,0,49,1114,1163,0,0,0
Minnesota,1981,NA,NA,NA,NA,NA,NA,45,785,830,0,0,0,0,0,0,0,0,0,1,175,176,6,253,259,0,0,0,57,1237,1294,0,0,0
Minnesota,1982,NA,NA,NA,NA,NA,NA,62,975,1037,0,0,0,0,0,0,0,0,0,4,203,207,10,247,257,0,0,0,88,1452,1540,0,0,0
Minnesota,1983,NA,NA,NA,NA,NA,NA,72,1052,1124,0,0,0,NA,NA,NA,NA,NA,NA,6,152,158,12,174,186,0,0,0,91,1389,1480,0,0,0
Minnesota,1984,NA,NA,NA,NA,NA,NA,69,1080,1149,0,0,0,NA,NA,NA,NA,NA,NA,3,126,129,9,198,207,0,0,0,85,1414,1499,0,0,0
Minnesota,1985,NA,NA,NA,NA,NA,NA,82,1161,1243,0,0,0,NA,NA,NA,NA,NA,NA,4,142,146,18,209,227,0,0,0,107,1527,1634,0,0,0
Minnesota,1986,NA,NA,NA,NA,NA,NA,94,1186,1280,0,0,0,NA,NA,NA,NA,NA,NA,2,132,134,18,206,224,0,0,0,115,1550,1665,0,0,0
Minnesota,1987,NA,NA,NA,NA,NA,NA,100,1298,1398,0,0,0,NA,NA,NA,NA,NA,NA,4,145,149,13,237,250,0,0,0,120,1692,1812,0,0,0
Minnesota,1988,NA,NA,NA,NA,NA,NA,130,1560,1690,0,0,0,NA,NA,NA,NA,NA,NA,8,138,146,20,304,324,0,0,0,166,2031,2197,0,0,0
Minnesota,1989,NA,NA,NA,NA,NA,NA,159,1664,1823,0,0,0,NA,NA,NA,NA,NA,NA,9,167,176,24,361,385,0,0,0,194,2199,2393,0,0,0
Minnesota,1990,NA,NA,NA,NA,NA,NA,150,1668,1818,0,0,0,NA,NA,NA,NA,NA,NA,4,170,174,28,343,371,0,0,0,183,2223,2406,0,0,0
Minnesota,1991,NA,NA,NA,NA,NA,NA,161,1744,1905,0,0,0,NA,NA,NA,NA,NA,NA,4,169,173,34,439,473,0,0,0,202,2366,2568,0,0,0
