state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
North Carolina,2016,7852630,6399176,10146788,5214589,4932199,4096428,3756202,3273391,3125785,106458,54640,51818,82211,43717,38494,70772,37240,33532,281134,145253,135881,216382,113133,103249,199027,103834,95193,2152854,1146242,1006612,1633262,891640,741622,1397259,747451,649808,930564,451994,478570,571786,278440,293346,546289,264775,281514,235698,123893,111805,119506,64337,55169,109550,58930,50620,6440080,3292567,3147513,5229483,2705161,2524322,4076279,2061161,2015118,94,806,900,9,115,124,776,18116,18892,61,1770,1831,0,0,0,1760,12065,13825
North Carolina,2015,7756383,6355726,10042802,5147754,4895048,4033138,3723245,3238551,3117175,105810,54851,50959,81512,42152,39360,70100,36212,33888,266717,135612,131105,202268,103335,98933,185867,95159,90708,2154370,1146431,1007939,1623285,886450,736835,1392055,747273,644782,912609,438404,474205,561511,268539,292972,538002,254164,283838,214871,105297,109574,112404,56740,55664,104441,51424,53017,6388425,3267159,3121266,5175403,2675922,2499481,4065261,2054319,2010942,110,836,946,8,123,131,791,18671,19462,60,1800,1860,0,0,0,1707,12373,14080
North Carolina,2014,7654619,6310874,9943964,5106024,4837940,3986470,3668149,3220549,3090325,103119,53987,49132,77650,41481,36169,66965,35685,31280,247134,125894,121240,188339,97540,90799,175051,90058,84993,2131428,1139460,991968,1599624,876589,723035,1386054,747523,638531,890446,426180,464266,543612,258292,285320,520133,244493,275640,209810,104981,104829,103127,54035,49092,96220,49875,46345,6362027,3255522,3106505,5142267,2658533,2483734,4066451,2052915,2013536,92,831,923,7,132,139,815,19166,19981,51,1880,1931,0,0,0,1668,12324,13992
North Carolina,2013,7564516,6272424,9848060,5047190,4800870,3937525,3626991,3203436,3068988,105677,54717,50960,76730,41385,35345,66514,35579,30935,242365,127404,114961,181440,97555,83885,167479,89028,78451,2096942,1113010,983932,1567869,856152,711717,1367336,735304,632032,866936,407062,459874,531637,244847,286790,512062,235178,276884,211695,113274,98421,108207,59321,48886,101647,55250,46397,6324445,3231723,3092722,5098633,2638265,2460368,4057386,2053097,2004289,74,796,870,7,119,126,815,19366,20181,52,1887,1939,0,0,0,1537,12138,13675
North Carolina,2012,7469595,6241736,9752073,5000109,4751964,3886104,3583491,3179847,3061889,101646,50564,51082,76908,39731,37177,66998,33309,33689,231122,124768,106354,172631,93590,79041,161081,87622,73459,2079382,1108300,971082,1554835,847980,706855,1359586,729729,629857,845420,396768,448652,517870,238671,279199,502429,229236,273193,203609,101746,101863,92632,47677,44955,86127,43932,42195,6290894,3217963,3072931,5054719,2618455,2436264,4065515,2056019,2009496,61,790,851,8,121,129,861,19838,20699,54,2040,2094,0,0,0,1473,11791,13264
North Carolina,2011,7366132,6180022,9656401,4967977,4688424,3837059,3529073,3151287,3028735,106093,57253,48840,78228,42250,35978,68798,36656,32142,215784,112921,102863,160066,83477,76589,148378,76509,71869,2063071,1102832,960239,1525444,835301,690143,1339158,719585,619573,828210,390692,437518,507001,229953,277048,492208,220979,271229,178190,92340,85850,83038,47128,35910,76809,43312,33497,6265053,3211939,3053114,5012355,2598950,2413405,4054671,2054246,2000425,69,822,891,12,123,135,1002,21352,22354,61,2147,2208,0,0,0,1490,12253,13743
North Carolina,2010,7278455,6123879,9561558,4905216,4656342,3792680,3485775,3123907,2999972,103197,52741,50456,77415,39700,37715,68451,34107,34344,210547,112062,98485,154056,83551,70505,144224,77900,66324,2017214,1070587,946627,1485465,813609,671856,1305317,701849,603468,805016,379709,425307,494351,225136,269215,478380,215932,262448,195443,99459,95984,95415,49892,45523,89486,45885,43601,6230141,3190658,3039483,4971753,2580792,2390961,4038021,2048234,1989787,47,782,829,9,121,130,1059,21764,22823,62,2210,2272,0,0,0,1632,12326,13958
North Carolina,2009,7109245,6006438,9380884,4798761,4582123,3690019,3419226,3045585,2960853,94251,49629,44622,70424,40092,30332,63360,35408,27952,185395,97407,87988,136611,73418,63193,124125,66616,57509,1952344,1031154,921190,1436667,779931,656736,1266484,673470,593014,717234,326543,390691,427258,181986,245272,413507,175112,238395,178634,92632,86002,92783,48784,43999,88464,46305,42159,6253026,3201396,3051630,4945502,2565808,2379694,4050498,2048674,2001824,54,758,812,6,131,137,1099,21607,22706,66,2162,2228,NA,NA,NA,1574,12284,13858
North Carolina,2008,6980674,5928762,9222414,4711359,4511055,3621428,3359246,3002054,2926708,89291,47162,42129,65354,35701,29653,57135,30149,26986,176694,91622,85072,132904,71374,61530,124580,66647,57933,1943449,1029746,913703,1417595,773664,643931,1252112,671419,580693,678023,298590,379433,415073,170699,244374,404023,164484,239539,151558,79318,72240,73881,39193,34688,69666,36906,32760,6183399,3164921,3018478,4875867,2530797,2345070,4021246,2032449,1988797,60,729,789,NA,NA,NA,1102,21505,22607,NA,NA,NA,46,1566,1612,1555,12312,13867
North Carolina,2007,6855490,5825218,9061032,4637108,4423924,3554313,3301177,2945746,2879472,97704,51625,46079,71183,38586,32597,64289,34266,30023,168305,87267,81038,126222,65953,60269,117873,61298,56575,1918665,1023850,894815,1379674,756896,622778,1215869,655350,560519,636442,277972,358470,399788,158654,241134,390136,153536,236600,132875,67275,65600,64786,34264,30522,60570,31664,28906,6107041,3129119,2977922,4813837,2499960,2313877,3976481,2009632,1966849,60,699,759,NA,NA,NA,1051,20850,21901,NA,NA,NA,54,1391,1445,1446,11828,13274
