state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
US Prison Total,1978,161,2423,2584,32,667,699,6483,136893,143376,633,15081,15714,NA,NA,NA,0,0,0,NA,NA,NA,370,2365,2735,5674,151534,157208
US Prison Total,1979,177,2751,2928,32,717,749,6607,138776,145383,864,22329,23193,NA,NA,NA,0,0,0,NA,NA,NA,271,3033,3304,5839,155803,161642
US Prison Total,1980,158,2853,3011,18,824,842,6549,143700,150249,795,24451,25246,NA,NA,NA,0,0,0,NA,NA,NA,342,4977,5319,6191,163083,169274
US Prison Total,1981,191,3116,3307,46,1124,1170,7687,160442,168129,876,28211,29087,NA,NA,NA,0,0,0,NA,NA,NA,212,5451,5663,7301,183202,190503
US Prison Total,1982,218,3540,3758,54,1450,1504,8766,180844,189610,1099,36127,37226,NA,NA,NA,0,0,0,NA,NA,NA,311,4438,4749,8574,206167,214741
US Prison Total,1983,253,3833,4086,74,1503,1577,9196,191020,200216,1344,39744,41088,NA,NA,NA,0,0,0,NA,NA,NA,251,5206,5457,9380,216522,225902
US Prison Total,1984,285,4189,4474,119,2061,2180,9981,199692,209673,1781,46125,47906,NA,NA,NA,0,0,0,NA,NA,NA,328,6359,6687,10105,229323,239428
US Prison Total,1985,310,4480,4790,104,1800,1904,10793,216344,227137,2212,52460,54672,NA,NA,NA,0,0,0,NA,NA,NA,463,7235,7698,11429,249418,260847
US Prison Total,1986,363,4928,5291,94,1756,1850,12403,234430,246833,2702,59908,62610,NA,NA,NA,0,0,0,NA,NA,NA,752,15706,16458,13043,261658,274701
US Prison Total,1987,355,5106,5461,88,1909,1997,13228,249730,262958,3029,66781,69810,NA,NA,NA,0,0,0,NA,NA,NA,839,18159,18998,14377,277229,291606
US Prison Total,1988,310,5040,5350,141,2036,2177,14892,274570,289462,3616,72784,76400,NA,NA,NA,0,0,0,NA,NA,NA,1083,20816,21899,16178,292534,308712
US Prison Total,1989,396,5598,5994,164,2316,2480,19269,315683,334952,4585,85798,90383,NA,NA,NA,0,0,0,NA,NA,NA,1391,24196,25587,19426,324124,343550
US Prison Total,1990,396,5847,6243,164,2645,2809,19269,345940,365209,5138,97927,103065,NA,NA,NA,0,0,0,NA,NA,NA,1391,27305,28696,19426,348404,367830
US Prison Total,1991,547,6860,7407,183,3240,3423,23381,371864,395245,5541,106979,112520,NA,NA,NA,0,0,0,NA,NA,NA,1399,31312,32711,22073,363274,385347
US Prison Total,1992,525,7160,7685,230,3793,4023,24931,399775,424706,5793,119225,125018,NA,NA,NA,0,0,0,NA,NA,NA,1645,36352,37997,23162,386103,409265
US Prison Total,1993,574,7726,8300,294,5114,5408,27292,429278,456570,6721,131978,138699,NA,NA,NA,0,0,0,NA,NA,NA,1753,43135,44888,25148,406632,431780
