state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Illinois,1983,NA,NA,11987,NA,NA,15318,NA,NA,15318
Illinois,1984,NA,NA,NA,NA,NA,NA,NA,NA,17392
Illinois,1985,NA,NA,15356,NA,NA,19118,NA,NA,19118
Illinois,1986,NA,NA,15943,NA,NA,19705,NA,NA,19705
Illinois,1987,NA,NA,16303,NA,NA,19911,NA,NA,19911
Illinois,1988,NA,NA,16492,NA,NA,20100,NA,NA,20100
Illinois,1989,NA,NA,18810,NA,NA,22514,NA,NA,22514
Illinois,1990,NA,NA,18987,NA,NA,22691,NA,NA,22691
Illinois,1991,NA,NA,20217,NA,NA,23961,NA,NA,23961
Illinois,1992,NA,NA,20818,NA,NA,24562,NA,NA,24562
Illinois,1993,NA,NA,22625,NA,NA,26369,NA,NA,26369
Illinois,1994,NA,NA,22641,NA,NA,26385,NA,NA,26385
Illinois,1995,NA,NA,23714,NA,NA,27376,NA,NA,27376
Illinois,1996,NA,NA,24538,NA,NA,28200,NA,NA,28200
Illinois,1997,NA,NA,25135,NA,NA,28797,NA,NA,28797
Illinois,1998,NA,NA,27342,NA,NA,32062,NA,NA,32062
Illinois,1999,1983,25546,NA,2009,30304,NA,2009,30304,NA
Illinois,2e3,2247,25964,NA,2273,30722,NA,2273,30722,NA
Illinois,2001,2076,27715,NA,2102,32473,NA,2102,32473,NA
Illinois,2002,2024,25232,NA,2050,29301,NA,2050,29301,NA
Illinois,2003,2024,25315,NA,2050,29384,NA,2050,29384,NA
Illinois,2004,2024,25315,NA,2050,30559,NA,2050,30559,NA
Illinois,2005,2024,27837,NA,2050,31751,NA,2050,31751,NA
Illinois,2006,31921,28038,NA,2050,31921,NA,2050,31921,NA
Illinois,2007,2039,28352,NA,2065,32235,NA,2065,32235,NA
Illinois,2008,2039,28352,NA,2065,32235,NA,2065,32235,NA
Illinois,2009,2039,28525,NA,2065,32408,NA,2065,32408,NA
Illinois,2010,1838,27953,NA,1864,31836,NA,1864,31836,NA
Illinois,2011,1839,27955,NA,1865,31838,NA,1865,31838,NA
Illinois,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2013,1764,26428,NA,1788,30287,NA,1788,30287,NA
Illinois,2014,1763,26449,NA,1787,30308,NA,1787,30308,NA
Illinois,2015,1758,26223,NA,1782,30082,NA,1782,30082,NA
Illinois,2016,1712,26066,NA,1630,24954,NA,1736,29925,NA
