state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
Iowa,1978,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,73,1909,1982
Iowa,1979,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,96,2176,2272
Iowa,1980,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,93,2388,2481
Iowa,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,2556,2670
Iowa,1982,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,121,2708,2829
Iowa,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,2700,2814
Iowa,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,2733,2836
Iowa,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,2577,2687
Iowa,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,2653,2777
Iowa,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,2729,2851
Iowa,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2894,3034
Iowa,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,3405,3584
Iowa,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,3755,3967
Iowa,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,3949,4145
Iowa,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,4275,4518
Iowa,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,4617,4898
Iowa,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,5086,5437
Iowa,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,5481,5906
Iowa,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,5872,6342
Iowa,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,6410,6938
Iowa,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,6903,7394
Iowa,1999,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,539,6693,7232,0,0,0,539,6693,7232
Iowa,2e3,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,592,7363,7955,NA,NA,NA,592,7363,7955
Iowa,2001,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,635,7327,7962,NA,NA,NA,635,7327,7962
Iowa,2002,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,703,7695,8398,NA,NA,NA,703,7695,8398
Iowa,2003,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,716,7830,8546,0,0,0,716,7830,8546
Iowa,2004,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,757,7768,8525,0,0,0,757,7768,8525
Iowa,2005,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,800,7937,8737,0,0,0,800,7937,8737
Iowa,2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,789,8049,8838
Iowa,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,8015,8732
Iowa,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,8017,8766
Iowa,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,8090,8813
Iowa,2010,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,780,8675,9455,19,48,67,780,8675,9455
Iowa,2011,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,738,8378,9116,17,42,59,738,8378,9116
Iowa,2012,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,784,7949,8733,15,32,47,784,7949,8733
Iowa,2013,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,714,7983,8697,11,32,43,714,7983,8697
Iowa,2014,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,752,8086,8838,12,28,40,752,8086,8838
Iowa,2015,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,808,8041,8849,8,25,33,808,8041,8849
Iowa,2016,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,821,8210,9031,4,29,33,821,8210,9031
