state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Federal Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,0,0,0,0,0,0,4291,36141,40432,0,1,1,272,3606,3878,0,0,0,20,351,371,0,0,0,0,0,0,4624,40645,45269,41,546,587
Federal Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,0,0,0,0,0,0,4418,38155,42573,0,1,1,228,3726,3954,0,0,0,29,355,384,0,0,0,0,0,0,4689,42794,47483,14,557,571
Federal Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,0,0,0,0,0,0,4643,41502,46145,0,1,1,235,3923,4158,0,0,0,32,529,561,0,0,0,0,0,0,4939,46709,51648,29,754,783
Federal Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,0,0,0,0,0,0,4954,43864,48818,0,1,1,247,3981,4228,0,0,0,48,569,617,0,0,0,0,0,0,5275,49196,54471,26,781,807
Federal Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,0,0,0,0,0,0,4890,46351,51241,0,1,1,253,3772,4025,0,0,0,57,614,671,0,0,0,0,0,0,5245,51707,56952,45,969,1014
Federal Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,0,0,0,0,0,0,4877,50940,55817,0,1,1,270,3788,4058,0,0,0,38,720,758,0,0,0,0,0,0,5252,56460,61712,67,1011,1078
Federal Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,0,0,0,0,0,0,4485,45030,49515,0,0,0,249,3565,3814,0,0,0,75,717,792,0,0,0,0,0,0,4881,50254,55135,NA,942,NA
Federal Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,NA,NA,NA,NA,NA,NA,4518,47006,51524,0,1,1,223,3500,3723,NA,NA,NA,75,830,905,NA,NA,NA,NA,NA,NA,4854,52198,57052,38,861,899
Federal Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,NA,NA,NA,NA,NA,NA,4528,44742,49270,0,2,2,245,3140,3385,NA,NA,NA,83,922,1005,NA,NA,NA,NA,NA,NA,4905,49661,54566,49,855,904
Federal Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,NA,NA,NA,NA,NA,NA,4683,44008,48691,0,3,3,264,3195,3459,NA,NA,NA,105,1360,1465,NA,NA,NA,NA,NA,NA,5118,49552,54670,66,986,1052
Federal Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,NA,NA,NA,NA,NA,NA,4740,45464,50204,1,4,5,76,1051,1127,NA,NA,NA,132,1956,2088,334,3737,4071,NA,NA,NA,5283,52212,57495,NA,NA,NA
Federal Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,NA,NA,NA,NA,NA,NA,4613,44110,48723,0,3,3,396,4939,5335,NA,NA,NA,136,1860,1996,NA,NA,NA,NA,NA,NA,5232,52580,57812,87,1668,1755
Federal Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,NA,NA,NA,NA,NA,NA,4268,41528,45796,3,5,8,366,4515,4881,NA,NA,NA,198,2099,2297,NA,NA,NA,NA,NA,NA,4913,49386,54299,78,1239,1317
Federal Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,NA,NA,NA,NA,NA,NA,4349,41364,45713,13,205,218,308,3991,4299,0,0,0,161,1897,2058,0,0,0,NA,NA,NA,4884,48560,53444,53,1103,1156
Federal Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,0,0,0,0,0,0,4153,38150,42303,7,234,241,268,3301,3569,0,0,0,120,1911,2031,0,0,0,0,0,0,4638,45288,49926,90,1692,1782
Federal Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,0,0,0,0,0,0,4107,36086,40193,12,215,227,0,0,0,190,2666,2856,0,0,0,101,1763,1864,0,0,0,4568,42966,47534,158,2236,2394
Federal Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,0,0,0,0,0,0,3694,35609,39303,14,229,243,0,0,0,193,2483,2676,0,0,0,115,1395,1510,0,0,0,4130,43676,47806,114,3960,4074
Federal Prison Total,1999,199841353.79999998,169008280.3,271079171.3,138745496.7,132333674.60000001,104067422.6,95773931.2,86046434.9,82961845.4,0,0,0,0,0,0,3641,33814,37455,12,213,225,156,2288,2444,NA,NA,NA,153,1695,1848,NA,NA,NA,0,0,0,4150,39768,43918,188,1758,1946
Federal Prison Total,1998,198157800.6,167535786.6,268526777.6,137464026.4,131062751.2,103206016.2,94951784.4,85249808.8,82285977.8,NA,NA,NA,NA,NA,NA,3395,30981,34376,13,200,213,NA,NA,NA,166,2143,2309,NA,NA,NA,106,1215,1321,NA,NA,NA,3964,35224,39188,284,685,969
Federal Prison Total,1997,196474247.4,166063292.9,265974383.9,136182556.1,129791827.8,102344609.8,94129637.6,84453182.7,81610110.2,NA,NA,NA,NA,NA,NA,2866,27694,30560,11,229,240,NA,NA,NA,131,1714,1845,NA,NA,NA,124,1137,1261,NA,NA,NA,3254,31190,34444,122,416,538
Federal Prison Total,1996,194790694.20000002,164590799.2,263421990.2,134901085.8,128520904.39999999,101483203.4,93307490.8,83656556.6,80934242.6,NA,NA,NA,NA,NA,NA,2508,24838,27346,14,207,221,NA,NA,NA,75,1231,1306,NA,NA,NA,63,1303,1366,NA,NA,NA,2660,27621,30281,0,42,42
Federal Prison Total,1995,193107141,163118305.5,260869596.5,133619615.5,127249981,100621797,92485344,82859930.5,80258375,NA,NA,NA,NA,NA,NA,2136,21836,23972,24,426,450,NA,NA,NA,83,1125,1208,NA,NA,NA,96,1611,1707,NA,NA,NA,2341,25028,27369,2,30,32
Federal Prison Total,1994,191423587.79999998,161645811.8,258317202.8,132338145.2,125979057.60000001,99760390.6,91663197.2,82063304.4,79582507.4,NA,NA,NA,NA,NA,NA,2140,21816,23956,17,152,169,NA,NA,NA,73,1214,1287,NA,NA,NA,109,1750,1859,NA,NA,NA,2340,24985,27325,1,53,54
Federal Prison Total,1993,189740034.6,160173318.1,255764809.1,131056674.9,124708134.2,98898984.2,90841050.4,81266678.3,78906639.8,NA,NA,NA,NA,NA,NA,2043,21610,23653,24,212,236,NA,NA,NA,43,449,492,NA,NA,NA,51,803,854,NA,NA,NA,2164,23238,25402,3,164,167
Federal Prison Total,1992,188056481.4,158700824.4,253212415.4,129775204.6,123437210.8,98037577.8,90018903.6,80470052.2,78230772.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal Prison Total,1991,186372928.20000002,157228330.7,250660021.7,128493734.3,122166287.39999999,97176171.4,89196756.8,79673426.1,77554904.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal Prison Total,1990,184689375,155755837,248107628,127212264,120895364,96314765,88374610,78876800,76879037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal Prison Total,1989,182464019.5,154062039.3,245983105.20000002,126180925.6,119802179.6,95222236.5,87241783,78107908,75954131.3,NA,NA,NA,NA,NA,NA,1947,16441,18388,100,3392,3492,10,218,228,0,0,0,104,1279,1383,0,0,0,0,0,0,2161,21330,23491,0,0,0
