state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Georgia,2016,7798957,6546036,10310371,5295521,5014850,4068101,3730856,3356054,3189982,NA,5066,NA,NA,NA,NA,NA,NA,7973,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3788,49839,53627
Georgia,2015,7712805,6517028,10214860,5237746,4977114,4017116,3695689,3335293,3181735,NA,4902,NA,NA,NA,NA,NA,NA,7953,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3615,48578,52193
Georgia,2014,7607044,6460153,10097343,5173573,4923770,3961007,3646037,3306918,3153235,NA,4946,NA,NA,NA,NA,NA,NA,7901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3511,49438,52949
Georgia,2013,7504789,6410870,9992167,5113796,4878371,3898341,3606448,3273170,3137700,0,4887,4887,NA,NA,NA,0,0,7900,7900,7900,0,0,0,7900,3559,42545,46104,0,0,0,3559,50445,54004
Georgia,2012,7429713,6396154,9919945,5068718,4851227,3851053,3578660,3256039,3140115,0,4896,4896,NA,NA,NA,0,0,7900,7900,7900,0,0,0,7900,3589,43968,47557,0,0,0,3589,51868,55457
Georgia,2011,7327051,6333123,9815210,5008348,4806862,3798787,3528264,3224498,3108625,264,2836,3100,NA,NA,NA,0,0,5615,5615,5615,0,0,0,5615,3917,46412,50329,0,0,0,3917,52027,55944
Georgia,2010,7219911,6267819,9712587,4969897,4742690,3755208,3464703,3201946,3065873,76,3558,3634,NA,NA,NA,0,0,5233,5233,5233,0,0,0,5233,3834,47365,51199,0,0,0,3834,52598,56432
Georgia,2009,7246007,6312570,9829211,5000171,4829040,3740303,3505704,3189592,3122978,117,3273,3390,NA,NA,NA,0,0,5129,5129,5129,0,0,0,5129,3923,47934,51857,NA,NA,NA,3923,53063,56986
Georgia,2008,7137004,6239554,9685744,4918070,4767674,3674362,3462642,3140753,3098801,0,4690,4690,NA,NA,NA,0,0,5138,5138,5138,0,0,0,5138,3692,43889,47581,NA,NA,NA,3692,49027,52719
Georgia,2007,7015513,6149840,9544750,4846718,4698032,3620356,3395157,3101158,3048682,0,4919,4919,NA,NA,NA,0,0,4974,4974,4974,0,0,0,4974,3545,45737,49282,NA,NA,NA,3545,50711,54256
Georgia,2006,6910518,6071969,9363941,4749676,4614265,3551372,3359146,3051233,3020736,0,4970,4970,NA,NA,NA,0,0,5075,5075,5075,0,0,0,5075,3557,44160,47717,NA,NA,NA,3557,49235,52792
Georgia,2005,6468912,5720615,8811648,4484200,4327448,3342251,3126661,2906350,2814265,0,4948,4948,NA,NA,NA,0,0,4778,4778,4778,0,0,0,4778,2893,41078,43971,0,0,0,2893,45856,48749
Georgia,2004,6279787,5555067,8580307,4370848,4209459,3236126,3043661,2818080,2736987,0,5117,5117,NA,NA,NA,0,0,4693,4693,4693,0,0,0,4693,3436,42975,46411,0,0,0,3436,47668,51104
Georgia,2003,6155477,5434852,8438710,4300894,4137816,3189135,2966342,2760583,2674269,0,4949,4949,NA,NA,NA,0,0,4589,4589,4589,0,0,0,4589,3145,39474,42619,0,0,0,3145,44063,47208
