state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
Michigan,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,14944
Michigan,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15002
Michigan,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15124
Michigan,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15157
Michigan,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,14913
Michigan,1983,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,660,13850,14510
Michigan,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,683,13921,14604
Michigan,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,814,16941,17755
Michigan,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,814,19724,20538
Michigan,1987,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1183,22696,23879
Michigan,1988,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1333,26279,27612
Michigan,1989,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1586,30053,31639
Michigan,1990,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1688,32579,34267
Michigan,1991,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1734,34689,36423
Michigan,1992,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1842,37271,39113
Michigan,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1798,37520,39318
Michigan,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2021,38610,40631
Michigan,1995,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1842,39270,41112
Michigan,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,40429,42349
Michigan,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056,42715,44771
Michigan,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2052,43827,45879
Michigan,1999,2027,44590,0,301,301,2027,44289,46316,0,0,0,2027,44590,46617
Michigan,2e3,2131,45587,0,449,449,2131,45138,47269,NA,NA,NA,2131,45138,47269
Michigan,2001,2149,46700,0,449,449,2149,46251,48400,NA,NA,NA,2149,46251,48400
Michigan,2002,2267,48324,0,460,460,2267,47864,50131,NA,NA,NA,2267,47864,50131
Michigan,2003,2198,47160,0,480,480,2198,46680,48878,0,0,0,2198,46680,48878
Michigan,2004,2113,46718,0,480,480,2113,46238,48351,0,0,0,2113,46238,48351
Michigan,2005,2111,47382,0,0,0,2111,47382,49493,0,0,0,2111,47382,49493
Michigan,2006,2163,49352,0,0,0,2163,49352,51515,NA,NA,NA,2163,49352,51515
Michigan,2007,2080,48153,0,0,0,2080,48153,50233,NA,NA,NA,2080,48153,50233
Michigan,2008,1957,46781,0,0,0,1957,46781,48738,NA,NA,NA,1957,46781,48738
Michigan,2009,1755,43723,0,0,0,1755,43723,45478,NA,NA,NA,1755,43723,45478
Michigan,2010,1869,42244,0,0,0,1869,42244,44113,0,0,0,1869,42244,44113
Michigan,2011,1909,40995,0,0,0,1909,40995,42904,0,0,0,1909,40995,42904
Michigan,2012,1989,41605,0,0,0,1989,41605,43594,0,0,0,1989,41605,43594
Michigan,2013,2059,41645,0,0,0,2059,41645,43704,0,0,0,2059,41645,43704
Michigan,2014,2123,41236,0,0,0,2123,41236,43359,NA,NA,NA,2123,41236,43359
Michigan,2015,2273,40355,0,0,0,2273,40355,42628,NA,NA,NA,2273,40355,42628
Michigan,2016,2242,38880,0,0,0,2242,38880,41122,NA,NA,NA,2242,38880,41122
