state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Missouri,2016,4703576,3794795,6093e3,3093350,2999650,2422259,2281317,1912445,1882350,0,2,2,1348,3772,5120,1659,8149,9808,0,1,1,156,785,941,1,18,19,1,6,7,67,742,809,3384,15039,18423,0,10,10,0,0,0,144,1445,1589
Missouri,2015,4696210,3811896,6083672,3100719,2982953,2426191,2270019,1925822,1886074,0,0,0,1171,3744,4915,1605,8325,9930,0,0,0,114,578,692,0,8,8,0,3,3,69,681,750,3103,14833,17936,2,4,6,0,0,0,138,1364,1502
Missouri,2014,4671311,3808067,6063589,3091668,2971921,2413978,2257333,1926332,1881735,0,0,0,1147,3847,4994,1469,8884,10353,0,0,0,149,837,986,0,8,8,0,1,1,52,730,782,2955,15818,18773,1,5,6,0,0,0,127,1390,1517
Missouri,2013,4645397,3799537,6044171,3081854,2962317,2400636,2244761,1921089,1878448,0,0,0,1110,3827,4937,1612,8853,10465,0,0,0,123,708,831,0,11,11,0,5,5,55,753,808,3042,15756,18798,0,8,8,0,0,0,130,1480,1610
Missouri,2012,4621004,3801285,6021988,3071065,2950923,2391311,2229693,1924900,1876385,0,2,2,829,3563,4392,1414,8582,9996,0,0,0,154,831,985,0,6,6,1,3,4,52,813,865,2586,15387,17973,1,13,14,0,0,0,133,1486,1619
Missouri,2011,4599862,3796549,6010688,3066021,2944667,2377125,2222737,1919676,1876873,0,0,0,804,3552,4356,1410,8501,9911,0,0,0,122,882,1004,0,12,12,0,2,2,50,801,851,2543,15287,17830,1,6,7,0,0,0,149,1446,1595
Missouri,2010,4579206,3785676,5996231,3064200,2932031,2374284,2204922,1917418,1868258,0,2,2,791,3480,4271,1312,8741,10053,0,0,0,143,619,762,1,11,12,0,0,0,53,773,826,2481,15328,17809,0,8,8,0,0,0,173,1594,1767
Missouri,2009,4556338,3788356,5987580,3060821,2926759,2361893,2194445,1916797,1871559,0,1,1,726,3526,4252,1386,8644,10030,0,0,0,140,767,907,0,16,16,1,1,2,75,754,829,2502,15608,18110,0,12,12,0,0,0,168,1794,1962
Missouri,2008,4499981,3750818,5911605,3026019,2885586,2340169,2159812,1901972,1848846,3,99,102,701,3715,4416,1514,9159,10673,0,0,0,121,624,745,0,23,23,2,4,6,62,722,784,2594,16387,18981,1,14,15,0,1,1,188,1940,2128
Missouri,2007,4461852,3727675,5878415,3011497,2866918,2318313,2143539,1890155,1837520,23,286,309,750,3730,4480,1585,9865,11450,0,0,0,80,404,484,0,22,22,3,0,3,77,668,745,2693,16949,19642,0,10,10,0,0,0,174,1881,2055
