state,year,population,population_adult,population_adult_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
New Jersey,2016,8944469,6962122,5682758,1007,22009,23016,765,17158,17923,651,16087,16738
New Jersey,2015,8958013,6960879,5715537,1012,22140,23152,801,17804,18605,713,16714,17427
New Jersey,2014,8938175,6926870,5713070,1003,22105,23108,845,19113,19958,778,17806,18584
New Jersey,2013,8899339,6879591,5686255,1002,21900,22902,845,20114,20959,750,18711,19461
New Jersey,2012,8864590,6838531,5691193,1001,21727,22728,844,20275,21119,780,19476,20256
New Jersey,2011,8821155,6780274,5656091,648,15180,15828,910,20730,21640,NA,NA,NA
New Jersey,2010,8801624,6739909,5623488,648,15504,16152,885,21618,22503,NA,NA,NA
New Jersey,2009,8707740,6662880,5575807,648,15504,16152,1065,21168,22233,NA,NA,NA
New Jersey,2008,8682661,6635601,5574997,648,16228,16876,1065,21957,23022,NA,NA,NA
New Jersey,2007,8685920,6634776,5577116,648,16228,16876,1065,22235,23300,NA,NA,NA
New Jersey,2006,8724560,6632707,5581945,648,16228,16876,1112,22245,23357,NA,NA,NA
New Jersey,2005,8524868,6364651,5349459,NA,NA,NA,1338,24611,25949,NA,NA,NA
New Jersey,2004,8503294,6352672,5344939,NA,NA,NA,1384,24656,26040,NA,NA,NA
New Jersey,2003,8444076,6320351,5325514,NA,NA,NA,1371,25165,26536,NA,NA,NA
New Jersey,2002,8395357,6275385,5282513,733,16389,17122,NA,NA,NA,NA,NA,NA
New Jersey,2001,8289599,6357318,5375232,733,16389,17122,NA,NA,NA,NA,NA,NA
New Jersey,2000,8206336,6091506,5119380,733,16389,17122,NA,NA,NA,NA,NA,NA
New Jersey,1999,8155602,6073078.100000003,5102803.5,733,16549,17282,NA,NA,NA,NA,NA,NA
New Jersey,1998,8104868,6054650.200000003,5086227,NA,NA,17282,NA,NA,NA,NA,NA,NA
New Jersey,1997,8054135,6036222.300000003,5069650.5,NA,NA,15906,NA,NA,NA,NA,NA,NA
New Jersey,1996,8003401,6017794.400000002,5053074,NA,NA,13869,NA,NA,NA,NA,NA,NA
New Jersey,1995,7952667,5999366.500000002,5036497.5,NA,NA,13869,NA,NA,NA,NA,NA,NA
New Jersey,1994,7901933,5980938.6000000015,5019921,NA,NA,13869,NA,NA,NA,NA,NA,NA
New Jersey,1993,7851199,5962510.700000001,5003344.5,NA,NA,15032,NA,NA,NA,NA,NA,NA
New Jersey,1992,7800466,5944082.800000001,4986768,NA,NA,14980,NA,NA,NA,NA,NA,NA
New Jersey,1991,7749732,5925654.9,4970191.5,NA,NA,14898,NA,NA,NA,NA,NA,NA
New Jersey,1990,7698998,5907227,4953615,NA,NA,13383,NA,NA,NA,NA,NA,NA
New Jersey,1989,7666630,5852722.300000002,4915451.5,NA,NA,11977,NA,NA,13969,NA,NA,12742
New Jersey,1988,7634262,5798217.6000000015,4877288,NA,NA,11441,NA,NA,13324,NA,NA,12172
New Jersey,1987,7601895,5743712.900000001,4839124.5,NA,NA,10877,NA,NA,12693,NA,NA,11571
New Jersey,1986,7569527,5689208.200000001,4800961,NA,NA,9777,NA,NA,11394,NA,NA,10401
New Jersey,1985,7537159,5634703.500000001,4762797.5,NA,NA,9287,NA,NA,11564,NA,NA,NA
New Jersey,1984,7504791,5580198.800000001,4724634,NA,NA,NA,NA,NA,9934,NA,NA,8424
New Jersey,1983,7472423,5525694.100000001,4686470.5,NA,NA,7864,NA,NA,8857,NA,NA,NA
