state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Tennessee,1983,NA,NA,6544,NA,NA,7982,NA,NA,NA
Tennessee,1984,NA,NA,7686,NA,NA,NA,NA,NA,NA
Tennessee,1985,NA,NA,NA,NA,NA,7664,NA,NA,7664
Tennessee,1986,NA,NA,NA,NA,NA,NA,NA,NA,7801
Tennessee,1987,NA,NA,NA,NA,NA,7744,NA,NA,NA
Tennessee,1988,NA,NA,NA,NA,NA,7754,NA,NA,NA
Tennessee,1989,NA,NA,NA,NA,NA,8387,NA,NA,NA
Tennessee,1990,NA,NA,NA,NA,NA,8803,NA,NA,NA
Tennessee,1991,NA,NA,9642,NA,NA,9349,NA,NA,9409
Tennessee,1992,NA,NA,11463,NA,NA,10837,NA,NA,11119
Tennessee,1993,NA,NA,NA,NA,NA,11720,NA,NA,11967
Tennessee,1994,NA,NA,NA,NA,NA,12654,NA,NA,12919
Tennessee,1995,NA,NA,NA,NA,NA,13328,NA,NA,13605
Tennessee,1996,NA,NA,14095,NA,NA,13811,NA,NA,NA
Tennessee,1997,NA,NA,NA,NA,NA,15808,NA,NA,16150
Tennessee,1998,NA,NA,NA,NA,NA,15778,NA,NA,16130
Tennessee,1999,NA,NA,NA,963,16164,NA,991,16531,NA
Tennessee,2e3,NA,NA,NA,963,16592,NA,991,16967,NA
Tennessee,2001,NA,NA,NA,963,16766,NA,991,17171,NA
Tennessee,2002,NA,NA,NA,1180,17511,NA,1215,17923,NA
Tennessee,2003,NA,NA,NA,1180,18490,NA,1215,18907,NA
Tennessee,2004,NA,NA,NA,1180,18490,NA,1215,18907,NA
Tennessee,2005,NA,NA,NA,1180,18490,NA,1215,18907,NA
Tennessee,2006,NA,NA,NA,1180,18490,NA,1215,18907,NA
Tennessee,2007,NA,NA,NA,1180,18624,NA,1215,19043,NA
Tennessee,2008,NA,NA,NA,1180,18769,NA,1215,19193,NA
Tennessee,2009,NA,NA,NA,1196,19302,NA,1215,19731,NA
Tennessee,2010,NA,NA,NA,1196,19302,NA,1215,19731,NA
Tennessee,2011,NA,NA,NA,1225,18952,NA,1245,19378,NA
Tennessee,2012,NA,NA,NA,1234,19007,NA,1259,19503,NA
Tennessee,2013,NA,NA,NA,1541,19987,NA,1572,20692,NA
Tennessee,2014,NA,NA,NA,1540,19986,NA,1571,20692,NA
Tennessee,2015,NA,NA,NA,1540,18999,NA,1571,19684,NA
Tennessee,2016,NA,NA,NA,2088,21030,NA,2141,21744,NA
