state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Colorado,1998,14,696,710,NA,NA,NA
Colorado,1999,9,797,806,NA,NA,NA
Colorado,2e3,13,822,835,3,84,87
Colorado,2001,15,889,904,3,62,65
Colorado,2002,14,1052,1066,1,62,63
Colorado,2003,18,906,924,5,45,50
Colorado,2004,22,1e3,1022,4,42,46
Colorado,2005,22,1007,1029,6,32,38
Colorado,2006,29,1108,1137,4,29,33
Colorado,2007,30,1093,1123,2,35,37
Colorado,2008,30,1082,1112,1,36,37
Colorado,2009,43,1207,1250,0,43,43
Colorado,2010,58,1198,1256,0,38,38
Colorado,2011,60,1723,1783,2,17,19
Colorado,2012,63,1592,1655,0,7,7
Colorado,2013,54,1215,1269,0,1,1
Colorado,2014,52,1473,1525,0,3,3
Colorado,2015,55,1403,1458,0,2,2
Colorado,2016,48,1353,1401,0,4,4
