state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
New Mexico,2016,1594344,1279964,2081015,1052374,1028641,811081,783263,639807,640157,177622,92744,84878,128325,68501,59824,111812,58738,53074,32198,17486,14712,26236,14450,11786,23961,13269,10692,37767,17389,20378,32293,13751,18542,28355,12139,16216,1010310,511289,499021,715392,364066,351326,611962,305912,306050,34579,14815,19764,23354,10284,13070,21206,9133,12073,788539,398651,389888,668744,340029,328715,482668,240616,242052,50,435,485,2,33,35,35,462,497,396,3745,4141,0,0,0,201,1540,1741
New Mexico,2015,1586110,1283011,2085109,1049370,1035739,805247,780863,639215,643796,178919,93946,84973,128558,68483,60075,113489,59226,54263,30443,18290,12153,23994,15086,8908,20498,12617,7881,38261,15339,22922,29975,10003,19972,26215,7700,18515,1002409,501429,500980,707016,359283,347733,609828,305733,304095,37742,17977,19765,22609,10363,12246,20360,8711,11649,797335,402389,394946,673958,342029,331929,492621,245228,247393,51,442,493,3,27,30,40,468,508,404,3871,4275,0,0,0,207,1545,1752
New Mexico,2014,1588033,1297353,2085572,1055089,1030483,809861,778172,650704,646649,185692,96453,89239,133888,70489,63399,120419,62566,57853,32156,18503,13653,26905,15822,11083,23811,13645,10166,36930,16349,20581,29198,12252,16946,25577,10498,15079,993908,499112,494796,696425,354013,342412,602308,301604,300704,29399,15193,14206,18020,9210,8810,16464,8275,8189,807487,409479,398008,683597,348075,335522,508774,254116,254658,69,443,512,1,24,25,38,465,503,382,3777,4159,0,0,0,181,1526,1707
New Mexico,2013,1578942,1293596,2085287,1049487,1035800,802022,776920,646953,646643,179209,92691,86518,127470,68214,59256,112326,59670,52656,27833,15295,12538,22796,12772,10024,19750,11043,8707,35997,14183,21814,29984,11170,18814,26481,9608,16873,986717,493276,493441,686985,348229,338756,596585,298373,298212,36113,18641,17472,21292,10702,10590,19522,9943,9579,819418,415401,404017,690415,350935,339480,518932,258316,260616,56,448,504,2,22,24,48,461,509,357,3658,4015,0,0,0,184,1489,1673
New Mexico,2012,1570724,1304456,2085538,1048485,1037053,801430,769294,654754,649702,182384,94110,88274,127966,67828,60138,114351,59425,54926,27563,15639,11924,22251,12980,9271,20329,11872,8457,37347,16879,20468,26585,12588,13997,24165,11101,13064,979977,492231,487746,677507,344907,332600,592482,298260,294222,29124,13130,15994,18947,8729,10218,17655,8087,9568,829143,416496,412647,697468,354398,343070,535474,266009,269465,11,80,91,1,23,24,47,485,532,385,3949,4334,0,0,0,177,1448,1625
New Mexico,2011,1564221,1302432,2082224,1046663,1035561,796647,767574,654095,648337,179e3,9e4,89e3,124861,63731,61130,112018,56478,55540,24615,13902,10713,20478,12753,7725,17833,11362,6471,35304,14491,20813,28082,11433,16649,24205,9316,14889,972204,488627,483577,667853,339826,328027,584888,293232,291656,35606,16544,19062,22952,10877,12075,21122,9852,11270,835495,423099,412396,699995,358027,341968,542366,273855,268511,51,498,549,3,22,25,55,505,560,311,3666,3977,0,0,0,203,1561,1764
New Mexico,2010,1548374,1288774,2065932,1046841,1019091,791507,756867,649779,638995,181225,91510,89715,128027,65469,62558,114470,57912,56558,23496,14033,9463,18765,11348,7417,16890,10567,6323,35768,16138,19630,29122,12706,16416,25037,10783,14254,959854,483675,476179,656306,334530,321776,575052,289545,285507,29832,18099,11733,16374,9905,6469,14786,9018,5768,835757,423386,412371,699780,357549,342231,542539,271954,270585,44,489,533,2,20,22,46,472,518,321,3537,3858,1,83,84,174,1428,1602
New Mexico,2009,1496203,1253113,2009671,1021889,987782,764839,731364,627652,625461,170776,88833,81943,119045,63333,55712,106480,55747,50733,27790,16620,11170,22024,12857,9167,19586,10921,8665,38209,19016,19193,27816,12647,15169,24255,10291,13964,916360,459152,457208,634021,318284,315737,557313,274779,282534,32918,16161,16757,18656,9171,9485,16670,8336,8334,823618,422107,401511,674641,348547,326094,528809,267578,261231,46,484,530,2,18,20,44,492,536,346,3370,3716,NA,NA,NA,156,1368,1524
New Mexico,2008,1484043,1239960,1984356,1004954,979402,760714,723329,622069,617891,165353,87136,78217,115512,62142,53370,103211,54988,48223,26024,13841,12183,20135,11202,8933,17506,9265,8241,40574,19224,21350,27350,12882,14468,23152,10605,12547,895150,450255,444895,621507,313891,307616,545135,270112,275023,32187,16229,15958,18237,9957,8280,16749,9111,7638,825068,418269,406799,681302,350640,330662,534207,267988,266219,44,460,504,2,16,18,46,487,533,304,3440,3744,0,0,0,160,1344,1504
New Mexico,2007,1475426,1241199,1969915,992536,977379,752818,722608,620651,620548,168455,86436,82019,114940,59170,55770,103693,52890,50803,28466,15894,12572,21681,11683,9998,19862,10526,9336,41028,17610,23418,29893,12015,17878,26233,9490,16743,872626,440030,432596,607272,308573,298699,532261,264840,267421,28807,12374,16433,16895,7249,9646,15422,6675,8747,830533,420192,410341,684745,354128,330617,543728,276230,267498,45,428,473,1,21,22,45,519,564,301,3503,3804,0,0,0,175,1416,1591
