state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
Nevada,1978,2,27,29,2,5,7,35,373,408,1,53,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37,869,906
Nevada,1979,1,28,29,3,5,8,35,412,447,1,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,52,1029,1081
Nevada,1980,1,20,21,1,11,12,50,495,545,4,48,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,48,1213,1261
Nevada,1981,3,13,16,3,25,28,44,547,591,4,72,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,36,1445,1481
Nevada,1982,1,13,14,3,23,26,55,594,649,3,77,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,88,1935,2023
Nevada,1983,1,12,13,2,21,23,81,935,1016,4,141,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,221,232,69,1835,1904
Nevada,1984,3,48,51,3,29,32,104,1103,1207,4,153,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,156,160,114,1924,2038
Nevada,1985,5,35,40,5,35,40,117,1123,1240,5,210,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,210,215,127,2109,2236
Nevada,1986,6,42,48,6,41,47,134,1300,1434,6,248,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,248,254,146,2438,2584
Nevada,1987,0,42,42,6,33,39,104,1245,1349,11,208,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,303,315,159,2530,2689
Nevada,1988,3,59,62,5,36,41,118,1421,1539,18,372,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,399,418,197,2624,2821
Nevada,1989,5,47,52,8,37,45,159,1351,1510,18,678,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,748,768,246,2491,2737
