state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Virginia,1993,NA,NA,NA,NA,NA,NA,999,8972,9971,79,455,534,9,178,187,6,57,63,111,1354,1465,25,224,249,NA,NA,NA,1230,11259,12489,NA,NA,NA
Virginia,1992,NA,NA,NA,NA,NA,NA,1115,9916,11031,65,309,374,8,148,156,1,31,32,97,1265,1362,26,232,258,NA,NA,NA,1313,11922,13235,NA,NA,NA
Virginia,1991,NA,NA,NA,NA,NA,NA,967,8749,9716,79,1050,1129,6,122,128,1,32,33,55,1129,1184,22,282,304,NA,NA,NA,1131,11382,12513,NA,NA,NA
Virginia,1990,NA,NA,NA,NA,NA,NA,860,7450,8310,21,680,701,5,104,109,2,24,26,52,664,716,17,156,173,NA,NA,NA,961,9120,10081,0,0,0
Virginia,1989,NA,NA,NA,NA,NA,NA,554,6669,7223,69,877,946,4,86,90,0,18,18,44,652,696,13,154,167,NA,NA,NA,689,8501,9190,0,0,0
Virginia,1988,NA,NA,NA,NA,NA,NA,525,5513,6038,6,69,75,4,86,90,0,0,0,6,34,40,50,651,701,NA,NA,NA,595,6496,7091,2,63,65
Virginia,1987,NA,NA,NA,NA,NA,NA,439,5038,5477,0,0,0,5,132,137,0,0,0,3,10,13,34,685,719,NA,NA,NA,489,6006,6495,6,64,70
Virginia,1986,NA,NA,NA,NA,NA,NA,413,4492,4905,1,23,24,7,149,156,0,0,0,5,81,86,36,589,625,NA,NA,NA,467,5477,5944,3,63,66
Virginia,1985,NA,NA,NA,NA,NA,NA,263,3895,4158,0,0,0,13,125,138,0,0,0,31,568,599,10,168,178,NA,NA,NA,331,5026,5357,13,200,213
Virginia,1984,NA,NA,NA,NA,NA,NA,313,3350,3663,0,0,0,4,146,150,0,0,0,20,629,649,13,306,319,NA,NA,NA,384,4849,5233,33,325,358
Virginia,1983,NA,NA,NA,NA,NA,NA,286,4135,4421,0,0,0,9,121,130,0,0,0,11,313,324,14,344,358,NA,NA,NA,339,5275,5614,16,265,281
Virginia,1982,NA,NA,NA,NA,NA,NA,234,4731,4965,16,0,16,6,185,191,0,0,0,8,206,214,13,396,409,0,0,0,289,6e3,6289,8,369,377
Virginia,1981,NA,NA,NA,NA,NA,NA,227,2992,3219,0,6,6,4,143,147,0,0,0,9,244,253,11,274,285,0,0,0,270,4210,4480,15,420,435
Virginia,1980,NA,NA,NA,NA,NA,NA,173,2744,2917,0,0,0,0,0,0,0,2,2,19,583,602,0,0,0,0,0,0,198,3536,3734,6,104,110
Virginia,1979,NA,NA,NA,NA,NA,NA,139,3035,3174,0,0,0,0,0,0,0,0,0,7,384,391,0,0,0,0,2,2,158,3666,3824,12,169,181
Virginia,1978,0,0,0,2,71,73,149,2296,2445,18,363,381,0,0,0,0,0,0,0,26,26,25,346,371,0,6,6,204,3303,3507,10,195,205
