state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Delaware,2016,747851,593084,952065,493471,458594,391639,356212,305466,287618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,1094,1261,538,6047,6585
Delaware,2015,741578,593841,945934,490694,455240,389245,352333,307006,286835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1094,1233,537,6117,6654
Delaware,2014,731376,590993,935614,481081,454533,381457,349919,302595,288398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,1216,1373,594,6361,6955
Delaware,2013,722020,588191,925749,476664,449085,378164,343856,303535,284656,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,599,6405,7004,181,1297,1478,599,6405,7004
Delaware,2012,712118,581471,917092,471181,445911,371043,341075,298441,283030,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,566,6348,6914,129,1157,1286,566,6348,6914
Delaware,2011,702607,577593,907135,467671,439464,366298,336309,296956,280637,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,537,6202,6739,150,1137,1287,537,6202,6739
Delaware,2010,694074,573567,899769,464042,435727,361964,332110,293402,280165,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,466,6149,6615,119,1163,1282,466,6149,6615
Delaware,2009,678296,559747,885122,455854,429268,355415,322881,288568,271179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,1333,1478,491,6284,6775
Delaware,2008,665733,553726,873092,450434,422658,350048,315685,286521,267205,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,555,6502,7057,143,1321,1464,555,6502,7057
Delaware,2007,663002,553714,864764,445873,418891,346041,316961,283373,270341,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,575,6682,7257,162,1237,1399,575,6682,7257
