state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Rhode Island,2016,847732,684839,1056426,545646,510780,443374,404358,349997,334842,0,0,0,0,0,0,23,243,266,0,0,0,0,1,1,1,11,12,0,0,0,0,0,0,49,913,962,2,21,23,0,0,0,23,637,660
Rhode Island,2015,845049,687412,1056298,545057,511241,441539,403510,350044,337368,0,0,0,0,0,0,14,185,199,0,0,0,0,1,1,0,8,8,0,0,0,0,0,0,41,772,813,1,31,32,0,0,0,26,542,568
Rhode Island,2014,843518,686837,1055173,543280,511893,440730,402788,350135,336702,0,0,0,0,0,0,12,211,223,0,1,1,0,1,1,2,4,6,0,0,0,0,0,0,63,836,899,3,28,31,0,0,0,44,588,632
Rhode Island,2013,839109,690023,1051511,537532,513979,436824,402285,349196,340827,0,0,0,0,0,0,12,257,269,0,1,1,0,1,1,2,9,11,0,0,0,0,0,0,58,857,915,5,24,29,0,0,0,39,564,603
Rhode Island,2012,833140,687475,1050292,543705,506587,437008,396132,351157,336318,0,0,0,0,0,0,23,323,346,0,2,2,0,0,0,0,8,8,0,0,0,0,0,0,66,932,998,1,28,29,0,0,0,41,568,609
Rhode Island,2011,832575,690472,1051302,543269,508033,436188,396387,352304,338168,0,2,2,1,0,1,31,301,332,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,81,928,1009,2,45,47,0,0,0,46,571,617
Rhode Island,2010,829198,686642,1052886,543765,509121,436089,393109,351457,335185,0,0,0,0,0,0,35,390,425,0,0,0,0,0,0,0,11,11,1,1,2,0,0,0,69,1086,1155,2,40,42,0,0,0,31,640,671
Rhode Island,2009,826575,685163,1053209,543751,509458,432411,394164,347004,338159,NA,NA,NA,0,0,0,44,506,550,1,1,2,0,0,0,3,9,12,0,0,0,NA,NA,NA,83,1212,1295,4,43,47,0,0,0,31,649,680
Rhode Island,2008,826653,686714,1050788,543938,506850,432715,393938,348779,337935,NA,NA,NA,0,0,0,54,460,514,0,2,2,0,0,0,1,5,6,0,0,0,NA,NA,NA,84,1046,1130,2,40,42,0,0,0,27,534,561
Rhode Island,2007,821741,686164,1057832,546706,511126,429602,392139,348291,337873,NA,NA,NA,0,0,0,23,378,401,0,3,3,0,0,0,5,7,12,0,4,4,NA,NA,NA,48,892,940,4,49,53,0,0,0,16,446,462
Rhode Island,2006,831897,692664,1067610,552479,515131,438400,393497,354802,337862,NA,NA,NA,0,0,0,28,306,334,0,3,3,0,0,0,2,18,20,0,3,3,NA,NA,NA,71,964,1035,4,61,65,0,0,0,37,569,606
Rhode Island,2005,784136,652537,1033284,535221,498063,413799,370337,336044,316493,0,0,0,0,0,0,22,313,335,1,4,5,NA,NA,NA,0,12,12,0,1,1,0,0,0,42,773,815,2,39,41,0,0,0,17,404,421
Rhode Island,2004,793335,659846,1037002,537536,499466,418646,374689,338997,320849,0,0,0,0,0,0,19,338,357,1,3,4,NA,NA,NA,0,19,19,0,1,1,0,0,0,42,836,878,3,43,46,0,0,0,19,426,445
Rhode Island,2003,794634,661036,1037196,537760,499436,418489,376145,339003,322033,0,0,0,0,0,0,33,428,461,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,405,3279,3684,0,0,0,0,0,0,339,2651,2990
Rhode Island,2002,792559,658145,1030762,536076,494686,419312,373247,339720,318425,0,0,0,0,0,0,25,454,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,2991,3312,0,0,0,0,0,0,238,2180,2418
Rhode Island,2001,775322,641751,1020102,529475,490627,409901,365421,329817,311934,0,0,0,0,0,0,47,403,450,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,412,2785,3197,0,0,0,0,0,0,278,2078,2356
Rhode Island,2000,755888,622299,1000802,525420,475382,406161,349727,326529,295770,0,0,0,0,0,0,29,384,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2807,3223,0,0,0,0,0,0,336,2175,2511
Rhode Island,1999,757764.5,623463,1000955.2,525066.3,475888.9,406772.4,350992.1,326380,297083,0,0,0,0,0,0,15,222,237,2,0,2,0,52,52,0,0,0,0,3,3,0,0,0,146,1228,1374,0,25,25,7,6,13,122,920,1042
Rhode Island,1998,759641,624627,1001108.4,524712.6,476395.8,407383.8,352257.2,326231,298396,NA,NA,NA,21,423,444,26,401,427,NA,NA,NA,3,3,6,0,0,0,0,3,3,NA,NA,NA,51,865,916,0,17,17,0,2,2,0,4,4
Rhode Island,1997,761517.5,625791,1001261.6,524358.9,476902.7,407995.2,353522.3,326082,299709,NA,NA,NA,13,395,408,38,411,449,NA,NA,NA,0,6,6,0,0,0,0,11,11,NA,NA,NA,54,861,915,1,11,12,0,3,3,0,9,9
Rhode Island,1996,763394,626955,1001414.8,524005.2,477409.6,408606.6,354787.4,325933,301022,NA,NA,NA,15,361,376,24,390,414,NA,NA,NA,0,3,3,0,0,0,1,5,6,NA,NA,NA,42,797,839,1,13,14,0,3,3,0,0,0
Rhode Island,1995,765270.5,628119,1001568,523651.5,477916.5,409218,356052.5,325784,302335,NA,NA,NA,8,363,371,40,435,475,NA,NA,NA,0,6,6,0,0,0,0,9,9,NA,NA,NA,50,863,913,1,14,15,0,2,2,0,5,5
Rhode Island,1994,767147,629283,1001721.2,523297.8,478423.4,409829.4,357317.6,325635,303648,NA,NA,NA,12,331,343,28,346,374,NA,NA,NA,1,0,1,0,0,0,1,11,12,NA,NA,NA,46,753,799,1,16,17,1,3,4,0,9,9
