state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
South Carolina,1978,0,4,4,0,0,0,178,4028,4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,132,3054,3186
South Carolina,1979,0,7,7,0,0,0,178,4166,4344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,138,3154,3292
South Carolina,1980,0,9,9,0,0,0,179,4406,4585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,148,3115,3263
South Carolina,1981,0,8,8,0,0,0,201,4771,4972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,160,3398,3558
South Carolina,1982,0,8,8,0,0,0,234,5124,5358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,9,170,3592,3762
South Carolina,1983,0,9,9,0,2,2,247,5414,5661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,13,179,3712,3891
South Carolina,1984,0,5,5,0,2,2,249,5627,5876,0,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,17,188,3770,3958
South Carolina,1985,0,4,4,0,3,3,294,6032,6326,1,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,18,206,3953,4159
South Carolina,1986,0,2,2,1,4,5,362,6489,6851,1,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,16,238,4564,4802
South Carolina,1987,1,7,8,0,3,3,384,7242,7626,3,32,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,31,273,4723,4996
South Carolina,1988,1,7,8,0,2,2,489,8131,8620,2,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,33,307,4918,5225
South Carolina,1989,0,9,9,0,2,2,625,9361,9986,1,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,34,303,5386,5689
South Carolina,1990,0,11,11,0,3,3,625,10598,11223,1,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,34,303,5621,5924
South Carolina,1991,0,13,13,0,2,2,710,11410,12120,3,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,35,332,5767,6099
South Carolina,1992,0,10,10,0,3,3,740,11857,12597,7,38,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,45,53,379,5601,5980
South Carolina,1993,0,13,13,0,6,6,739,12151,12890,3,32,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,53,59,360,5376,5736
South Carolina,1994,1,19,20,0,5,5,672,12502,13174,6,46,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,57,345,5398,5743
South Carolina,1995,3,17,20,0,9,9,710,12931,13641,5,65,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,72,76,328,5537,5865
South Carolina,1996,2,20,22,0,7,7,795,13464,14259,4,159,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,77,400,5681,6081
South Carolina,1997,1,17,18,NA,NA,NA,869,13893,14762,3,116,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,100,108,424,5858,6282
South Carolina,1998,1,19,20,NA,NA,NA,910,14429,15339,8,94,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,92,100,493,6158,6651
South Carolina,1999,4,13,17,NA,NA,NA,902,14269,15171,11,106,117,0,0,0,122,11,111,NA,NA,NA,0,1,1,528,6163,6691
South Carolina,2e3,5,30,35,NA,NA,NA,849,14467,15316,8,127,135,0,0,0,51,6,45,NA,NA,NA,0,0,0,550,5676,6226
