state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Louisiana,2016,3564536,2935832,4681666,2390206,2291460,1844753,1719783,1489542,1446290,0,0,0,5,86,91,1421,8963,10384,0,0,0,88,1305,1393,325,3620,3945,5,40,45,13,97,110,0,0,0,1857,14111,15968,0,0,0
Louisiana,2015,3555920,2948468,4670724,2383927,2286797,1844560,1711360,1499072,1449396,0,0,0,6,76,82,1435,9366,10801,0,0,0,101,1229,1330,246,3188,3434,6,53,59,14,108,122,0,0,0,1808,14020,15828,0,0,0
Louisiana,2014,3534984,2954086,4649676,2378697,2270979,1832919,1702065,1501257,1452829,0,0,0,3,79,82,1477,10162,11639,0,0,0,33,600,633,294,3592,3886,3,44,47,18,153,171,0,0,0,1828,14630,16458,0,0,0
Louisiana,2013,3515282,2957034,4625470,2367933,2257537,1819728,1695554,1501511,1455523,0,0,0,3,105,108,1365,10593,11958,0,38,38,34,572,606,285,3609,3894,2,46,48,22,204,226,0,0,0,1711,15167,16878,0,0,0
Louisiana,2012,3484029,2933137,4601893,2354322,2247571,1804690,1679339,1487436,1445701,4,13,17,4,115,119,1384,10813,12197,5,19,24,69,1211,1280,263,3290,3553,7,69,76,25,170,195,0,0,0,1761,15700,17461,0,0,0
Louisiana,2011,3456063,2926373,4574836,2334375,2240461,1792595,1663468,1484915,1441458,4,122,126,0,127,127,1325,10053,11378,73,218,291,25,612,637,258,3335,3593,5,44,49,29,184,213,0,0,0,1719,14695,16414,0,0,0
Louisiana,2010,3426437,2904926,4544228,2317994,2226234,1773050,1653387,1472606,1432320,8,108,116,4,98,102,1454,11406,12860,8,115,123,32,558,590,233,3058,3291,3,73,76,25,226,251,0,0,0,1767,15642,17409,NA,0,NA
Louisiana,2009,3369803,2854561,4492076,2307172,2184904,1758827,1610976,1457379,1397182,61,440,501,0,125,125,1202,8878,10080,34,216,250,31,591,622,224,3389,3613,4,74,78,30,267,297,NA,NA,NA,1586,13980,15566,0,0,0
Louisiana,2008,3311064,2810356,4410796,2271185,2139611,1730461,1580603,1435650,1374706,45,360,405,2,137,139,1261,9326,10587,56,251,307,36,559,595,276,3574,3850,7,88,95,47,373,420,NA,NA,NA,1730,14668,16398,0,0,0
Louisiana,2007,3210012,2726790,4293204,2205573,2087631,1678321,1531691,1394703,1332087,119,929,1048,6,121,127,1138,8222,9360,39,197,236,20,611,631,295,3483,3778,8,97,105,46,392,438,NA,NA,NA,1671,14052,15723,0,0,0
