state,year,population,population_adult,population_adult_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Vermont,2016,624594,504595,400859,0,0,0,9,73,82,7,44,51,0,0,0,236,1084,1320,0,0,0,0,0,0,0,0,0,280,1498,1778,0,45,45,0,0,0,28,245,273
Vermont,2015,626042,508307,408879,0,0,0,10,80,90,8,47,55,0,0,0,254,1183,1437,0,0,0,0,0,0,0,0,0,302,1633,1935,0,49,49,0,0,0,30,267,297
Vermont,2014,626562,504488,406248,0,0,0,9,74,83,7,44,51,0,0,0,229,1096,1325,0,0,0,0,0,0,0,0,0,272,1513,1785,0,45,45,0,0,0,27,247,274
Vermont,2013,626630,502138,409070,0,0,0,5,81,86,11,37,48,0,0,0,198,1142,1340,0,0,0,0,0,0,0,0,0,236,1565,1801,1,50,51,0,0,0,23,249,272
Vermont,2012,626011,503523,410764,0,0,0,6,94,100,5,44,49,0,0,0,241,1265,1506,0,0,0,0,0,0,0,0,0,284,1720,2004,3,38,41,0,0,0,29,277,306
Vermont,2011,626431,499643,411179,0,0,0,7,80,87,3,27,30,0,0,0,255,1347,1602,0,0,0,0,0,0,0,0,0,296,1800,2096,1,33,34,0,0,0,30,313,343
Vermont,2010,625960,495926,410786,0,0,0,7,84,91,7,33,40,0,0,0,292,1415,1707,0,0,0,0,0,0,0,0,0,323,1835,2158,2,26,28,0,0,0,15,271,286
Vermont,2009,621760,494463,409865,0,0,0,3,76,79,3,24,27,0,0,0,248,1357,1605,0,0,0,0,0,0,0,0,0,288,1720,2008,0,35,35,0,0,0,34,227,261
Vermont,2008,621270,493216,413134,0,0,0,4,67,71,8,24,32,0,0,0,330,1579,1909,0,0,0,0,0,0,0,0,0,361,1910,2271,1,29,30,0,0,0,18,209,227
Vermont,2007,621254,490336,413187,0,0,0,10,85,95,6,26,32,0,0,0,304,1633,1937,0,0,0,0,0,0,0,0,0,344,2047,2391,6,40,46,0,0,0,18,262,280
