state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Arkansas,2016,2282468,1831610,2988248,1517509,1470739,1177218,1105250,925184,906426,17554,9443,8111,12767,7338,5429,11837,6755,5082,47983,25316,22667,36316,19516,16800,33152,17987,15165,467540,242679,224861,341057,180948,160109,298167,155036,143131,214942,100978,113964,129561,61204,68357,122321,56969,65352,65948,35396,30552,36429,20304,16125,30624,17316,13308,2174281,1103697,1070584,1726338,887908,838430,1335509,671121,664388,11,47,58,5,65,70,298,6950,7248,19,536,555,0,15,15,1043,8548,9591
Arkansas,2015,2271414,1827973,2978204,1517455,1460749,1174261,1097153,926094,901879,18976,12038,6938,12956,8113,4843,11362,7269,4093,45821,25489,20332,33794,18370,15424,30955,16778,14177,468676,244931,223745,339407,181396,158011,297735,156985,140750,207590,98769,108821,126293,61855,64438,120549,58556,61993,63728,31343,32385,33535,16505,17030,29104,13791,15313,2173413,1104885,1068528,1725429,888022,837407,1338268,672715,665553,10,39,49,4,54,58,330,7186,7516,28,504,532,0,12,12,1030,8508,9538
Arkansas,2014,2259516,1825937,2966369,1512141,1454228,1166047,1093469,923302,902635,15877,7503,8374,11815,5203,6612,10586,4463,6123,44406,22998,21408,31190,16855,14335,29403,15658,13745,465115,246299,218816,333043,180177,152866,292603,155575,137028,205487,98086,107401,125488,59293,66195,118197,55762,62435,59048,31202,27846,34656,18107,16549,31310,15912,15398,2176436,1106053,1070383,1723324,886412,836912,1343838,675932,667906,11,41,52,5,53,58,328,7243,7571,23,490,513,0,10,10,1031,8636,9667
Arkansas,2013,2249166,1831045,2959373,1498176,1461197,1158142,1091024,924608,906437,16471,8201,8270,12799,6625,6174,11271,5845,5426,36932,20204,16728,27153,14740,12413,25657,13933,11724,463905,235349,228556,331134,176328,154806,294415,153686,140729,203460,96813,106647,120595,55728,64867,116458,53749,62709,61371,30798,30573,35176,18259,16917,29976,15079,14897,2177234,1106811,1070423,1722309,886462,835847,1353268,682316,670952,5,36,41,3,52,55,311,7148,7459,20,486,506,0,12,12,992,8168,9160
Arkansas,2012,2238946,1828899,2949131,1501450,1447681,1156973,1081973,923513,905386,14439,8609,5830,12091,7413,4678,10451,6382,4069,41820,21152,20668,31648,16649,14999,30091,15383,14708,459526,238321,221205,325412,174163,151249,290595,153119,137476,197146,94772,102374,116878,55423,61455,112251,52707,59544,54096,27085,27011,30345,16095,14250,25159,12855,12304,2182104,1111511,1070593,1722572,887230,835342,1360352,683067,677285,6,28,34,3,46,49,266,6216,6482,13,447,460,0,12,12,772,6842,7614
Arkansas,2011,2226659,1824848,2937979,1484798,1453181,1144173,1082486,917622,907226,15254,6812,8442,11793,5120,6673,9793,4560,5233,41090,20798,20292,28136,15284,12852,27239,14413,12826,460830,236393,224437,324825,172613,152212,287541,149409,138132,190192,86358,103834,114155,51557,62598,110064,49874,60190,48451,24281,24170,27063,12924,14139,23170,10662,12508,2182162,1110156,1072006,1720687,886675,834012,1367041,688704,678337,9,31,40,3,53,56,268,6714,6982,17,431,448,0,9,9,817,7757,8574
Arkansas,2010,2212082,1817710,2921606,1490353,1431253,1140908,1071174,919210,898500,18300,11363,6937,14474,9332,5142,13766,8751,5015,37361,19809,17552,27763,14508,13255,26187,13871,12316,462490,244018,218472,323417,173362,150055,287267,152223,135044,181598,84446,97152,108924,49412,59512,105e3,47231,57769,45486,22727,22759,25299,12327,12972,23138,11283,11855,2176371,1107990,1068381,1712205,881967,830238,1362352,685851,676501,7,24,31,3,47,50,282,6903,7185,29,443,472,0,9,9,843,7611,8454
Arkansas,2009,2181681,1793355,2889450,1478480,1410970,1130711,1050970,907891,885464,17134,9390,7744,12245,6367,5878,11125,5580,5545,33428,17274,16154,24575,12684,11891,21877,11580,10297,445384,236567,208817,315437,171156,144281,280326,149586,130740,171705,81116,90589,99347,46307,53040,96617,44562,52055,54545,26773,27772,31870,16e3,15870,27768,13470,14298,2167254,1107360,1059894,1698207,878197,820010,1355642,683113,672529,7,21,28,1,38,39,310,6622,6932,19,421,440,0,7,7,724,7027,7751
Arkansas,2008,2156214,1773950,2855390,1456831,1398559,1111613,1044601,891985,881965,15874,8325,7549,10821,6562,4259,9100,5328,3772,31690,16375,15315,22384,11700,10684,21039,10785,10254,443661,226780,216881,310207,165583,144624,274801,144798,130003,155309,73989,81320,89593,41178,48415,86854,39653,47201,52354,29335,23019,28736,16064,12672,26041,14608,11433,2156502,1102027,1054475,1694473,870526,823947,1356115,676813,679302,7,20,27,1,34,35,325,6338,6663,21,388,409,0,7,7,696,6869,7565
Arkansas,2007,2135054,1760542,2834797,1447346,1387451,1106521,1028533,891266,869276,14859,7908,6951,10601,4847,5754,9538,4334,5204,32512,16782,15730,20919,11789,9130,19319,10973,8346,442682,235166,207516,306467,166302,140165,270139,143444,126695,145918,63903,82015,90384,37568,52816,87969,36271,51698,43609,20375,23234,24389,12780,11609,20690,10435,10255,2155217,1103212,1052005,1682294,873235,809059,1352887,685809,667078,5,15,20,5,28,33,341,6140,6481,24,378,402,0,0,0,691,6677,7368
