state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Vermont,2016,504595,400859,624594,316422,308172,259493,245102,202139,198720,0,0,0,NA,NA,NA,0,0,0,0,264,0,264,264,264,135,1336,1471,35,380,415,135,1600,1735
Vermont,2015,508307,408879,626042,316023,310019,259259,249048,203587,205292,0,0,0,NA,NA,NA,0,0,0,0,241,0,241,241,241,150,1359,1509,50,315,365,150,1600,1750
Vermont,2014,504488,406248,626562,319919,306643,260641,243847,208182,198066,0,0,0,NA,NA,NA,0,0,0,0,431,0,431,431,431,156,1392,1548,29,329,358,156,1823,1979
Vermont,2013,502138,409070,626630,318348,308282,258317,243821,206198,202872,0,0,0,NA,NA,NA,0,0,0,0,499,0,499,499,499,154,1425,1579,46,361,407,154,1924,2078
Vermont,2012,503523,410764,626011,316237,309774,256288,247235,205254,205510,0,0,0,NA,NA,NA,0,0,0,0,504,0,504,504,504,127,1403,1530,42,369,411,127,1907,2034
Vermont,2011,499643,411179,626431,317140,309291,254641,245002,204766,206413,0,0,0,NA,NA,NA,0,0,0,0,522,0,522,522,522,148,1383,1531,38,303,341,148,1905,2053
Vermont,2010,495926,410786,625960,317714,308246,254861,241065,207335,203451,0,0,0,NA,NA,NA,0,0,0,0,562,0,562,562,562,149,1368,1517,32,296,328,149,1930,2079
Vermont,2009,494463,409865,621760,316137,305623,252305,242158,204419,205446,0,0,0,NA,NA,NA,0,0,0,0,668,0,668,668,668,155,1397,1552,44,334,378,155,2065,2220
Vermont,2008,493216,413134,621270,315989,305281,254338,238878,208567,204567,0,0,0,NA,NA,NA,0,0,0,0,726,0,726,726,726,118,1272,1390,25,341,366,118,1998,2116
Vermont,2007,490336,413187,621254,316458,304796,251789,238547,206790,206397,0,0,0,NA,NA,NA,0,0,0,0,726,0,726,726,726,118,1272,1390,25,341,366,118,1998,2116
Vermont,2006,491886,417975,623908,317359,306549,251873,240013,210362,207613,0,0,0,NA,NA,NA,0,0,0,0,524,0,524,524,524,157,1534,1691,32,370,402,157,2058,2215
Vermont,2005,474663,403020,609857,307641,302216,240853,233810,202497,200523,0,0,0,NA,NA,NA,0,0,0,0,457,0,457,457,457,152,1469,1621,44,337,381,152,1926,2078
Vermont,2004,465374,395443,600632,304876,295756,239172,226202,199689,195754,0,0,0,NA,NA,NA,0,0,0,0,439,0,439,439,439,143,1386,1529,49,322,371,143,1825,1968
