state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Connecticut,2016,2827751,2292041,3576452,1830542,1745910,1464350,1363401,1159318,1132723,1047,13993,65,443,508,982,13550,14532,298,2995,3293,982,13550,14532
Connecticut,2015,2828634,2299206,3590886,1837230,1753656,1466377,1362257,1161631,1137575,1119,14905,50,474,524,1069,14431,15500,364,2938,3302,1069,14431,15500
Connecticut,2014,2823459,2307453,3596677,1843981,1752696,1464931,1358528,1169505,1137948,1110,15704,64,583,647,1046,15121,16167,316,3204,3520,1046,15121,16167
Connecticut,2013,2811600,2307112,3596080,1844231,1751849,1459733,1351867,1170603,1136509,1157,16162,48,677,725,1109,15485,16594,323,3366,3689,1109,15485,16594
Connecticut,2012,2796969,2307171,3590347,1843982,1746365,1454145,1342824,1172516,1134655,1136,16028,106,711,817,1030,15317,16347,344,3422,3766,1030,15317,16347
Connecticut,2011,2777833,2295955,3580709,1837345,1743364,1446091,1331742,1165066,1130889,1152,16725,106,749,855,1046,15976,17022,283,3411,3694,1046,15976,17022
Connecticut,2010,2762028,2289579,3577073,1844880,1732193,1442197,1319831,1164882,1124697,1161,17468,130,753,883,1031,16715,17746,306,3449,3755,1031,16715,17746
Connecticut,2009,2710846,2255218,3518288,1801145,1717143,1408436,1302410,1140855,1114363,1195,17743,115,770,885,1080,16973,18053,312,3489,3801,1080,16973,18053
Connecticut,2008,2689215,2246294,3501252,1791958,1709294,1396007,1293208,1135148,1111146,1381,18524,114,813,927,1267,17711,18978,354,3478,3832,1267,17711,18978
Connecticut,2007,2687835,2243777,3502309,1795389,1706920,1399869,1287966,1136682,1107095,1294,18144,0,0,0,1294,18144,19438,339,3551,3890,1294,18144,19438
Connecticut,2006,2691893,2253246,3504809,1799814,1704995,1405976,1285917,1146481,1106765,1367,17535,0,0,0,1367,17535,18902,396,3568,3964,1367,17535,18902
Connecticut,2005,2550309,2136722,3365768,1729313,1636455,1331878,1218431,1090545,1046177,1296,16632,0,0,0,1296,16632,17928,370,3359,3729,1296,16632,17928
Connecticut,2004,2556258,2147466,3389483,1738966,1650517,1338169,1218089,1098419,1049047,1312,16681,0,0,0,1312,16681,17993,362,3294,3656,1312,16681,17993
Connecticut,2003,2539350,2131137,3371241,1736293,1634948,1330300,1209050,1090659,1040478,1373,16650,0,0,0,1373,16650,18023,350,3283,3633,1373,16650,18023
Connecticut,2002,2483379,2066299,3350345,1737413,1612932,1308443,1174936,1063060,1003239,1430,17286,0,0,0,1430,17286,18716,323,3305,3628,1430,17286,18716
Connecticut,2001,2509829,2097982,3317131,1708570,1608561,1322814,1187015,1079452,1018530,1239,16268,0,0,0,1239,16268,17507,314,3145,3459,1239,16268,17507
Connecticut,2000,2448737,2027334,3294802,1706844,1587958,1301291,1147446,1049074,978260,1179,15492,0,0,0,1179,15492,16671,293,2730,3023,1179,15492,16671
Connecticut,1999,2456843.4,2036554.9,3293534.8,1705590.2,1587944.6,1303627,1153216.4,1051798.8,984756.1,1236,15751,0,0,0,1236,15751,16987,319,2898,3217,1236,15751,16987
Connecticut,1998,2464949.8,2045775.8,3292267.6,1704336.4,1587931.2,1305963,1158986.8,1054523.6,991252.2,NA,NA,NA,NA,NA,NA,NA,NA,311,2869,3180,1115,14989,16104
Connecticut,1997,2473056.2,2054996.7,3291000.4,1703082.6,1587917.8,1308299,1164757.2,1057248.4,997748.3,NA,NA,NA,NA,NA,NA,NA,NA,272,2840,3112,1059,14499,15558
Connecticut,1996,2481162.6,2064217.6,3289733.2,1701828.8,1587904.4,1310635,1170527.6,1059973.2,1004244.4,NA,NA,NA,NA,NA,NA,NA,NA,267,2873,3140,1140,14093,15233
