state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
West Virginia,1998,0,10,10,NA,NA,NA
West Virginia,1999,0,10,10,NA,NA,NA
West Virginia,2e3,0,8,8,NA,NA,NA
West Virginia,2001,0,10,10,NA,NA,NA
West Virginia,2002,0,13,13,0,0,0
West Virginia,2003,0,12,12,0,0,0
West Virginia,2004,0,14,14,0,0,0
West Virginia,2005,0,9,9,0,0,0
West Virginia,2006,2,16,18,0,0,0
West Virginia,2007,0,2,2,0,0,0
West Virginia,2008,0,8,8,0,0,0
West Virginia,2009,0,6,6,0,0,0
West Virginia,2010,0,8,8,0,0,0
West Virginia,2011,1,16,17,0,0,0
West Virginia,2012,1,17,18,0,0,0
West Virginia,2013,2,20,22,0,0,0
West Virginia,2014,1,22,23,0,0,0
West Virginia,2015,1,17,18,0,0,0
West Virginia,2016,0,25,25,0,0,0
