state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Nebraska,2016,1435296,1169912,1907116,956973,950143,724739,710557,578225,591687,2,13,15,8,42,50,245,1299,1544,0,2,2,0,0,0,1,6,7,3,2,5,0,0,0,349,2064,2413,6,24,30,0,0,0,79,646,725
Nebraska,2015,1426194,1165803,1896190,952942,943248,724298,701896,579144,586659,1,16,17,0,0,0,247,1173,1420,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,329,2029,2358,5,19,24,0,0,0,75,801,876
Nebraska,2014,1412937,1161182,1881503,942332,939171,717025,695912,575802,585380,2,14,16,0,0,0,238,1202,1440,0,0,0,13,22,35,0,0,0,0,3,3,0,0,0,334,1992,2326,3,23,26,0,0,0,78,715,793
Nebraska,2013,1404304,1158219,1868516,942838,925678,715133,689171,575868,582351,7,23,30,0,0,0,256,1469,1725,0,0,0,28,46,74,0,1,1,0,7,7,0,0,0,367,2261,2628,2,13,15,0,3,3,73,684,757
Nebraska,2012,1390194,1152335,1855525,937600,917925,709002,681192,574783,577552,3,45,48,0,0,0,274,1600,1874,0,0,0,27,49,76,0,1,1,0,4,4,0,0,0,381,2362,2743,1,6,7,0,1,1,73,647,720
Nebraska,2011,1383448,1149737,1842641,928462,914179,706151,677297,572429,577308,1,34,35,0,0,0,210,1186,1396,0,0,0,30,107,137,0,4,4,1,2,3,0,0,0,339,2099,2438,1,11,12,0,2,2,95,735,830
Nebraska,2010,1372662,1139817,1830429,921958,908471,697890,674772,562150,577667,4,24,28,0,0,0,147,942,1089,0,0,0,7,43,50,1,1,2,0,0,0,0,0,0,247,1905,2152,1,0,1,0,0,0,86,881,967
Nebraska,2009,1349219,1122311,1796622,902165,894457,685233,663986,553903,568408,2,25,27,NA,NA,NA,134,910,1044,0,0,0,5,16,21,NA,NA,NA,1,3,4,NA,NA,NA,254,1903,2157,2,21,23,0,1,1,108,911,1019
Nebraska,2008,1328234,1106692,1783432,900386,883046,680017,648217,550803,555889,1,23,24,0,0,0,134,774,908,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,275,1715,1990,0,3,3,0,4,4,140,898,1038
Nebraska,2007,1314994,1096632,1774571,895567,879004,672429,642565,546689,549943,3,24,27,0,0,0,179,814,993,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,302,1681,1983,0,4,4,0,0,0,119,828,947
Nebraska,2006,1321027,1100473,1768331,891526,876805,675529,645498,546472,554001,8,37,45,NA,NA,NA,163,884,1047,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,286,1820,2106,2,18,20,0,0,0,111,872,983
Nebraska,2005,1272694,1067059,1706343,867196,839147,656256,616438,537866,529193,6,25,31,0,0,0,108,761,869,0,1,1,NA,NA,NA,1,2,3,0,0,0,0,0,0,269,1734,2003,0,1,1,0,0,0,152,938,1090
Nebraska,2004,1270329,1070575,1708711,861868,846843,652429,617900,536976,533599,1,22,23,0,0,0,133,965,1098,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,215,1838,2053,0,0,0,0,0,0,81,843,924
Nebraska,2003,1249961,1049267,1686921,847805,839116,640250,609711,526345,522922,0,22,22,0,0,0,126,709,835,0,1,1,5,1,6,0,0,0,0,0,0,0,0,0,253,1723,1976,0,0,0,0,0,0,122,983,1105
Nebraska,2002,1242275,1039634,1678166,853502,824664,637185,605090,519804,519830,4,24,28,0,0,0,108,654,762,0,0,0,2,12,14,0,12,12,0,0,0,0,0,0,220,1648,1868,0,0,0,0,0,0,106,937,1043
Nebraska,2001,1226065,1024548,1664625,841703,822922,631273,594792,512822,511726,0,0,0,0,0,0,86,613,699,0,17,17,0,8,8,0,0,0,0,0,0,0,0,0,155,1600,1755,0,0,0,0,4,4,69,950,1019
Nebraska,2000,1214222,1007886,1670419,842160,828259,625399,588823,505859,502027,0,0,0,0,0,0,86,511,597,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,161,1357,1518,0,0,0,0,0,0,73,825,898
Nebraska,1999,1207589.7,1000972.8,1661182,838742.1,822439.9,622767.7,584822,502486.9,498485.9,NA,NA,NA,NA,NA,NA,91,594,685,3,19,22,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,152,1429,1581,0,1,1,0,0,0,58,805,863
Nebraska,1998,1200957.4,994059.6,1651945,835324.2,816620.8,620136.4,580821,499114.8,494944.8,NA,NA,NA,NA,NA,NA,90,612,702,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,159,1373,1532,0,0,0,0,0,0,67,742,809
Nebraska,1997,1194325.1,987146.4,1642708,831906.3,810801.7,617505.1,576820,495742.7,491403.7,NA,NA,NA,NA,NA,NA,119,644,763,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,180,1361,1541,0,0,0,0,0,0,58,685,743
