state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Maine,1983,NA,NA,854,NA,NA,854,NA,NA,854
Maine,1984,NA,NA,NA,NA,NA,NA,NA,NA,951
Maine,1985,NA,NA,1033,NA,NA,1033,NA,NA,1033
Maine,1986,NA,NA,1033,NA,NA,1033,NA,NA,1033
Maine,1987,NA,NA,934,NA,NA,1237,NA,NA,934
Maine,1988,NA,NA,934,NA,NA,934,NA,NA,934
Maine,1989,NA,NA,1049,NA,NA,1049,NA,NA,1049
Maine,1990,NA,NA,1193,NA,NA,1193,NA,NA,1193
Maine,1991,NA,NA,1193,NA,NA,1193,NA,NA,1193
Maine,1992,NA,NA,1353,NA,NA,1353,NA,NA,1353
Maine,1993,NA,NA,1353,NA,NA,1353,NA,NA,1353
Maine,1994,NA,NA,1353,NA,NA,1353,NA,NA,1353
Maine,1995,NA,NA,1353,NA,NA,1353,NA,NA,1353
Maine,1996,NA,NA,1490,NA,NA,1490,NA,NA,1490
Maine,1997,NA,NA,1437,NA,NA,1590,NA,NA,1437
Maine,1998,NA,NA,1460,NA,NA,1629,NA,NA,1460
Maine,1999,53,1407,NA,58,1581,NA,53,1407,NA
Maine,2e3,53,1407,NA,68,1573,NA,47,1381,NA
Maine,2001,53,1407,NA,68,1573,NA,47,1381,NA
Maine,2002,82,1697,NA,82,1697,NA,82,1697,NA
Maine,2003,82,1697,NA,82,1697,NA,82,1697,NA
Maine,2004,82,1697,NA,82,1697,NA,82,1697,NA
Maine,2005,82,1815,NA,82,1815,NA,82,1815,NA
Maine,2006,70,1815,NA,70,1815,NA,70,1815,NA
Maine,2007,70,1815,NA,70,1815,NA,70,1815,NA
Maine,2008,70,1815,NA,70,1815,NA,70,1815,NA
Maine,2009,167,2172,NA,145,1988,NA,167,2172,NA
Maine,2010,167,2172,NA,145,1988,NA,167,2172,NA
Maine,2011,167,2172,NA,145,1988,NA,167,2172,NA
Maine,2012,167,2172,NA,145,1988,NA,167,2172,NA
Maine,2013,167,2172,NA,45,1988,NA,167,2172,NA
Maine,2014,167,2172,NA,145,1988,NA,167,2172,NA
Maine,2015,199,2279,NA,199,2279,NA,200,2056,NA
Maine,2016,2350,2350,NA,2350,2350,NA,228,2116,NA
