year,state,total_admissions,aggravated_or_simple_assault_total_admissions,burglary_total_admissions,drugs_total_admissions,fraud_total_admissions,motor_vehicle_theft_total_admissions,murder_total_admissions,negligent_manslaughter_total_admissions,other_property_offenses_total_admissions,other_unknown_total_admissions,other_violent_offenses_total_admissions,public_order_total_admissions,rape_or_sexual_assault_total_admissions,robbery_total_admissions,theft_total_admissions,aggravated_or_simple_assault_female_total_admissions,aggravated_or_simple_assault_male_total_admissions,burglary_female_total_admissions,burglary_male_total_admissions,drugs_female_total_admissions,drugs_male_total_admissions,fraud_female_total_admissions,fraud_male_total_admissions,motor_vehicle_theft_female_total_admissions,motor_vehicle_theft_male_total_admissions,murder_female_total_admissions,murder_male_total_admissions,negligent_manslaughter_female_total_admissions,negligent_manslaughter_male_total_admissions,other_property_offenses_female_total_admissions,other_property_offenses_male_total_admissions,other_unknown_female_total_admissions,other_unknown_male_total_admissions,other_violent_offenses_female_total_admissions,other_violent_offenses_male_total_admissions,public_order_female_total_admissions,public_order_male_total_admissions,rape_or_sexual_assault_female_total_admissions,rape_or_sexual_assault_male_total_admissions,robbery_female_total_admissions,robbery_male_total_admissions,theft_female_total_admissions,theft_male_total_admissions,aggravated_or_simple_assault_black_total_admissions,aggravated_or_simple_assault_hispanic_total_admissions,aggravated_or_simple_assault_other_or_unknown_total_admissions,aggravated_or_simple_assault_white_total_admissions,burglary_black_total_admissions,burglary_hispanic_total_admissions,burglary_other_or_unknown_total_admissions,burglary_white_total_admissions,drugs_black_total_admissions,drugs_hispanic_total_admissions,drugs_other_or_unknown_total_admissions,drugs_white_total_admissions,fraud_black_total_admissions,fraud_hispanic_total_admissions,fraud_other_or_unknown_total_admissions,fraud_white_total_admissions,motor_vehicle_theft_black_total_admissions,motor_vehicle_theft_hispanic_total_admissions,motor_vehicle_theft_other_or_unknown_total_admissions,motor_vehicle_theft_white_total_admissions,murder_black_total_admissions,murder_hispanic_total_admissions,murder_other_or_unknown_total_admissions,murder_white_total_admissions,negligent_manslaughter_black_total_admissions,negligent_manslaughter_hispanic_total_admissions,negligent_manslaughter_other_or_unknown_total_admissions,negligent_manslaughter_white_total_admissions,other_property_offenses_black_total_admissions,other_property_offenses_hispanic_total_admissions,other_property_offenses_other_or_unknown_total_admissions,other_property_offenses_white_total_admissions,other_unknown_black_total_admissions,other_unknown_hispanic_total_admissions,other_unknown_other_or_unknown_total_admissions,other_unknown_white_total_admissions,other_violent_offenses_black_total_admissions,other_violent_offenses_hispanic_total_admissions,other_violent_offenses_other_or_unknown_total_admissions,other_violent_offenses_white_total_admissions,public_order_black_total_admissions,public_order_hispanic_total_admissions,public_order_other_or_unknown_total_admissions,public_order_white_total_admissions,rape_or_sexual_assault_black_total_admissions,rape_or_sexual_assault_hispanic_total_admissions,rape_or_sexual_assault_other_or_unknown_total_admissions,rape_or_sexual_assault_white_total_admissions,robbery_black_total_admissions,robbery_hispanic_total_admissions,robbery_other_or_unknown_total_admissions,robbery_white_total_admissions,theft_black_total_admissions,theft_hispanic_total_admissions,theft_other_or_unknown_total_admissions,theft_white_total_admissions,aggravated_or_simple_assault_black_female_admissions,aggravated_or_simple_assault_black_male_admissions,aggravated_or_simple_assault_hispanic_female_admissions,aggravated_or_simple_assault_hispanic_male_admissions,aggravated_or_simple_assault_other_or_unknown_female_admissions,aggravated_or_simple_assault_other_or_unknown_male_admissions,aggravated_or_simple_assault_white_female_admissions,aggravated_or_simple_assault_white_male_admissions,burglary_black_female_admissions,burglary_black_male_admissions,burglary_hispanic_female_admissions,burglary_hispanic_male_admissions,burglary_other_or_unknown_female_admissions,burglary_other_or_unknown_male_admissions,burglary_white_female_admissions,burglary_white_male_admissions,drugs_black_female_admissions,drugs_black_male_admissions,drugs_hispanic_female_admissions,drugs_hispanic_male_admissions,drugs_other_or_unknown_female_admissions,drugs_other_or_unknown_male_admissions,drugs_white_female_admissions,drugs_white_male_admissions,fraud_black_female_admissions,fraud_black_male_admissions,fraud_hispanic_female_admissions,fraud_hispanic_male_admissions,fraud_other_or_unknown_female_admissions,fraud_other_or_unknown_male_admissions,fraud_white_female_admissions,fraud_white_male_admissions,motor_vehicle_theft_black_female_admissions,motor_vehicle_theft_black_male_admissions,motor_vehicle_theft_hispanic_female_admissions,motor_vehicle_theft_hispanic_male_admissions,motor_vehicle_theft_other_or_unknown_female_admissions,motor_vehicle_theft_other_or_unknown_male_admissions,motor_vehicle_theft_white_female_admissions,motor_vehicle_theft_white_male_admissions,murder_black_female_admissions,murder_black_male_admissions,murder_hispanic_female_admissions,murder_hispanic_male_admissions,murder_other_or_unknown_female_admissions,murder_other_or_unknown_male_admissions,murder_white_female_admissions,murder_white_male_admissions,negligent_manslaughter_black_female_admissions,negligent_manslaughter_black_male_admissions,negligent_manslaughter_hispanic_female_admissions,negligent_manslaughter_hispanic_male_admissions,negligent_manslaughter_other_or_unknown_female_admissions,negligent_manslaughter_other_or_unknown_male_admissions,negligent_manslaughter_white_female_admissions,negligent_manslaughter_white_male_admissions,other_property_offenses_black_female_admissions,other_property_offenses_black_male_admissions,other_property_offenses_hispanic_female_admissions,other_property_offenses_hispanic_male_admissions,other_property_offenses_other_or_unknown_female_admissions,other_property_offenses_other_or_unknown_male_admissions,other_property_offenses_white_female_admissions,other_property_offenses_white_male_admissions,other_unknown_black_female_admissions,other_unknown_black_male_admissions,other_unknown_hispanic_female_admissions,other_unknown_hispanic_male_admissions,other_unknown_other_or_unknown_female_admissions,other_unknown_other_or_unknown_male_admissions,other_unknown_white_female_admissions,other_unknown_white_male_admissions,other_violent_offenses_black_female_admissions,other_violent_offenses_black_male_admissions,other_violent_offenses_hispanic_female_admissions,other_violent_offenses_hispanic_male_admissions,other_violent_offenses_other_or_unknown_female_admissions,other_violent_offenses_other_or_unknown_male_admissions,other_violent_offenses_white_female_admissions,other_violent_offenses_white_male_admissions,public_order_black_female_admissions,public_order_black_male_admissions,public_order_hispanic_female_admissions,public_order_hispanic_male_admissions,public_order_other_or_unknown_female_admissions,public_order_other_or_unknown_male_admissions,public_order_white_female_admissions,public_order_white_male_admissions,rape_or_sexual_assault_black_female_admissions,rape_or_sexual_assault_black_male_admissions,rape_or_sexual_assault_hispanic_female_admissions,rape_or_sexual_assault_hispanic_male_admissions,rape_or_sexual_assault_other_or_unknown_female_admissions,rape_or_sexual_assault_other_or_unknown_male_admissions,rape_or_sexual_assault_white_female_admissions,rape_or_sexual_assault_white_male_admissions,robbery_black_female_admissions,robbery_black_male_admissions,robbery_hispanic_female_admissions,robbery_hispanic_male_admissions,robbery_other_or_unknown_female_admissions,robbery_other_or_unknown_male_admissions,robbery_white_female_admissions,robbery_white_male_admissions,theft_black_female_admissions,theft_black_male_admissions,theft_hispanic_female_admissions,theft_hispanic_male_admissions,theft_other_or_unknown_female_admissions,theft_other_or_unknown_male_admissions,theft_white_female_admissions,theft_white_male_admissions
1991,Minnesota,2593,243,433,332,184,177,69,42,130,NA,82,81,330,212,278,13,230,11,422,51,281,41,143,4,173,5,64,4,38,11,119,NA,NA,2,80,10,71,7,323,11,201,30,248,73,19,36,115,84,14,64,271,152,29,10,141,47,1,4,132,44,5,32,96,27,2,9,31,6,3,7,26,30,2,9,89,NA,NA,NA,NA,22,6,5,49,17,1,5,58,74,10,22,224,126,7,13,66,92,6,28,152,6,67,NA,19,5,31,2,113,2,82,NA,14,3,61,6,265,24,128,1,28,1,9,25,116,13,34,NA,1,2,2,26,106,NA,44,NA,5,NA,32,4,92,1,26,NA,2,2,7,2,29,NA,6,1,2,1,6,2,24,5,25,NA,2,1,8,5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,6,NA,5,2,47,2,15,NA,1,NA,5,8,50,NA,74,1,9,1,21,5,219,6,120,NA,7,1,12,4,62,20,72,1,5,2,26,7,145
1992,Minnesota,2957,304,418,410,214,215,112,40,125,1,92,101,422,240,263,21,283,3,415,61,349,49,165,2,213,8,104,4,36,4,121,NA,1,4,88,6,95,10,412,17,223,43,220,96,25,45,138,77,11,46,284,208,26,8,168,49,4,6,155,44,5,28,138,41,5,17,49,9,3,4,24,30,NA,11,84,NA,NA,NA,1,34,7,6,45,26,2,8,65,84,21,33,284,144,5,24,67,99,4,20,140,6,90,NA,25,5,40,10,128,1,76,NA,11,1,45,1,283,30,178,2,24,2,6,27,141,8,41,1,3,2,4,38,117,NA,44,NA,5,NA,28,2,136,2,39,1,4,1,16,4,45,1,8,NA,3,1,3,2,22,3,27,NA,NA,NA,11,1,83,NA,NA,NA,NA,NA,NA,NA,1,1,33,NA,7,1,5,2,43,3,23,NA,2,1,7,2,63,1,83,NA,21,1,32,8,276,11,133,NA,5,3,21,3,64,25,74,NA,4,2,18,16,124
1993,Minnesota,3077,339,488,501,174,177,115,44,122,1,120,106,387,268,235,18,321,5,483,70,431,49,125,3,174,8,107,5,39,9,113,NA,1,7,113,6,100,2,385,15,253,36,199,133,14,62,130,110,9,58,311,269,33,13,186,48,3,8,115,45,8,25,99,53,9,11,42,7,2,5,30,31,5,7,79,NA,NA,NA,1,38,8,18,56,29,1,16,60,80,24,25,258,165,6,25,72,109,6,11,109,6,127,NA,14,6,56,6,124,1,109,NA,9,NA,58,4,307,35,234,2,31,4,9,29,157,19,29,NA,3,5,3,25,90,NA,45,NA,8,1,24,2,97,2,51,NA,9,1,10,5,37,1,6,NA,2,1,4,3,27,3,28,NA,5,NA,7,6,73,NA,NA,NA,NA,NA,NA,NA,1,1,37,NA,8,3,15,3,53,3,26,NA,1,NA,16,3,57,1,79,NA,24,NA,25,1,257,9,156,NA,6,2,23,4,68,24,85,NA,6,2,9,10,99
1994,Minnesota,3105,385,459,488,191,167,142,38,113,2,121,121,425,242,211,30,355,10,449,75,413,57,134,4,163,7,135,2,36,9,104,NA,2,8,113,4,117,1,424,10,232,25,186,150,27,66,142,113,4,57,285,259,28,11,190,55,6,11,119,37,1,21,108,64,12,13,53,5,3,5,25,17,6,6,84,1,NA,NA,1,35,9,15,62,44,3,13,61,104,22,32,267,158,3,15,66,97,1,9,104,17,133,NA,27,5,61,8,134,1,112,NA,4,1,56,8,277,34,225,2,26,3,8,36,154,16,39,NA,6,5,6,36,83,NA,37,NA,1,1,20,3,105,3,61,NA,12,1,12,3,50,NA,5,NA,3,NA,5,2,23,3,14,NA,6,1,5,5,79,NA,1,NA,NA,NA,NA,NA,1,4,31,NA,9,NA,15,4,58,NA,44,NA,3,NA,13,4,57,NA,104,NA,22,NA,32,1,266,7,151,NA,3,2,13,1,65,16,81,NA,1,NA,9,9,95
1995,Minnesota,3068,403,419,464,167,155,138,43,127,NA,145,135,430,249,193,23,380,11,408,56,408,57,110,7,148,7,131,2,41,14,113,NA,NA,2,143,9,126,6,424,17,232,20,173,167,26,54,156,98,16,46,259,267,21,14,162,45,1,9,112,34,3,21,97,47,10,24,57,11,3,4,25,24,1,14,88,NA,NA,NA,NA,56,6,13,70,33,4,21,77,98,29,42,261,157,11,16,65,77,9,5,102,16,151,NA,26,2,52,5,151,2,96,NA,16,NA,46,9,250,25,242,3,18,3,11,25,137,13,32,NA,1,5,4,39,73,2,32,NA,3,1,20,4,93,3,44,1,9,NA,24,3,54,NA,11,NA,3,NA,4,2,23,5,19,NA,1,3,11,6,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,6,1,12,1,69,2,31,1,3,NA,21,6,71,NA,98,1,28,NA,42,5,256,10,147,NA,11,NA,16,7,58,11,66,NA,9,NA,5,9,93
1996,Minnesota,3409,448,458,495,208,166,141,45,130,52,149,197,418,276,226,16,432,5,453,53,442,67,141,9,157,11,130,3,42,12,118,9,43,5,144,6,191,4,414,14,262,27,199,169,23,62,194,108,13,53,284,258,39,9,189,73,5,7,123,44,8,26,88,64,15,16,46,8,4,9,24,25,5,12,88,17,4,6,25,57,5,11,76,73,14,20,90,99,26,42,251,172,10,20,74,100,9,10,107,5,164,1,22,4,58,6,188,1,107,NA,13,1,52,3,281,22,236,1,38,NA,9,30,159,24,49,1,4,3,4,39,84,2,42,NA,8,1,25,6,82,5,59,1,14,1,15,4,42,NA,8,NA,4,1,8,2,22,2,23,NA,5,NA,12,10,78,4,13,1,3,1,5,3,22,1,56,NA,5,NA,11,4,72,NA,73,NA,14,1,19,5,85,NA,99,NA,26,NA,42,4,247,10,162,1,9,NA,20,3,71,17,83,NA,9,1,9,9,98
1997,Minnesota,3630,487,386,629,224,206,122,44,137,26,165,270,417,304,213,16,471,10,376,78,551,82,142,4,202,11,111,5,39,17,120,4,22,10,155,8,262,3,414,17,287,21,192,195,42,69,181,87,11,47,241,307,66,17,239,65,2,12,145,35,6,37,128,51,13,16,42,10,NA,8,26,29,5,16,87,13,NA,1,12,61,7,19,78,114,11,39,106,119,25,29,244,186,13,16,89,84,6,9,114,10,185,NA,42,3,66,3,178,1,86,NA,11,1,46,8,233,31,276,3,63,2,15,42,197,30,35,NA,2,5,7,47,98,1,34,NA,6,NA,37,3,125,4,47,1,12,NA,16,6,36,3,7,NA,NA,1,7,1,25,4,25,NA,5,3,13,10,77,1,12,NA,NA,NA,1,3,9,7,54,NA,7,1,18,2,76,2,112,NA,11,1,38,5,101,NA,119,NA,25,NA,29,3,241,9,177,2,11,1,15,5,84,12,72,NA,6,1,8,8,106
1998,Minnesota,4124,560,391,866,239,213,117,26,130,2,154,345,497,343,241,32,528,9,382,103,763,87,152,10,203,11,106,NA,26,12,118,NA,2,7,147,12,333,10,487,13,330,30,211,239,36,57,228,95,14,43,239,408,95,20,343,78,1,12,148,46,5,43,119,46,11,11,49,7,2,7,10,38,8,12,72,2,NA,NA,NA,63,5,16,70,135,18,37,155,141,23,47,286,215,7,32,89,108,3,17,113,14,225,NA,36,4,53,14,214,NA,95,NA,14,2,41,7,232,37,371,6,89,2,18,58,285,26,52,NA,1,6,6,55,93,3,43,NA,5,2,41,5,114,3,43,1,10,1,10,6,43,NA,7,NA,2,NA,7,NA,10,2,36,NA,8,4,8,6,66,NA,2,NA,NA,NA,NA,NA,NA,1,62,NA,5,2,14,4,66,6,129,NA,18,2,35,4,151,1,140,NA,23,2,45,7,279,9,206,NA,7,1,31,3,86,16,92,1,2,2,15,11,102
1999,Minnesota,4198,531,435,879,254,235,132,43,119,4,175,404,470,297,220,31,500,10,425,95,784,103,151,13,222,9,123,3,40,10,109,NA,4,6,169,25,379,7,463,19,278,37,183,207,43,92,189,134,19,43,239,403,88,38,350,75,3,18,158,54,3,45,133,59,11,22,40,8,NA,5,30,48,8,12,51,NA,1,NA,3,52,10,28,85,179,16,55,154,144,35,46,245,167,14,23,93,101,4,12,103,8,199,NA,43,6,86,17,172,4,130,NA,19,3,40,3,236,31,372,2,86,6,32,56,294,22,53,NA,3,12,6,69,89,2,52,NA,3,5,40,6,127,NA,59,NA,11,3,19,6,34,NA,8,NA,NA,1,4,2,28,5,43,NA,8,1,11,4,47,NA,NA,NA,1,NA,NA,NA,3,NA,52,NA,10,NA,28,6,79,9,170,NA,16,5,50,11,143,1,143,NA,35,1,45,5,240,9,158,1,13,1,22,8,85,17,84,1,3,2,10,17,86
2e3,Minnesota,4188,503,398,980,225,176,121,36,149,5,144,402,580,292,177,43,460,16,382,118,862,76,149,7,169,7,114,8,28,13,136,1,4,5,139,16,386,7,573,22,270,30,147,182,38,97,186,108,13,51,226,441,78,33,428,87,3,10,125,41,5,23,107,52,9,16,44,9,5,3,19,46,3,17,83,NA,NA,1,4,54,4,22,64,168,12,41,181,162,32,47,339,171,14,23,84,81,2,11,83,12,170,NA,38,14,83,17,169,3,105,1,12,2,49,10,216,34,407,2,76,7,26,75,353,25,62,NA,3,7,3,44,81,NA,41,NA,5,NA,23,7,100,2,50,NA,9,2,14,3,41,3,6,NA,5,1,2,4,15,2,44,NA,3,2,15,9,74,NA,NA,NA,NA,1,NA,NA,4,1,53,NA,4,NA,22,4,60,5,163,NA,12,5,36,6,175,NA,162,NA,32,2,45,5,334,14,157,1,13,3,20,4,80,16,65,NA,2,3,8,11,72
