state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
New Hampshire,1978,0,1,1,0,0,0,0,6,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,270,276
New Hampshire,1979,0,1,1,0,0,0,0,6,6,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,304,309
New Hampshire,1980,0,3,3,0,6,6,0,7,7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,305,310
New Hampshire,1981,0,3,3,0,0,0,0,5,5,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,383,390
New Hampshire,1982,0,1,1,0,0,0,0,7,7,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,427,437
New Hampshire,1983,0,0,0,0,0,0,0,12,12,1,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,14,453,467
New Hampshire,1984,0,0,0,0,0,0,1,10,11,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,13,557,570
New Hampshire,1985,0,0,0,0,0,0,3,11,14,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,15,654,669
New Hampshire,1986,0,0,0,0,1,1,2,21,23,1,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,20,738,758
New Hampshire,1987,0,1,1,0,0,0,3,21,24,1,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,15,827,842
New Hampshire,1988,0,0,0,0,1,1,2,32,34,2,32,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,22,962,984
New Hampshire,1989,0,0,0,0,3,3,1,46,47,3,41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37,1079,1116
New Hampshire,1990,0,0,0,0,3,3,1,56,57,3,55,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37,1239,1276
New Hampshire,1991,0,5,5,0,5,5,1,79,80,5,98,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,72,1371,1443
New Hampshire,1992,0,5,5,1,6,7,1,78,79,6,118,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,77,1609,1686
New Hampshire,1993,0,1,1,2,5,7,3,73,76,11,133,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,81,1610,1691
