state,year,population,population_adult,population_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Florida,2003,16667245,12737441,10120019,NA,NA,NA,0,1,1,3,39,42,0,3,3,0,4,4,7,142,149,0,0,0,1,4,5,13,211,224
Florida,2002,16342243,12453721,9883800,NA,NA,NA,1,4,5,4,32,36,1,2,3,0,1,1,5,127,132,0,0,0,0,8,8,12,175,187
Florida,2001,16017780,12196801,9615245,NA,NA,NA,0,0,0,3,35,38,0,1,1,0,2,2,3,135,138,0,0,0,0,3,3,6,177,183
Florida,2000,15587105,11994570,9397345,NA,NA,NA,0,1,1,3,45,48,0,6,6,0,4,4,7,123,130,0,0,0,1,7,8,11,186,197
Florida,1999,15320684.8,11800885.1,9242397.2,NA,NA,NA,0,2,2,6,47,53,0,1,1,0,1,1,5,105,110,0,1,1,0,6,6,11,166,177
Florida,1998,15054264.6,11607200.2,9087449.4,0,5,5,0,1,1,3,58,61,1,3,4,NA,NA,NA,8,122,130,NA,NA,NA,2,4,6,NA,NA,NA
Florida,1997,14787844.4,11413515.3,8932501.6,0,3,3,3,2,5,4,104,108,0,1,1,NA,NA,NA,4,117,121,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1996,14521424.2,11219830.4,8777553.8,0,4,4,0,2,2,4,120,124,0,2,2,NA,NA,NA,5,105,110,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1995,14255004,11026145.5,8622606,0,9,9,0,1,1,7,143,150,0,3,3,NA,NA,NA,4,83,87,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1994,13988583.8,10832460.6,8467658.2,0,4,4,0,2,2,1,128,129,0,1,1,NA,NA,NA,5,78,83,NA,NA,NA,0,11,11,NA,NA,NA
