state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Missouri,2016,4703576,3794795,6093e3,3093350,2999650,2422259,2281317,1912445,1882350,3334,29093,0,0,0,3334,29093,32427,NA,NA,NA,3334,29093,32427
Missouri,2015,4696210,3811896,6083672,3100719,2982953,2426191,2270019,1925822,1886074,3265,29030,0,0,0,3265,29030,32295,NA,NA,NA,3265,29030,32295
Missouri,2014,4671311,3808067,6063589,3091668,2971921,2413978,2257333,1926332,1881735,3103,28800,0,0,0,3103,28800,31903,NA,NA,NA,3103,28800,31903
Missouri,2013,4645397,3799537,6044171,3081854,2962317,2400636,2244761,1921089,1878448,2779,28720,0,0,0,2779,28720,31499,0,0,0,2779,28720,31499
Missouri,2012,4621004,3801285,6021988,3071065,2950923,2391311,2229693,1924900,1876385,2700,28505,0,0,0,2700,28505,31205,0,0,0,2700,28505,31205
Missouri,2011,4599862,3796549,6010688,3066021,2944667,2377125,2222737,1919676,1876873,2752,28217,0,0,0,2752,28217,30969,0,0,0,2752,28217,30969
Missouri,2010,4579206,3785676,5996231,3064200,2932031,2374284,2204922,1917418,1868258,2457,28120,0,0,0,2457,28120,30577,0,0,0,2457,28120,30577
Missouri,2009,4556338,3788356,5987580,3060821,2926759,2361893,2194445,1916797,1871559,2425,28094,0,0,0,2425,28094,30519,NA,NA,NA,2425,28094,30519
Missouri,2008,4499981,3750818,5911605,3026019,2885586,2340169,2159812,1901972,1848846,2444,27693,0,0,0,2444,27693,30137,0,0,0,2444,27693,30137
Missouri,2007,4461852,3727675,5878415,3011497,2866918,2318313,2143539,1890155,1837520,2520,27303,0,0,0,2520,27303,29823,0,0,0,2520,27303,29823
Missouri,2006,4412152,3673915,5842713,2991397,2851316,2294403,2117749,1863976,1809939,2577,27539,0,0,0,2577,27539,30116,0,0,0,2577,27539,30116
Missouri,2005,4251865,3578420,5632603,2878899,2753704,2210022,2041843,1829602,1748818,2492,27923,0,0,0,2492,27923,30415,0,0,0,2492,27923,30415
Missouri,2004,4214477,3542551,5587906,2874522,2713384,2196153,2018324,1810643,1731908,2488,28194,0,0,0,2488,28194,30682,0,0,0,2488,28194,30682
Missouri,2003,4136522,3470964,5537884,2842486,2695398,2160569,1975953,1773591,1697373,2211,27653,0,0,0,2211,27653,29864,0,0,0,2211,27653,29864
Missouri,2002,4123339,3457423,5506873,2847611,2659262,2161271,1962068,1773631,1683792,2251,27544,0,0,0,2251,27544,29795,0,0,0,2251,27544,29795
Missouri,2001,4053988,3396237,5471085,2816975,2654110,2127290,1926698,1741398,1654839,2115,26460,0,0,0,2115,26460,28575,0,0,0,2115,26460,28575
Missouri,2000,3976371,3311194,5449651,2789214,2660437,2085817,1890554,1700617,1610577,1988,25397,0,0,0,1988,25397,27385,0,0,0,1988,25397,27385
Missouri,1999,3958270.1,3292867.6,5414878,2774403.3,2640474.7,2078003.4,1880266.7,1690470.1,1602397.5,1893,24267,0,0,0,1893,24267,26160,0,0,0,1893,24267,26160
Missouri,1998,3940169.2,3274541.2,5380105,2759592.6,2620512.4,2070189.8,1869979.4,1680323.2,1594218,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1893,23171,25064
Missouri,1997,3922068.3,3256214.8,5345332,2744781.9,2600550.1,2062376.2,1859692.1,1670176.3,1586038.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1646,22006,23652
Missouri,1996,3903967.4,3237888.4,5310559,2729971.2,2580587.8,2054562.6,1849404.8,1660029.4,1577859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,20554,22018
Missouri,1995,3885866.5,3219562,5275786,2715160.5,2560625.5,2046749,1839117.5,1649882.5,1569679.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173,17978,19151
Missouri,1994,3867765.6,3201235.6,5241013,2700349.8,2540663.2,2038935.4,1828830.2,1639735.6,1561500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,16867,17911
Missouri,1993,3849664.7,3182909.2,5206240,2685539.1,2520700.9,2031121.8,1818542.9,1629588.7,1553320.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,15258,16178
Missouri,1992,3831563.8,3164582.8,5171467,2670728.4,2500738.6,2023308.2,1808255.6,1619441.8,1545141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,15270,16189
Missouri,1991,3813462.9,3146256.4,5136694,2655917.7,2480776.3,2015494.6,1797968.3,1609294.9,1536961.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,821,15076,15897
Missouri,1990,3795362,3127930,5101921,2641107,2460814,2007681,1787681,1599148,1528782,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,777,14166,14943
Missouri,1989,3770683.8,3109289,5083004.9,2632508.3,2450496.6,1995790.9,1774892.9,1591273.2,1518015.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,718,13203,13921
Missouri,1988,3746005.6,3090648,5064088.8,2623909.6,2440179.2,1983900.8,1762104.8,1583398.4,1507249.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,630,11546,12176
Missouri,1987,3721327.4,3072007,5045172.7,2615310.9,2429861.8,1972010.7,1749316.7,1575523.6,1496483.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,629,10728,11357
Missouri,1986,3696649.2,3053366,5026256.6,2606712.2,2419544.4,1960120.6,1736528.6,1567648.8,1485717.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,379,9856,10235
Missouri,1985,3671971,3034725,5007340.5,2598113.5,2409227,1948230.5,1723740.5,1559774,1474951,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,379,9401,9780
Missouri,1984,3647292.8,3016084,4988424.4,2589514.8,2398909.6,1936340.4,1710952.4,1551899.2,1464184.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,342,8343,8685
Missouri,1983,3622614.6,2997443,4969508.3,2580916.1,2388592.2,1924450.3,1698164.3,1544024.4,1453418.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,308,7718,8026
Missouri,1982,3597936.4,2978802,4950592.2,2572317.4,2378274.8,1912560.2,1685376.2,1536149.6,1442652.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7422
Missouri,1981,3573258.2,2960161,4931676.1,2563718.7,2367957.4,1900670.1,1672588.1,1528274.8,1431886.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,6489
Missouri,1980,3548580,2941520,4912760,2555120,2357640,1888780,1659800,1520400,1421120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5726
Missouri,1979,3505052,2905948,4888484,2542308,2346176,1865532,1639520,1502950,1402998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5279
Missouri,1978,3461524,2870376,4864208,2529496,2334712,1842284,1619240,1485500,1384876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5637
