state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
Montana,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,647
Montana,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,691
Montana,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,698
Montana,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,737
Montana,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,810
Montana,1983,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,24,759,783
Montana,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,38,788,826
Montana,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,39,1057,1096
Montana,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,39,1069,1108
Montana,1987,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,48,1139,1187
Montana,1988,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,57,1192,1249
Montana,1989,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,63,1245,1308
Montana,1990,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,74,1324,1398
Montana,1991,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,70,1371,1441
Montana,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1385,1466
Montana,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1474,1541
Montana,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,83,1625,1708
Montana,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1536,1601
Montana,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1516,1590
Montana,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1776,1862
Montana,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,2131,2340
Montana,1999,254,2113,141,655,796,113,1458,1571,0,0,0,113,1458,1571
Montana,2e3,284,2273,173,813,986,111,1460,1571,NA,NA,NA,111,1460,1571
Montana,2001,331,2464,195,892,1087,136,1572,1708,NA,NA,NA,136,1572,1708
Montana,2002,328,2542,122,841,963,206,1701,1907,NA,NA,NA,206,1701,1907
Montana,2003,404,2649,135,924,1059,269,1725,1994,0,0,0,269,1725,1994
Montana,2004,248,2455,39,856,895,209,1599,1808,0,0,0,209,1599,1808
Montana,2005,325,2497,39,856,895,286,1641,1927,0,0,0,286,1641,1927
Montana,2006,310,2638,80,1115,1195,230,1523,1753,NA,NA,NA,230,1523,1753
Montana,2007,294,2615,130,1194,1324,164,1421,1585,NA,NA,NA,164,1421,1585
Montana,2008,356,2554,165,1147,1312,191,1407,1598,NA,NA,NA,191,1407,1598
Montana,2009,387,2698,224,1210,1434,163,1488,1651,NA,NA,NA,163,1488,1651
Montana,2010,416,2721,233,1269,1502,183,1452,1635,0,0,0,183,1452,1635
Montana,2011,391,2734,196,1222,1418,195,1512,1707,0,0,0,195,1512,1707
Montana,2012,393,2702,202,1216,1418,191,1486,1677,0,0,0,191,1486,1677
Montana,2013,404,2721,209,1250,1459,195,1471,1666,0,0,0,195,1471,1666
Montana,2014,372,2747,166,1266,1432,206,1481,1687,0,0,0,206,1481,1687
Montana,2015,364,2812,157,1333,1490,207,1479,1686,0,0,0,207,1479,1686
Montana,2016,393,2806,180,1301,1481,213,1505,1718,0,0,0,213,1505,1718
