state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
North Carolina,2016,7852630,6399176,10146788,5214589,4932199,4096428,3756202,3273391,3125785,0,0,0,0,0,0,1617,10657,12274,0,1,1,0,0,0,0,0,0,7,357,364,302,3068,3370,0,0,0,1926,14083,16009,0,0,0
North Carolina,2015,7756383,6355726,10042802,5147754,4895048,4033138,3723245,3238551,3117175,0,0,0,0,0,0,1591,11430,13021,0,0,0,0,0,0,0,0,0,15,460,475,194,2629,2823,0,0,0,1800,14519,16319,0,0,0
North Carolina,2014,7654619,6310874,9943964,5106024,4837940,3986470,3668149,3220549,3090325,0,0,0,0,0,0,1544,12127,13671,0,0,0,0,0,0,0,0,0,27,377,404,128,1813,1941,0,0,0,1699,14319,16018,0,2,2
North Carolina,2013,7564516,6272424,9848060,5047190,4800870,3937525,3626991,3203436,3068988,0,0,0,0,0,0,1266,11455,12721,0,0,0,0,0,0,0,0,0,31,273,304,47,1005,1052,0,0,0,1344,12736,14080,0,3,3
North Carolina,2012,7469595,6241736,9752073,5000109,4751964,3886104,3583491,3179847,3061889,0,0,0,0,0,0,1002,10467,11469,0,0,0,0,0,0,0,0,0,15,106,121,7,501,508,0,0,0,1024,11075,12099,0,1,1
North Carolina,2011,7366132,6180022,9656401,4967977,4688424,3837059,3529073,3151287,3028735,0,0,0,0,0,0,914,10097,11011,0,0,0,0,0,0,0,0,0,12,187,199,2,311,313,0,0,0,928,10595,11523,0,0,0
North Carolina,2010,7278455,6123879,9561558,4905216,4656342,3792680,3485775,3123907,2999972,0,0,0,0,0,0,899,10569,11468,0,0,0,0,0,0,0,0,0,20,178,198,1,297,298,0,0,0,920,11045,11965,NA,1,NA
North Carolina,2009,7109245,6006438,9380884,4798761,4582123,3690019,3419226,3045585,2960853,NA,NA,NA,NA,NA,NA,1040,10709,11749,0,0,0,NA,NA,NA,NA,NA,NA,13,143,156,0,266,266,NA,NA,NA,1053,11119,12172,0,1,1
North Carolina,2008,6980674,5928762,9222414,4711359,4511055,3621428,3359246,3002054,2926708,0,0,0,0,0,0,928,10449,11377,12,17,29,NA,NA,NA,NA,NA,NA,12,407,419,NA,NA,NA,0,0,0,952,10874,11826,0,1,1
North Carolina,2007,6855490,5825218,9061032,4637108,4423924,3554313,3301177,2945746,2879472,0,0,0,2,39,41,834,9658,10492,0,5,5,0,0,0,0,0,0,9,205,214,0,123,123,0,0,0,845,10030,10875,0,0,0
