state,year,population,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Texas,2016,27862596,0,0,0,2196,6761,8957,4687,37830,42517,0,0,0,1599,10376,11975,0,0,0,230,1736,1966,11,415,426,10204,66529,76733,0,0,0,8,38,46,1436,8900,10336
Texas,2015,27469114,0,0,0,2229,6940,9169,4231,38320,42551,0,0,0,1532,9885,11417,0,0,0,129,900,1029,9,417,426,9831,66358,76189,0,0,0,3,36,39,1476,9183,10659
Texas,2014,26956958,0,0,0,2102,6698,8800,4107,37550,41657,0,0,0,1252,9688,10940,0,0,0,145,1133,1278,11,525,536,9013,68264,77277,0,0,0,3,31,34,1353,9274,10627
Texas,2013,26448193,0,0,0,2102,6698,8800,4079,37226,41305,0,0,0,1252,9688,10940,0,0,0,145,1133,1278,11,525,536,8985,65108,74093,0,0,0,3,31,34,1353,9274,10627
Texas,2012,26059203,0,0,0,1898,6372,8270,4328,40288,44616,0,0,0,1587,11623,13210,0,0,0,125,955,1080,24,700,724,9598,72532,82130,0,0,0,1,6,7,1394,9879,11273
Texas,2011,25674681,0,0,0,1707,6159,7866,3320,35562,38882,0,3,3,1510,10993,12503,0,0,0,155,1055,1210,24,980,1004,8182,66365,74547,0,0,0,1,16,17,1396,10745,12141
Texas,2010,25257114,0,0,0,1571,6267,7838,3102,34136,37238,0,3,3,1196,9366,10562,0,0,0,157,1273,1430,45,1179,1224,7604,63896,71500,0,0,0,2,21,23,1488,11135,12623
Texas,2009,24782302,0,0,0,1409,5275,6684,3562,34969,38531,0,2,2,1164,8544,9708,0,0,0,166,1172,1338,59,1466,1525,7907,64415,72322,0,0,0,2,18,20,1504,11852,13356
Texas,2008,24326974,0,0,0,1211,4368,5579,3672,34946,38618,0,5,5,1207,8921,10128,0,0,0,151,1235,1386,84,1934,2018,8130,64043,72173,0,0,0,4,15,19,1658,11994,13652
Texas,2007,23904380,0,0,0,1095,4549,5644,3718,33544,37262,0,6,6,1038,8915,9953,NA,NA,NA,215,1318,1533,128,2570,2698,7934,65095,73029,0,0,0,0,12,12,1629,12168,13797
