state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Maryland,2016,4670079,3856774,6016447,3106577,2909870,2445415,2224664,1980791,1875983,0,0,0,0,0,0,261,2196,2457,0,11,11,0,0,0,72,498,570,0,0,0,163,3528,3691,808,8671,9479,0,9,9,0,0,0,311,2374,2685
Maryland,2015,4660389,3881325,6006401,3102384,2904017,2439831,2220558,1992583,1888742,0,0,0,0,0,0,319,2408,2727,0,11,11,0,0,0,61,454,515,0,0,0,153,4085,4238,851,9426,10277,0,8,8,0,0,0,317,2377,2694
Maryland,2014,4629135,3876577,5976407,3075744,2900663,2421400,2207735,1990639,1885938,0,0,0,0,0,0,317,3132,3449,2,27,29,0,0,0,43,339,382,0,0,0,181,4445,4626,600,8914,9514,1,18,19,0,0,0,55,869,924
Maryland,2013,4584537,3855107,5928814,3048733,2880081,2394678,2189859,1978053,1877054,0,0,0,0,0,0,310,3150,3460,2,27,29,0,0,0,42,341,383,0,0,0,177,4471,4648,587,8965,9552,1,18,19,0,0,0,54,874,928
Maryland,2012,4542240,3844639,5884563,3037249,2847314,2378279,2163961,1978114,1866525,0,0,0,0,0,0,353,3281,3634,2,41,43,0,0,0,37,298,335,0,0,0,161,5179,5340,632,9781,10413,6,17,23,0,0,0,68,905,973
Maryland,2011,4482257,3802189,5828289,3010367,2817922,2347748,2134509,1953271,1848918,0,0,0,0,0,0,265,2417,2682,7,43,50,0,0,0,30,305,335,0,0,0,190,5416,5606,595,9293,9888,4,5,9,0,0,0,96,1053,1149
Maryland,2010,4435314,3774006,5785982,2983757,2802225,2325662,2109652,1942540,1831466,0,0,0,0,0,0,440,2590,3030,3,47,50,0,0,0,22,262,284,0,0,0,206,4958,5164,759,8716,9475,14,24,38,0,0,0,71,783,854
Maryland,2009,4349876,3702336,5699478,2934017,2765461,2275402,2074474,1896581,1805755,NA,NA,NA,NA,NA,NA,340,2879,3219,2,83,85,0,0,0,35,400,435,NA,NA,NA,237,6362,6599,653,10278,10931,14,25,39,0,0,0,21,463,484
Maryland,2008,4298747,3667568,5633597,2905557,2728040,2254179,2044568,1886477,1781091,NA,NA,NA,NA,NA,NA,412,2304,2716,2,102,104,NA,NA,NA,33,373,406,NA,NA,NA,420,6293,6713,911,9651,10562,6,69,75,0,0,0,32,434,466
Maryland,2007,4254353,3641201,5618344,2902765,2715579,2230992,2023361,1869289,1771912,NA,NA,NA,NA,NA,NA,335,2255,2590,12,161,173,NA,NA,NA,26,351,377,NA,NA,NA,330,6388,6718,724,9700,10424,0,128,128,0,1,1,19,344,363
