state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
New York,1978,0,0,0,0,0,0,340,10485,10825,91,3966,4057,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,118,121,211,9032,9243
New York,1979,0,0,0,0,0,0,350,10871,11221,108,4007,4115,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,124,131,250,9556,9806
New York,1980,0,0,0,0,0,0,362,11052,11414,88,4115,4203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,212,212,255,9948,10203
New York,1981,0,0,0,0,0,0,446,12961,13407,111,4991,5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,249,251,321,11620,11941
New York,1982,3,59,62,1,78,79,478,14217,14695,134,6128,6262,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,336,12779,13115
New York,1983,4,56,60,2,68,70,485,15515,16e3,156,6807,6963,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,352,14059,14411
New York,1984,2,53,55,1,94,95,551,16365,16916,228,8347,8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,60,64,460,15519,15979
New York,1985,2,56,58,0,93,93,539,16958,17497,257,9016,9273,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31,32,514,16518,17032
New York,1986,2,56,58,3,102,105,700,18844,19544,364,10005,10369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,621,18121,18742
New York,1987,2,60,62,5,103,108,735,19576,20311,450,11411,11861,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,744,19616,20360
New York,1988,5,80,85,7,104,111,825,21495,22320,604,12982,13586,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,923,21121,22044
New York,1989,12,125,137,6,118,124,1137,24112,25249,922,15618,16540,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,305,349,1266,24102,25368
New York,1990,12,128,140,6,136,142,1137,26026,27163,980,16607,17587,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,488,532,1266,25426,26692
New York,1991,4,131,135,4,151,155,1713,27438,29151,1232,17491,18723,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,233,240,1640,26541,28181
New York,1992,6,120,126,4,197,201,1812,29314,31126,1236,18686,19922,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,567,584,1660,28039,29699
New York,1993,6,171,177,4,216,220,2054,33221,35275,1225,19910,21135,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1925,1943,1446,25508,26954
New York,1994,9,172,181,4,297,301,1965,34218,36183,1230,20705,21935,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1672,1679,1590,26816,28406
New York,1995,9,177,186,3,310,313,1958,34953,36911,1225,21214,22439,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1567,1581,1631,27867,29498
New York,1996,5,172,177,6,362,368,2100,35501,37601,1188,21531,22719,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1495,1554,1558,28451,30009
New York,1997,5,199,204,NA,NA,NA,2094,35394,37488,1114,21307,22421,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1286,1370,1381,28274,29655
New York,1998,3,267,270,NA,NA,NA,2205,36079,38284,1014,21452,22466,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,250,259,1279,29527,30806
New York,1999,4,294,298,NA,NA,NA,2248,36963,39211,851,20224,21075,NA,NA,NA,11661,53,11608,NA,NA,NA,37,1211,1248,1163,17510,18673
New York,2e3,7,263,270,NA,NA,NA,1747,33972,35719,876,20420,21296,0,0,0,365,2,363,NA,NA,NA,13,257,270,630,11258,11888
New York,2001,3,259,262,NA,NA,NA,1648,32603,34251,802,19327,20129,0,0,0,382,2,380,NA,NA,NA,7,235,242,669,11103,11772
New York,2002,3,271,274,NA,NA,NA,1566,32e3,33566,744,19237,19981,0,0,0,354,1,353,NA,NA,NA,8,373,381,672,11160,11832
New York,2003,5,301,306,NA,NA,NA,1457,31133,32590,724,18611,19335,0,0,0,412,1,411,NA,NA,NA,39,334,373,684,11143,11827
New York,2004,3,322,325,NA,NA,NA,1332,30747,32079,665,17534,18199,0,0,0,424,1,423,NA,NA,NA,12,236,248,772,11300,12072
New York,2005,2,316,318,NA,NA,NA,1314,30606,31920,608,16416,17024,0,0,0,389,1,388,0,0,0,30,226,256,842,11658,12500
New York,2006,6,309,315,NA,NA,NA,1314,31048,32362,625,16081,16706,NA,NA,NA,373,26,347,NA,NA,NA,16,259,275,864,12095,12959
New York,2007,5,279,284,NA,NA,NA,1260,30826,32086,582,15721,16303,NA,NA,NA,315,23,292,NA,NA,NA,17,239,256,846,12188,13034
New York,2008,6,300,306,NA,NA,NA,1170,29918,31088,513,14820,15333,NA,NA,NA,302,28,274,NA,NA,NA,10,188,198,836,11991,12827
New York,2009,7,315,322,NA,NA,NA,1085,28821,29906,469,14187,14656,NA,NA,NA,317,15,302,NA,NA,NA,19,304,323,874,11982,12856
New York,2010,14,324,338,NA,NA,NA,970,27658,28628,391,13707,14098,0,0,0,313,8,305,0,0,0,17,329,346,804,11863,12667
New York,2011,22,303,325,NA,NA,NA,937,26525,27462,417,13235,13652,0,0,0,321,7,314,0,0,0,17,594,611,899,11915,12814
New York,2012,30,331,361,NA,NA,NA,965,25940,26905,366,12728,13094,0,0,0,405,8,397,0,0,0,15,373,388,853,11935,12788
New York,2013,34,351,385,NA,NA,NA,965,25419,26384,351,12534,12885,0,0,0,521,14,507,0,0,0,19,327,346,954,11803,12757
New York,2014,27,364,391,NA,NA,NA,885,24761,25646,364,12311,12675,0,0,0,587,12,575,0,0,0,9,339,348,1012,11616,12628
New York,2015,25,390,415,NA,NA,NA,845,24300,25145,344,12049,12393,0,0,0,618,17,601,0,0,0,17,287,304,1094,11508,12602
New York,2016,26,420,446,NA,NA,NA,827,23543,24370,308,11976,12284,0,0,0,663,21,642,0,0,0,24,274,298,1057,11334,12391
