state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Texas,2006,17007346,14831195,23507783,11802478,11705305,8629501,8377845,7363234,7467961,69509,34936,34573,56776,28924,27852,51656,25781,25875,775417,396872,378545,586117,304714,281403,545093,281338,263755,2692219,1401286,1290933,1895396,1007481,887915,1719432,898180,821252,8379992,4090966,4289026,5458844,2659020,2799824,5036106,2411914,2624192,281137,138848,142289,160616,79219,81397,145965,70211,75754,11309509,5739570,5569939,8849597,4550143,4299454,7332943,3675810,3657133,NA,NA,NA,NA,NA,NA,4925,59492,64417,2721,49076,51797,77,807,884,6076,48942,55018
Texas,2005,15951322,13968799,22250152,11282675,10967477,8195556,7755766,7062657,6906142,73722,36206,37516,58574,29317,29257,52420,26066,26354,718978,367923,351055,541845,281919,259926,504182,260138,244044,2417274,1302782,1114492,1674286,934114,740172,1511947,830371,681576,7882254,3890036,3992218,5098949,2524044,2574905,4714048,2303182,2410866,273799,141368,132431,145289,77417,67872,129686,69239,60447,10884125,5544360,5339765,8432379,4348745,4083634,7056516,3573661,3482855,0,0,0,0,0,0,5150,59320,64470,2651,47530,50181,73,786,859,6077,48901,54978
Texas,2004,15673529,13723603,21890579,11088092,10802487,8051240,7622289,6935409,6788194,54672,28190,26482,43560,22517,21043,38764,19687,19077,709067,359313,349754,534628,273040,261588,499510,251662,247848,2367370,1264956,1102414,1629851,905377,724474,1473223,807775,665448,7617900,3766649,3851251,4941692,2457575,2484117,4564873,2242284,2322589,254274,123960,130314,134577,66875,67702,120653,59414,61239,10887296,5545024,5342272,8389221,4325856,4063365,7026580,3554587,3471993,3,9,12,0,2,2,5438,59065,64503,2472,46726,49198,74,710,784,5971,47635,53606
Texas,2003,15332952,13426631,21575409,10909366,10666043,7861600,7471352,6780666,6645965,62740,29908,32832,51318,24587,26731,46071,21900,24171,647526,334937,312589,487822,257333,230489,449919,234116,215803,2351939,1247790,1104149,1598588,877334,721254,1446830,786448,660382,7666676,3784707,3881969,4910484,2433151,2477333,4526371,2213153,2313218,205886,103211,102675,118442,60340,58102,105006,52736,52270,10640642,5408813,5231829,8166298,4208855,3957443,6852434,3472313,3380121,6,12,18,64,693,757,5487,60605,66092,2254,45469,47723,0,0,0,5676,46645,52321
Texas,2002,15181549,13281594,21288789,10780768,10508021,7811541,7370008,6713321,6568273,44943,23549,21394,35265,19324,15941,30604,16e3,14604,662301,350939,311362,495226,272419,222807,467468,257413,210055,2287984,1216145,1071839,1559556,862578,696978,1399333,764337,634996,7225229,3556226,3669003,4650879,2309076,2341803,4300493,2104325,2196168,248720,115784,132936,153364,69778,83586,143261,63014,80247,10819612,5518125,5301487,8287259,4278366,4008893,6940435,3508232,3432203,10,16,26,0,1,1,5551,60339,65890,2131,42377,44508,53,668,721,5306,45547,50853
Texas,2001,14697368,12836797,20773439,10577771,10195668,7579766,7117602,6508686,6328111,51540,29527,22013,39357,21531,17826,36316,20051,16265,605022,315120,289902,455434,241748,213686,427259,225287,201972,2241597,1191870,1049727,1518403,839365,679038,1358411,740155,618256,6856773,3412488,3444285,4369057,2181944,2187113,4047043,2002349,2044694,272317,136850,135467,162001,85816,76185,145309,76234,69075,10746190,5491916,5254274,8153116,4209362,3943754,6822459,3444610,3377849,11,18,29,0,2,2,5453,62030,67483,1909,40823,42732,54,630,684,4942,46192,51134
Texas,2000,14475893,12674756,20433842,10407035,10026807,7469667,7006226,6423919,6250837,75400,45420,29980,59752,37366,22386,54069,34412,19657,614284,311848,302436,452209,233524,218685,429724,217870,211854,2155816,1168510,987306,1461536,801060,660476,1327442,718857,608585,6709388,3341986,3367402,4236475,2148470,2088005,3915660,1962263,1953397,251697,126837,124860,145365,73067,72298,130926,63729,67197,10627257,5412434,5214823,8120556,4176180,3944376,6816935,3426788,3390147,11,20,31,0,8,8,5783,61861,67644,1719,37901,39620,38,566,604,4693,45363,50056
Texas,1999,14241263.6,12462444.5,20085596,10226778.6,9858817.4,7348573.7,6892689.9,6312658.1,6149786.4,73588.2,43708.7,29879.5,58193.9,35809.6,22384.3,52726.4,32966.3,19760.1,583493.7,296284.5,287209.2,428528.9,221311.1,207217.8,407452.7,206768.4,200684.3,2138579.4,1155140.2,983439.2,1449486.6,792817.1,656669.5,1314582.9,710040.7,604542.2,6466581.2,3221173.5,3245407.7,4080870,2068983.5,2011886.5,3772399.8,1890012.6,1882387.2,228317.7,115016.8,113300.9,131913.8,66294.7,65619.1,118843.6,57850.4,60993.2,10595035.8,5395454.9,5199580.9,8092270.4,4163357.7,3928912.7,6796439.1,3415019.7,3381419.4,11,27,38,0,27,27,6198,64980,71178,1681,39095,40776,25,575,600,6246,84963,91209
Texas,1998,14006634.2,12250133,19737350,10046522.2,9690827.8,7227480.4,6779153.8,6201397.2,6048735.8,71776.4,41997.4,29779,56635.8,34253.2,22382.6,51383.8,31520.6,19863.2,552703.4,280721,271982.4,404848.8,209098.2,195750.6,385181.4,195666.8,189514.6,2121342.8,1141770.4,979572.4,1437437.2,784574.2,652863,1301723.8,701224.4,600499.4,6223774.4,3100361,3123413.4,3925265,1989497,1935768,3629139.6,1817762.2,1811377.4,204938.4,103196.6,101741.8,118462.6,59522.4,58940.2,106761.2,51971.8,54789.4,10562814.6,5378475.8,5184338.8,8063984.8,4150535.4,3913449.4,6775943.2,3403251.4,3372691.8,NA,NA,NA,NA,NA,NA,5424,59709,65133,1467,35960,37427,1498,36496,37994,3410,37973,41383
Texas,1997,13772004.8,12037821.5,19389104,9866265.8,9522838.2,7106387.1,6665617.7,6090136.3,5947685.2,69964.6,40286.1,29678.5,55077.7,32696.8,22380.9,50041.2,30074.9,19966.3,521913.1,265157.5,256755.6,381168.7,196885.3,184283.4,362910.1,184565.2,178344.9,2104106.2,1128400.6,975705.6,1425387.8,776331.3,649056.5,1288864.7,692408.1,596456.6,5980967.6,2979548.5,3001419.1,3769660,1910010.5,1859649.5,3485879.4,1745511.8,1740367.6,181559.1,91376.4,90182.7,105011.4,52750.1,52261.3,94678.8,46093.2,48585.6,10530593.4,5361496.7,5169096.7,8035699.2,4137713.1,3897986.1,6755447.3,3391483.1,3363964.2,NA,NA,NA,NA,NA,NA,5490,58393,63883,1570,35567,37137,1617,36154,37771,3193,35504,38697
