state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
West Virginia,2016,1454578,1136439,1831102,925805,905297,742573,712005,565430,571009,0,0,0,2,17,19,362,1910,2272,49,275,324,28,52,80,140,367,507,6,28,34,35,328,363,0,4,4,622,2981,3603,0,0,0
West Virginia,2015,1464966,1154097,1844128,935217,908911,748250,716716,576685,577412,0,0,0,2,8,10,398,1890,2288,72,309,381,21,34,55,165,454,619,0,48,48,44,435,479,1,8,9,703,3186,3889,0,0,0
West Virginia,2014,1467316,1164664,1850326,936005,914321,749665,717651,581219,583445,0,0,0,1,13,14,309,1576,1885,79,354,433,1,10,11,209,502,711,2,16,18,57,420,477,0,9,9,658,2900,3558,0,0,0
West Virginia,2013,1471764,1178908,1854304,936667,917637,750484,721280,587191,591717,0,0,0,0,6,6,280,1449,1729,78,362,440,3,27,30,224,572,796,1,10,11,52,504,556,1,10,11,639,2940,3579,0,0,0
West Virginia,2012,1470340,1188320,1855413,942344,913069,753699,716641,595759,592561,0,0,0,0,5,5,266,1458,1724,80,387,467,8,36,44,179,598,777,1,13,14,45,447,492,1,6,7,580,2950,3530,0,0,0
West Virginia,2011,1469390,1192811,1855364,941008,914356,752939,716451,596420,596391,0,0,0,2,9,11,221,1479,1700,59,429,488,4,29,33,181,567,748,0,4,4,52,370,422,2,7,9,521,2894,3415,0,0,0
West Virginia,2010,1467669,1188550,1853973,941315,912658,753322,714347,594994,593556,0,0,0,0,0,0,247,1442,1689,67,339,406,7,27,34,145,500,645,0,3,3,58,448,506,0,5,5,524,2764,3288,NA,0,NA
West Virginia,2009,1435182,1166477,1819777,925985,893792,739187,695995,583781,582696,0,0,0,0,0,0,242,1480,1722,52,318,370,6,21,27,127,439,566,0,4,4,59,453,512,0,3,3,486,2718,3204,0,0,0
West Virginia,2008,1435959,1173396,1814468,926300,888168,741592,694367,589258,584138,0,0,0,0,0,0,198,1260,1458,61,314,375,6,38,44,129,432,561,0,24,24,57,580,637,4,24,28,455,2672,3127,0,0,0
West Virginia,2007,1419562,1153085,1812035,922977,889058,732067,687495,578451,574634,0,0,0,0,0,0,208,1550,1758,69,361,430,13,62,75,126,455,581,3,21,24,56,403,459,1,5,6,476,2857,3333,0,0,0
West Virginia,2006,1428728,1164212,1818470,927833,890637,737806,690922,584605,579607,0,0,0,0,0,0,203,1360,1563,38,260,298,9,25,34,109,396,505,0,21,21,31,374,405,0,4,4,390,2440,2830,0,0,0
West Virginia,2005,1396212,1146453,1781817,906603,875214,721008,675204,578620,567833,0,0,0,1,4,5,253,1637,1890,31,288,319,0,0,0,0,0,0,1,15,16,23,347,370,0,5,5,309,2296,2605,0,0,0
West Virginia,2004,1387973,1140089,1771784,907959,863825,723574,664399,580722,559367,0,0,0,0,0,0,159,1486,1645,50,347,397,0,0,0,0,0,0,2,27,29,18,178,196,0,0,0,229,2038,2267,0,0,0
West Virginia,2003,1378583,1131390,1767580,906693,860887,720228,658355,576390,555e3,0,0,0,0,0,0,161,1244,1405,44,409,453,0,0,0,0,0,0,1,9,10,14,215,229,0,0,0,220,1877,2097,0,0,0
West Virginia,2002,1373614,1126911,1761291,910684,850607,716730,656884,571859,555052,0,0,0,0,0,0,177,1331,1508,43,403,446,0,0,0,0,0,0,0,6,6,15,186,201,0,0,0,235,1926,2161,0,0,0
West Virginia,2001,1361659,1115905,1758405,904323,854082,711497,650162,566993,548912,0,0,0,0,2,2,70,1080,1150,49,359,408,0,0,0,0,0,0,2,23,25,8,192,200,0,0,0,129,1656,1785,0,0,0
West Virginia,2000,1376793,1115609,1770413,905382,865031,706516,670277,562725,552884,0,0,0,0,3,3,136,953,1089,29,245,274,0,0,0,0,0,0,0,30,30,13,171,184,0,0,0,178,1416,1594,0,14,14
West Virginia,1999,1373385.7,1113313.4,1771971.6,907676.7,864294.9,707388,665997.7,562733.6,550579.8,NA,NA,NA,0,0,0,62,1119,1181,0,0,0,0,0,0,0,0,0,0,15,15,3,109,112,0,0,0,65,1243,1308,0,0,0
West Virginia,1998,1369978.4,1111017.8,1773530.2,909971.4,863558.8,708260,661718.4,562742.2,548275.6,NA,NA,NA,NA,NA,NA,100,1159,1259,0,0,0,0,0,0,0,0,0,4,20,24,12,145,157,0,0,0,116,1328,1444,0,2,2
West Virginia,1997,1366571.1,1108722.2,1775088.8,912266.1,862822.7,709132,657439.1,562750.8,545971.4,NA,NA,NA,NA,NA,NA,72,801,873,0,0,0,2,0,2,2,0,2,6,30,36,6,140,146,0,6,6,90,987,1077,2,6,8
West Virginia,1996,1363163.8,1106426.6,1776647.4,914560.8,862086.6,710004,653159.8,562759.4,543667.2,NA,NA,NA,NA,NA,NA,74,802,876,0,0,0,0,0,0,1,0,1,3,20,23,6,138,144,0,0,0,85,964,1049,0,0,0
