state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Nevada,2016,2263515,1854007,2940058,1465763,1474295,1135874,1127641,917361,936646,0,0,0,0,15,15
Nevada,2015,2222444,1832192,2890845,1444333,1446512,1115681,1106763,908650,923542,0,0,0,0,9,9
Nevada,2014,2178270,1808139,2839099,1412129,1426970,1090245,1088025,894159,913980,0,0,0,0,9,9
Nevada,2013,2128078,1779573,2790136,1386739,1403397,1061849,1066229,876220,903353,0,0,0,0,0,0
Nevada,2012,2094967,1767071,2758931,1364397,1394534,1044829,1050138,870942,896129,0,0,0,0,0,0
Nevada,2011,2061265,1749253,2723322,1350327,1372995,1026038,1035227,860504,888749,0,0,0,1,60,61
Nevada,2010,2040158,1737976,2704642,1339050,1365592,1014562,1025596,855511,882465,0,0,0,1,33,34
Nevada,2009,1958e3,1675415,2643085,1296766,1346319,965305,992695,813713,861702,NA,NA,NA,3,115,118
Nevada,2008,1932187,1658662,2600167,1275824,1324343,952478,979709,807516,851146,NA,NA,NA,3,115,118
Nevada,2007,1899964,1638008,2565382,1263874,1301508,937272,962692,796463,841545,24,1029,1053,0,47,47
Nevada,2006,1861104,1605447,2495529,1222992,1272537,914346,946758,780308,825139,NA,NA,NA,0,0,0
Nevada,2005,1759522,1512730,2376017,1178560,1197457,875281,884241,742290,770440,38,1364,1402,0,16,16
Nevada,2004,1700427,1465063,2301197,1136138,1165059,843535,856892,717959,747104,40,1202,1242,1,27,28
Nevada,2003,1630262,1402849,2207574,1094028,1113546,810407,819855,689119,713730,27,1064,1091,1,16,17
Nevada,2002,1571877,1354731,2139794,1055004,1084790,779880,791997,664252,690479,26,1021,1047,3,51,54
Nevada,2001,1514832,1301739,2072391,1027191,1045200,753075,761757,637356,664383,27,969,996,1,66,67
Nevada,2000,1448097,1251824,1950488,990509,959979,738015,710082,627693,624131,16,451,467,1,90,91
