state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
South Dakota,2016,651552,525029,865454,429531,435923,325959,325593,256451,268578,75978,38115,37863,48144,25621,22523,42990,21970,21020,12876,6353,6523,8291,4528,3763,7945,4182,3763,13026,4406,8620,8705,2783,5922,8603,2681,5922,32249,16209,16040,19122,8105,11017,18536,7807,10729,17708,8805,8903,7260,3786,3474,6970,3600,3370,713617,355643,357974,560030,281136,278894,439985,216211,223774,243,935,1178,1,25,26,11,291,302,12,128,140,1,5,6,230,1949,2179
South Dakota,2015,648913,524081,858469,426408,432061,325543,323370,257109,266972,65266,32400,32866,42650,21877,20773,38527,19548,18979,10935,7007,3928,7521,5071,2450,6841,4391,2450,12362,4494,7868,8154,2806,5348,8056,2806,5250,29828,13996,15832,18973,9483,9490,18291,9147,9144,30917,15091,15826,15409,7049,8360,14696,6569,8127,709161,353420,355741,556206,279257,276949,437670,214648,223022,167,871,1038,0,14,14,8,232,240,9,132,141,0,2,2,232,1897,2129
South Dakota,2014,643681,525862,853175,424313,428862,323473,320208,258844,267018,69004,35030,33974,43718,22241,21477,40260,20733,19527,9823,4180,5643,7244,2741,4503,7244,2741,4503,13647,5191,8456,9462,4318,5144,9058,4023,5035,29285,13362,15923,17608,7540,10068,17333,7454,9879,22173,11993,10180,11421,6899,4522,10314,6217,4097,709243,354557,354686,554228,279734,274494,441653,217676,223977,165,897,1062,3,9,12,8,216,224,10,128,138,0,0,0,223,1949,2172
South Dakota,2013,638895,523869,844877,420653,424224,319557,319338,255492,268377,70619,35997,34622,44233,23046,21187,40743,20949,19794,8542,4534,4008,6487,3241,3246,5682,2806,2876,13897,4938,8959,9328,2889,6439,9276,2837,6439,27406,13445,13961,16982,7917,9065,16359,7469,8890,20243,9574,10669,11836,4900,6936,11431,4753,6678,704170,352165,352005,550029,277564,272465,440378,216678,223700,181,836,1017,2,19,21,12,214,226,13,133,146,0,1,1,234,2006,2240
South Dakota,2012,629217,519632,833354,416505,416849,316424,312793,254924,264708,73835,38571,35264,46213,25243,20970,42789,23192,19597,8090,3351,4739,6914,2624,4290,6505,2538,3967,15904,5925,9979,8299,3130,5169,8299,3130,5169,23402,11575,11827,14647,6965,7682,13743,6626,7117,13910,7581,6329,7059,3113,3946,6734,2947,3787,698213,349502,348711,546085,275349,270736,441562,216491,225071,173,855,1028,5,13,18,10,217,227,9,107,116,0,0,0,226,2035,2261
South Dakota,2011,621205,508329,824082,414507,409575,313945,307260,249760,258569,70802,36542,34260,44155,23212,20943,38206,18833,19373,8263,4480,3783,5836,3101,2735,5337,2937,2400,9430,5168,4262,4840,1991,2849,4840,1991,2849,23158,9695,13463,14892,6265,8627,14504,6114,8390,16154,8340,7814,8333,4820,3513,7492,4251,3241,696275,350282,345993,543149,274556,268593,437950,215634,222316,195,861,1056,4,15,19,9,195,204,5,103,108,0,0,0,228,1920,2148
South Dakota,2010,612049,501697,816463,406414,410049,307589,304460,245205,256492,72063,36830,35233,43459,22256,21203,39559,19826,19733,4893,3300,1593,3206,1979,1227,3206,1979,1227,10052,2904,7148,6773,1146,5627,6485,1146,5339,20883,10035,10848,11707,5542,6165,11442,5362,6080,16768,6651,10117,7649,3270,4379,6350,2565,3785,691804,346694,345110,539255,273396,265859,434655,214327,220328,191,831,1022,5,10,15,6,181,187,6,101,107,0,0,0,203,1900,2103
South Dakota,2009,612948,502267,812383,409608,402775,311579,301369,249197,253070,67450,34458,32992,40206,20825,19381,37433,19181,18252,6347,4254,2093,5026,3627,1399,4476,3627,849,11003,5404,5599,6097,2999,3098,5962,2864,3098,19208,10115,9093,11446,6117,5329,10824,5684,5140,17126,8502,8624,8008,3924,4084,7074,3413,3661,691249,346875,344374,542165,274087,268078,436498,214428,222070,153,839,992,1,10,11,10,201,211,5,105,110,0,0,0,211,1899,2110
South Dakota,2008,602665,493981,804194,402611,401583,306294,296371,243857,250124,63220,32292,30928,37940,20567,17373,34786,19134,15652,5157,3102,2055,3890,2311,1579,3751,2238,1513,7259,2146,5113,4005,567,3438,3842,567,3275,22420,8881,13539,11306,5065,6241,11055,4851,6204,16758,10134,6624,8313,5348,2965,7565,4903,2662,689380,346056,343324,537211,272436,264775,432982,212164,220818,139,798,937,1,14,15,11,199,210,2,107,109,0,2,2,202,1867,2069
South Dakota,2007,601498,490590,796215,398157,398058,301612,299886,238556,252034,64755,34177,30578,40092,21235,18857,37655,19683,17972,3723,1446,2277,2815,1169,1646,2815,1169,1646,5501,1603,3898,3993,809,3184,3993,809,3184,23275,10801,12474,14661,7465,7196,13371,6947,6424,13285,6719,6566,7338,3695,3643,6624,3600,3024,685676,343411,342265,532599,267239,265360,426132,206348,219784,141,768,909,2,9,11,6,178,184,5,99,104,0,1,1,215,1887,2102
