state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Nebraska,1983,NA,NA,1239,NA,NA,1541,NA,NA,1271
Nebraska,1984,NA,NA,1542,NA,NA,1513,NA,NA,1562
Nebraska,1985,NA,NA,1542,NA,NA,1513,NA,NA,1562
Nebraska,1986,NA,NA,1542,NA,NA,1513,NA,NA,1562
Nebraska,1987,NA,NA,1542,NA,NA,1513,NA,NA,1562
Nebraska,1988,NA,NA,1651,NA,NA,NA,NA,NA,NA
Nebraska,1989,NA,NA,1666,NA,NA,NA,NA,NA,NA
Nebraska,1990,NA,NA,1666,NA,NA,NA,NA,NA,NA
Nebraska,1991,NA,NA,1706,NA,NA,NA,NA,NA,NA
Nebraska,1992,NA,NA,1706,NA,NA,NA,NA,NA,NA
Nebraska,1993,NA,NA,2013,NA,NA,NA,NA,NA,NA
Nebraska,1994,NA,NA,2013,NA,NA,NA,NA,NA,NA
Nebraska,1995,NA,NA,2013,NA,NA,2517,NA,NA,NA
Nebraska,1996,NA,NA,2013,NA,NA,2517,NA,NA,NA
Nebraska,1997,NA,NA,2013,NA,NA,2517,NA,NA,NA
Nebraska,1998,NA,NA,2371,NA,NA,2963,NA,NA,NA
Nebraska,1999,195,2176,NA,243,2720,NA,NA,NA,NA
Nebraska,2e3,195,2176,NA,243,2720,NA,NA,NA,NA
Nebraska,2001,139,3192,NA,173,3750,NA,NA,NA,NA
Nebraska,2002,139,3e3,NA,174,3750,NA,NA,NA,NA
Nebraska,2003,139,2900,NA,174,3625,NA,NA,NA,NA
Nebraska,2004,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2005,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2006,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2007,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2008,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2009,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2010,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2011,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2012,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2013,275,2900,NA,344,3625,NA,NA,NA,NA
Nebraska,2014,275,3e3,NA,344,3750,NA,NA,NA,NA
Nebraska,2015,275,3e3,NA,344,3750,NA,NA,NA,NA
Nebraska,2016,275,3e3,NA,344,3750,NA,NA,NA,NA
