state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Nevada,2016,2263515,1854007,2940058,1465763,1474295,1135874,1127641,917361,936646,26386,13209,13177,19235,10630,8605,16144,8552,7592,257272,140828,116444,214834,120694,94140,177413,98112,79301,250522,124614,125908,185672,93078,92594,161035,80166,80869,836940,414661,422279,560009,277224,282785,518229,253898,264331,105161,54376,50785,61300,32562,28738,54893,28633,26260,1463777,718075,745702,1222465,601686,620779,926293,448e3,478293,30,223,253,52,421,473,251,3881,4132,137,2676,2813,0,0,0,763,5147,5910
Nevada,2015,2222444,1832192,2890845,1444333,1446512,1115681,1106763,908650,923542,23816,13133,10683,18917,10612,8305,16009,8945,7064,244111,134624,109487,204911,115282,89629,170255,94194,76061,238747,119933,118814,179884,91847,88037,157196,79745,77451,812952,403270,409682,540679,267735,272944,501137,244234,256903,111460,56277,55183,62321,32259,30062,57048,29619,27429,1459759,717096,742663,1215732,597946,617786,930547,451913,478634,23,238,261,30,310,340,335,3423,3758,250,2553,2803,0,0,0,522,5324,5846
Nevada,2014,2178270,1808139,2839099,1412129,1426970,1090245,1088025,894159,913980,25231,13326,11905,19967,11054,8913,17707,9958,7749,233398,127844,105554,194839,109207,85632,165740,92225,73515,230703,115864,114839,172253,87158,85095,148860,74729,74131,789498,388785,400713,521207,257465,263742,483493,236522,246971,102985,51843,51142,57612,29586,28026,52766,26813,25953,1457284,714467,742817,1212392,595775,616617,939573,453912,485661,25,209,234,44,367,411,237,3367,3604,115,2467,2582,0,0,0,664,4975,5639
Nevada,2013,2128078,1779573,2790136,1386739,1403397,1061849,1066229,876220,903353,24387,12753,11634,18556,10330,8226,16428,8998,7430,230606,127873,102733,185959,104067,81892,158523,87974,70549,225794,112743,113051,168244,86151,82093,146719,73847,72872,767687,377761,389926,501505,245340,256165,468054,225428,242626,88072,43370,44702,49406,23424,25982,45734,21578,24156,1453590,712239,741351,1204408,592537,611871,944115,458395,485720,27,212,239,35,273,308,220,3399,3619,93,2540,2633,0,93,93,660,5246,5906
Nevada,2012,2094967,1767071,2758931,1364397,1394534,1044829,1050138,870942,896129,25171,13794,11377,19102,10739,8363,16666,9308,7358,221616,122227,99389,178783,100567,78216,155265,86388,68877,219992,107758,112234,162251,80545,81706,143109,69601,73508,752505,366280,386225,486094,237741,248353,454949,220326,234623,83163,38904,44259,45476,22654,22822,41663,20949,20714,1456484,715434,741050,1203261,592583,610678,955419,464370,491049,27,212,239,35,273,308,220,3399,3619,93,2540,2633,0,93,93,660,5246,5906
Nevada,2011,2061265,1749253,2723322,1350327,1372995,1026038,1035227,860504,888749,26145,14200,11945,19622,10623,8999,17536,9453,8083,208984,112394,96590,169092,93679,75413,145734,79935,65799,212530,106842,105688,157742,78609,79133,138442,67971,70471,738295,359295,379e3,472787,229861,242926,445817,214972,230845,82849,43025,39824,45580,24941,20639,42493,23144,19349,1454519,714571,739948,1196442,588325,608117,959231,465029,494202,22,210,232,20,221,241,210,3466,3676,85,2600,2685,2,91,93,618,5199,5817
Nevada,2010,2040158,1737976,2704642,1339050,1365592,1014562,1025596,855511,882465,24085,12902,11183,19077,10449,8628,16317,8679,7638,209207,113545,95662,168317,94481,73836,146286,82117,64169,210697,103503,107194,153202,74910,78292,134965,65269,69696,719929,351867,368062,457153,222393,234760,430838,207753,223085,78987,39511,39476,42745,22462,20283,40616,20953,19663,1461737,717722,744015,1199664,589867,609797,968954,470740,498214,29,193,222,24,288,312,223,3388,3611,0,2538,2538,1,96,97,601,5166,5767
Nevada,2009,1958e3,1675415,2643085,1296766,1346319,965305,992695,813713,861702,27906,15808,12098,18170,10089,8081,16680,9283,7397,183459,99502,83957,145630,80767,64863,126697,69657,57040,197154,98611,98543,140793,71401,69392,125444,62540,62904,700203,327700,372503,434820,2e5,234820,408082,185818,222264,64353,31908,32445,35756,18940,16816,32855,17450,15405,1470010,723237,746773,1182831,584108,598723,965657,468965,496692,12,9,21,26,357,383,216,3351,3567,89,2423,2512,0,0,0,584,5175,5759
Nevada,2008,1932187,1658662,2600167,1275824,1324343,952478,979709,807516,851146,28778,15696,13082,20869,11864,9005,18350,10189,8161,165967,89979,75988,132135,73239,58896,114949,63190,51759,189722,95513,94209,135326,68794,66532,119897,60198,59699,672393,316622,355771,421409,194413,226996,396681,180635,216046,73441,36071,37370,38330,19007,19323,35789,17462,18327,1469866,721943,747923,1184118,585161,598957,972996,475842,497154,7,6,13,16,249,265,240,3424,3664,92,2372,2464,0,85,85,610,5391,6001
Nevada,2007,1899964,1638008,2565382,1263874,1301508,937272,962692,796463,841545,29476,15310,14166,21796,12254,9542,19985,11503,8482,166523,89951,76572,131890,73683,58207,114319,63524,50795,181594,90492,91102,126911,63658,63253,111991,55496,56495,643358,306009,337349,397906,183832,214074,376960,171802,205158,62685,31790,30895,35296,17294,18002,32735,15694,17041,1481746,730322,751424,1186165,586551,599614,982018,478444,503574,20,190,210,26,247,273,263,3378,3641,98,2172,2270,0,83,83,769,6117,6886
