state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
US Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,8458,75221,83679,NA,NA,NA,7671,5953,81871,87824,120652,1718,38781,40499,128323,103751,1273323,1377074,1961,21113,23074,111422,1393975,1505397
US Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,7960,73236,81196,NA,NA,NA,7580,5999,83608,89607,118692,1581,35084,36665,126272,103911,1296420,1400331,2161,21141,23302,111491,1415112,1526603
US Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,7622,74157,81779,NA,NA,NA,7359,4294,75873,80167,124364,3065,48491,51556,131723,105669,1324927,1430596,2266,22318,24584,113028,1449291,1562319
US Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,7382,78280,85662,NA,NA,NA,6902,3960,76825,80785,126461,2942,49636,52578,133363,104456,1339131,1443587,2152,22485,24637,111358,1465592,1576950
US Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,7623,75980,83603,NA,NA,NA,7962,5308,79060,84368,129258,2654,50198,52852,137220,100810,1332367,1433177,2391,24275,26666,108772,1461625,1570397
US Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,7680,74391,82071,NA,NA,NA,7863,6293,82734,89027,123109,1570,40375,41945,130972,103544,1364452,1467996,2313,23119,25432,111407,1487561,1598968
US Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,6751,76692,83443,NA,NA,NA,8384,6818,83832,90650,119561,1566,35729,37295,127945,104483,1381375,1485858,2330,24356,26686,112867,1500936,1613803
US Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,7056,78145,85201,NA,NA,NA,8687,7255,80249,87504,120646,1432,40397,41829,129333,104798,1381356,1486154,2414,25003,27417,113485,1502002,1615487
US Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,7193,76304,83497,NA,NA,NA,8840,7320,79323,86643,120642,1520,41319,42839,129482,105772,1373028,1478800,2476,24890,27366,114612,1493670,1608282
US Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,7235,73386,80621,NA,NA,NA,8535,7090,75489,82579,115615,1445,40126,41571,124150,105776,1366909,1472685,2767,27642,30409,114311,1482524,1596835
US Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,6815,71106,77921,NA,NA,NA,7842,6487,72241,78728,105855,1355,33614,34969,113697,104466,1350511,1454977,3069,27482,30551,112308,1456366,1568674
US Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,6296,66790,73086,NA,NA,NA,8240,6486,66628,73114,99193,1754,32565,34319,107433,99278,1319199,1418477,2721,27480,30201,107518,1418392,1525910
US Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,6166,68279,74445,NA,NA,NA,6658,5279,61720,66999,85911,1379,24191,25570,92569,98164,1306367,1404531,2727,26896,29623,104822,1392278,1497100
US Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,6118,67302,73420,NA,NA,NA,6307,5028,61462,66490,83816,1279,22354,23633,90123,94539,1283939,1378478,2436,25872,28308,100846,1367755,1468601
US Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,5612,66938,72550,NA,NA,NA,7022,5838,61039,66877,81348,1184,20309,21493,88370,90609,1261165,1351774,2394,25055,27449,97631,1342513,1440144
US Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,5101,67358,72459,NA,NA,NA,5970,5723,59926,65649,80451,247,20525,20772,86421,87009,1230602,1317611,2374,25162,27536,92979,1311053,1404032
US Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,4893,65063,69956,0,0,0,7351,7202,60008,67210,84228,149,24220,24369,91579,85883,1216769,1302652,2564,26114,28678,93234,1300997,1394231
