state,year,population,population_adult,population_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Kentucky,2016,4436974,3425666,2792106,0,0,0,20,84,104,2645,8650,11295,34,92,126,10,68,78,527,2282,2809,18,169,187,1024,4574,5598,3,15,18,4281,15938,20219,0,4,4
Kentucky,2015,4425092,3415817,2792936,0,0,0,5,81,86,2298,8411,10709,94,106,200,9,60,69,448,1948,2396,18,197,215,956,4784,5740,1,26,27,3829,15617,19446,0,4,4
Kentucky,2014,4413457,3399427,2801983,0,0,0,11,104,115,2224,8389,10613,41,74,115,16,48,64,386,1728,2114,14,242,256,917,4306,5223,0,0,0,3609,14893,18502,0,2,2
Kentucky,2013,4395295,3384076,2800393,0,0,0,11,70,81,1937,7796,9733,62,184,246,0,11,11,186,1015,1201,14,210,224,695,3724,4419,0,0,0,2905,13010,15915,0,0,0
Kentucky,2012,4380415,3364861,2803410,0,0,0,14,121,135,2360,8902,11262,0,0,0,51,94,145,24,211,235,13,221,234,533,2990,3523,0,0,0,2995,12539,15534,0,0,0
Kentucky,2011,4369356,3347482,2797635,0,0,0,16,102,118,2125,8954,11079,0,0,0,33,46,79,17,302,319,31,279,310,577,3115,3692,0,0,0,2799,12799,15598,0,1,1
Kentucky,2010,4346266,3328494,2787617,0,0,0,14,97,111,2022,8861,10883,0,0,0,38,122,160,19,137,156,19,252,271,505,2699,3204,0,0,0,2618,12168,14786,NA,0,NA
Kentucky,2009,4314113,3296134,2761750,0,0,0,11,78,89,1990,8771,10761,0,0,0,47,146,193,11,147,158,33,321,354,358,2209,2567,0,0,0,2450,11673,14123,0,1,1
Kentucky,2008,4269245,3264786,2743445,0,0,0,17,118,135,1967,8657,10624,0,0,0,38,117,155,21,165,186,42,409,451,395,2462,2857,0,0,0,2480,11930,14410,0,2,2
Kentucky,2007,4241474,3224873,2718786,0,0,0,11,104,115,2043,8926,10969,0,0,0,37,141,178,18,151,169,44,378,422,475,3146,3621,0,0,0,2628,12866,15494,0,20,20
Kentucky,2006,4206074,3215998,2716606,NA,NA,NA,11,80,91,1910,8662,10572,0,0,0,0,0,0,21,146,167,29,359,388,380,2544,2924,NA,NA,NA,2351,11793,14144,0,2,2
Kentucky,2005,4065635,3089485,2627495,0,0,0,6,93,99,1791,8378,10169,0,0,0,0,2,2,20,109,129,38,410,448,355,2221,2576,0,0,0,2210,11219,13429,0,6,6
Kentucky,2004,4031134,3057341,2603381,0,0,0,18,182,200,1072,9003,10075,0,0,0,0,0,0,10,111,121,27,405,432,175,2206,2381,0,0,0,1302,11907,13209,0,0,0
Kentucky,2003,4003036,3013737,2565499,0,0,0,6,88,94,921,5780,6701,116,535,651,0,0,0,0,9,9,14,178,192,206,1836,2042,NA,NA,NA,1263,8426,9689,0,0,0
Kentucky,2002,3978103,3049835,2606380,4,105,109,0,0,0,893,5319,6212,0,8,8,8,45,53,103,461,564,9,111,120,170,1604,1774,0,0,0,1187,7653,8840,0,0,0
Kentucky,2001,3950704,2956198,2509806,1,9,10,3,76,79,767,4748,5515,1,16,17,7,46,53,73,432,505,6,51,57,127,1151,1278,4,21,25,989,6550,7539,NA,NA,NA
Kentucky,2000,3922149,2940381,2509732,0,0,0,6,118,124,753,5084,5837,84,413,497,0,0,0,2,24,26,8,111,119,124,1474,1598,7,32,39,984,7259,8243,0,3,3
Kentucky,1999,3896673.6,2918241.3,2487399.5,NA,NA,NA,7,103,110,598,4014,4612,4,60,64,9,42,51,69,383,452,5,91,96,157,1435,1592,NA,NA,NA,849,6128,6977,0,0,0
Kentucky,1998,3871198.2,2896101.6,2465067,NA,NA,NA,NA,NA,NA,726,5445,6171,1,29,30,4,21,25,55,506,561,4,113,117,75,922,997,NA,NA,NA,869,7120,7989,0,0,0
Kentucky,1997,3845722.8,2873961.9,2442734.5,NA,NA,NA,NA,NA,NA,707,5297,6004,4,30,34,8,32,40,48,284,332,6,144,150,133,1430,1563,NA,NA,NA,915,7319,8234,0,0,0
Kentucky,1996,3820247.4,2851822.2,2420402,NA,NA,NA,NA,NA,NA,611,5061,5672,3,39,42,0,39,39,34,263,297,10,110,120,128,1270,1398,NA,NA,NA,791,6894,7685,0,0,0
Kentucky,1995,3794772,2829682.5,2398069.5,NA,NA,NA,NA,NA,NA,541,4433,4974,4,35,39,5,32,37,34,224,258,5,123,128,111,1313,1424,NA,NA,NA,708,6260,6968,0,1,1
Kentucky,1994,3769296.6,2807542.8,2375737,NA,NA,NA,NA,NA,NA,489,4352,4841,1,34,35,1,17,18,27,170,197,6,113,119,111,1241,1352,NA,NA,NA,644,6029,6673,0,0,0
Kentucky,1993,3743821.2,2785403.1,2353404.5,NA,NA,NA,NA,NA,NA,410,3753,4163,3,33,36,3,25,28,14,143,157,2,105,107,100,1111,1211,NA,NA,NA,534,5291,5825,0,0,0
Kentucky,1992,3718345.8,2763263.4,2331072,NA,NA,NA,NA,NA,NA,417,3946,4363,1,24,25,2,14,16,17,98,115,7,113,120,89,1007,1096,NA,NA,NA,537,5335,5872,0,0,0
Kentucky,1991,3692870.4,2741123.7,2308739.5,NA,NA,NA,NA,NA,NA,365,3355,3720,1,16,17,2,10,12,9,90,99,7,124,131,75,972,1047,NA,NA,NA,461,4655,5116,0,0,0
Kentucky,1990,3667395,2718984,2286407,NA,NA,NA,NA,NA,NA,323,2990,3313,2,32,34,1,12,13,8,68,76,7,127,134,64,982,1046,NA,NA,NA,407,4291,4698,0,0,0
Kentucky,1989,3666283.5,2703801.6,2276204.3,NA,NA,NA,NA,NA,NA,302,2778,3080,3,24,27,1,14,15,8,62,70,12,157,169,62,928,990,NA,NA,NA,397,4068,4465,2,0,2
Kentucky,1988,3665172,2688619.2,2266001.6,NA,NA,NA,NA,NA,NA,261,2394,2655,2,20,22,0,12,12,5,40,45,7,216,223,57,888,945,NA,NA,NA,339,3654,3993,1,0,1
Kentucky,1987,3664060.5,2673436.8,2255798.9,NA,NA,NA,NA,NA,NA,121,2077,2198,1,15,16,0,7,7,1,14,15,2,175,177,21,404,425,NA,NA,NA,150,2750,2900,0,2,2
Kentucky,1986,3662949,2658254.4,2245596.2,NA,NA,NA,NA,NA,NA,165,1922,2087,1,16,17,1,15,16,2,24,26,9,286,295,28,657,685,NA,NA,NA,213,3004,3217,0,0,0
Kentucky,1985,3661837.5,2643072,2235393.5,NA,NA,NA,NA,NA,NA,165,1877,2042,0,14,14,0,10,10,3,53,56,9,274,283,22,607,629,NA,NA,NA,202,2910,3112,0,0,0
Kentucky,1984,3660726,2627889.6,2225190.8,NA,NA,NA,NA,NA,NA,172,1704,1876,2,18,20,2,14,16,1,20,21,14,282,296,31,562,593,NA,NA,NA,228,2694,2922,0,0,0
Kentucky,1983,3659614.5,2612707.2,2214988.1,NA,NA,NA,NA,NA,NA,200,2345,2545,0,10,10,1,25,26,2,32,34,8,367,375,22,582,604,0,NA,NA,233,3457,3690,0,0,0
Kentucky,1982,3658503,2597524.8,2204785.4,NA,NA,NA,NA,NA,NA,185,2012,2197,0,0,0,1,26,27,3,32,35,5,256,261,20,518,538,2,12,14,219,2979,3198,0,0,0
Kentucky,1981,3657391.5,2582342.4,2194582.7,NA,NA,NA,NA,NA,NA,129,2324,2453,0,0,0,0,29,29,1,30,31,1,240,241,11,449,460,1,21,22,143,3223,3366,0,0,0
Kentucky,1980,3656280,2567160,2184380,NA,NA,NA,NA,NA,NA,117,2112,2229,0,3,3,0,0,0,3,47,50,2,161,163,13,413,426,0,17,17,138,2864,3002,1,0,1
Kentucky,1979,3612422,2519524,2142722,NA,NA,NA,NA,NA,NA,140,1892,2032,0,3,3,0,0,0,5,21,26,5,135,140,18,440,458,0,6,6,171,2586,2757,0,3,3
Kentucky,1978,3568564,2471888,2101064,0,0,0,0,87,87,103,1835,1938,0,16,16,0,0,0,1,71,72,0,71,71,13,344,357,2,9,11,119,2435,2554,0,2,2
