state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
Delaware,1978,0,0,0,0,0,0,39,706,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25,555,580
Delaware,1979,0,1,1,0,0,0,45,813,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,19,541,560
Delaware,1980,0,1,1,0,0,0,36,889,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,21,527,548
Delaware,1981,0,0,0,0,0,0,49,972,1021,0,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26,665,691
Delaware,1982,0,0,0,0,0,0,66,1143,1209,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,32,821,853
Delaware,1983,0,3,3,0,0,0,69,1197,1266,2,33,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,38,891,929
Delaware,1984,0,5,5,0,0,0,68,1208,1276,2,45,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,39,882,921
Delaware,1985,0,2,2,0,1,1,87,1356,1443,1,73,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,44,1063,1107
Delaware,1986,0,4,4,0,0,0,104,1545,1649,0,89,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,53,1117,1170
Delaware,1987,0,4,4,0,3,3,99,1595,1694,2,103,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,65,1173,1238
Delaware,1988,0,2,2,1,2,3,114,1823,1937,6,92,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,62,1193,1255
Delaware,1989,0,2,2,1,3,4,153,2045,2198,7,116,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,43,44,69,1141,1210
Delaware,1990,0,1,1,1,4,5,153,2102,2255,4,124,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,59,60,69,1079,1148
Delaware,1991,0,2,2,1,2,3,162,2287,2449,5,143,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,85,88,74,1101,1175
Delaware,1992,0,1,1,2,2,4,189,2476,2665,8,161,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,93,97,79,1205,1284
Delaware,1993,0,0,0,1,1,2,194,2606,2800,9,181,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,82,82,62,1264,1326
Delaware,1994,0,0,0,2,2,4,199,2797,2996,8,183,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77,77,81,1308,1389
Delaware,1995,0,1,1,1,2,3,228,2929,3157,10,181,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,82,86,124,1431,1555
Delaware,1996,0,0,0,3,2,5,220,3060,3280,16,187,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,83,90,149,1586,1735
Delaware,1997,1,0,1,NA,NA,NA,244,3237,3481,13,199,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,136,1806,1942
Delaware,1998,0,2,2,NA,NA,NA,261,3260,3521,17,209,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,178,1850,2028
Delaware,1999,0,1,1,NA,NA,NA,356,4070,4426,19,277,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,254,2294,2548
Delaware,2e3,0,1,1,NA,NA,NA,360,3965,4325,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,235,2355,2590
Delaware,2001,0,1,1,NA,NA,NA,337,4024,4361,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,250,2386,2636
Delaware,2002,0,2,2,NA,NA,NA,304,3997,4301,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,3,243,2271,2514
Delaware,2003,0,2,2,NA,NA,NA,273,3938,4211,9,312,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,224,2025,2249
Delaware,2004,0,3,3,NA,NA,NA,292,3948,4240,10,326,336,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,253,2088,2341
Delaware,2005,0,1,1,NA,NA,NA,266,3946,4212,15,325,340,0,0,0,NA,NA,NA,0,0,0,0,3,3,273,2121,2394
Delaware,2006,0,1,1,NA,NA,NA,260,4048,4308,20,376,396,0,0,0,NA,NA,NA,0,0,0,0,2,2,290,2185,2475
Delaware,2007,0,3,3,NA,NA,NA,254,4080,4334,25,365,390,0,0,0,0,0,0,0,0,0,0,1,1,294,2226,2520
Delaware,2008,0,0,0,NA,NA,NA,248,4061,4309,19,327,346,0,0,0,NA,NA,NA,0,0,0,0,1,1,286,2106,2392
Delaware,2009,0,1,1,NA,NA,NA,206,3779,3985,13,297,310,0,0,0,NA,NA,NA,0,0,0,0,4,4,269,2197,2466
Delaware,2010,0,1,1,NA,NA,NA,162,3600,3762,13,268,281,0,0,0,0,0,0,0,0,0,0,3,3,269,2056,2325
Delaware,2011,0,1,1,NA,NA,NA,187,3653,3840,6,269,275,0,0,0,0,0,0,0,0,0,0,0,0,342,2272,2614
Delaware,2012,0,0,0,NA,NA,NA,186,3660,3846,11,267,278,0,0,0,0,0,0,0,0,0,0,5,5,368,2410,2778
Delaware,2013,0,0,0,NA,NA,NA,196,3729,3925,12,276,288,0,0,0,0,0,0,0,0,0,0,3,3,390,2391,2781
Delaware,2014,0,0,0,NA,NA,NA,166,3613,3779,11,268,279,0,0,0,0,0,0,0,0,0,0,1,1,415,2472,2887
Delaware,2015,0,0,0,NA,NA,NA,160,3534,3694,11,270,281,1,6,7,0,0,0,0,0,0,0,2,2,365,2305,2670
Delaware,2016,0,1,1,NA,NA,NA,186,3536,3722,13,273,286,0,0,0,0,0,0,0,0,0,0,3,3,338,2227,2565
