state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Arizona,1998,34,2730,2764,NA,NA,NA
Arizona,1999,47,2849,2896,NA,NA,NA
Arizona,2e3,43,2840,2883,2,150,152
Arizona,2001,49,2981,3030,4,138,142
Arizona,2002,65,3347,3412,1,146,147
Arizona,2003,65,3605,3670,4,112,116
Arizona,2004,49,3875,3924,1,97,98
Arizona,2005,62,4117,4179,1,77,78
Arizona,2006,80,4352,4432,1,111,112
Arizona,2007,77,4797,4874,4,125,129
Arizona,2008,108,2654,2762,2,154,156
Arizona,2009,143,3116,3259,8,149,157
Arizona,2010,152,4610,4762,8,123,131
Arizona,2011,141,5195,5336,11,83,94
Arizona,2012,123,4769,4892,8,61,69
Arizona,2013,121,4846,4967,3,55,58
Arizona,2014,134,4609,4743,1,55,56
Arizona,2015,124,4446,4570,2,79,81
Arizona,2016,125,4537,4662,2,74,76
