state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
Florida,1978,0,0,0,0,5,5,534,10156,10690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,303,9775,10078
Florida,1979,0,0,0,0,6,6,513,9564,10077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,315,9735,10050
Florida,1980,0,2,2,0,3,3,482,9435,9917,8,276,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,269,284,342,10187,10529
Florida,1981,0,3,3,0,4,4,573,10778,11351,5,318,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,54,57,418,11756,12174
Florida,1982,0,3,3,0,2,2,688,12783,13471,5,610,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,17,558,13779,14337
Florida,1983,0,3,3,0,30,30,655,12206,12861,5,785,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,525,12915,13440
Florida,1984,0,0,0,10,393,403,628,12533,13161,83,1828,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,512,12838,13350
Florida,1985,0,0,0,6,122,128,715,13427,14142,95,1993,2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,583,13747,14330
Florida,1986,0,0,0,NA,NA,NA,949,15486,16435,121,2265,2386,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,686,15116,15802
Florida,1987,0,15,15,0,19,19,920,16074,16994,77,2394,2471,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,799,799,761,13857,14618
Florida,1988,0,15,15,0,13,13,869,17510,18379,70,2499,2569,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,543,543,1142,14640,15782
Florida,1989,0,11,11,5,11,16,1520,20750,22270,56,2842,2898,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,793,793,1026,15883,16909
Florida,1990,0,7,7,5,10,15,1520,23824,25344,56,3004,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,776,776,1026,17106,18132
Florida,1991,0,0,0,0,105,105,1578,25607,27185,55,3083,3138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,860,860,1060,17323,18383
Florida,1992,0,18,18,7,161,168,1601,26823,28424,57,3003,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,644,645,990,18057,19047
Florida,1993,0,21,21,7,151,158,1612,29385,30997,64,3245,3309,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,843,843,1080,19949,21029
Florida,1994,0,23,23,0,43,43,1788,31335,33123,85,3853,3938,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1186,1190,1276,21513,22789
Florida,1995,6,54,60,0,39,39,2094,34313,36407,98,4695,4793,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1156,1156,1560,24657,26217
Florida,1996,4,74,78,1,48,49,1818,33643,35461,144,5178,5322,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1145,1166,1458,25551,27009
Florida,1997,9,39,48,NA,NA,NA,1813,33958,35771,188,5354,5542,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1239,1359,1477,25968,27445
Florida,1998,12,6,18,NA,NA,NA,1878,35265,37143,184,5700,5884,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,1302,1423,1515,27117,28632
Florida,1999,10,86,96,NA,NA,NA,1997,35982,37979,218,6226,6444,0,4,4,1447,153,1294,NA,NA,NA,0,5,5,1659,28360,30019
Florida,2e3,13,84,97,NA,NA,NA,2029,36147,38176,266,6450,6716,0,2,2,55,7,48,NA,NA,NA,4,19,23,1782,24414,26196
Florida,2001,12,96,108,NA,NA,NA,2045,36399,38444,301,6750,7051,1,2,3,66,8,58,NA,NA,NA,1,4,5,1910,24765,26675
Florida,2002,18,100,118,NA,NA,NA,2145,37163,39308,319,7099,7418,0,3,3,64,7,57,NA,NA,NA,0,3,3,2104,26139,28243
Florida,2003,20,114,134,NA,NA,NA,2289,39920,42209,315,8047,8362,1,3,4,71,4,67,NA,NA,NA,0,1,1,2532,28645,31177
Florida,2004,22,126,148,NA,NA,NA,2343,41003,43346,352,8320,8672,1,4,5,72,2,70,NA,NA,NA,1,1,2,2935,30299,33234
Florida,2005,23,129,152,NA,NA,NA,2466,42784,45250,255,2439,2694,2,3,5,75,2,73,NA,NA,NA,NA,7,NA,3400,38121,41521
Florida,2006,26,93,119,NA,NA,NA,2466,42930,45396,253,2539,2792,NA,NA,NA,219,11,208,NA,NA,NA,0,4,4,3554,38327,41881
Florida,2007,20,97,117,NA,NA,NA,2602,45940,48542,414,9823,10237,NA,NA,NA,152,10,142,NA,NA,NA,0,0,0,3807,35356,39163
Florida,2008,13,96,109,NA,NA,NA,1923,43234,45157,214,3050,3264,NA,NA,NA,221,7,214,NA,NA,NA,0,6,6,3076,38875,41951
Florida,2009,17,108,125,NA,NA,NA,2661,48786,51447,231,3520,3751,NA,NA,NA,270,13,257,NA,NA,NA,0,9,9,4358,43935,48293
Florida,2010,12,105,117,NA,NA,NA,2493,48473,50966,200,3627,3827,0,0,0,303,6,297,0,0,0,1,10,11,4634,44435,49069
Florida,2011,11,93,104,NA,NA,NA,2306,47419,49725,189,3689,3878,0,0,0,316,7,309,0,0,0,1,11,12,4623,44379,49002
Florida,2012,7,85,92,NA,NA,NA,2197,46833,49030,170,3605,3775,0,0,0,317,6,311,0,0,0,2,10,12,4599,44085,48684
Florida,2013,6,76,82,NA,NA,NA,2187,47294,49481,165,3655,3820,0,0,0,0,0,0,0,0,0,12,309,321,4898,44408,49306
Florida,2014,10,79,89,NA,NA,NA,2164,46950,49114,185,3733,3918,0,0,0,315,11,304,0,0,0,1,14,15,4930,44475,49405
Florida,2015,10,83,93,NA,NA,NA,2109,46575,48684,195,3947,4142,0,0,0,320,11,309,0,0,0,1,13,14,4615,43538,48153
Florida,2016,10,75,85,NA,NA,NA,2025,45394,47419,428,12097,12525,2,7,9,224,15,209,0,0,0,1,2,3,4380,35309,39689
