state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
New Mexico,2016,1594344,1279964,2081015,1052374,1028641,811081,783263,639807,640157,711,6344,7055,711,6344,7055,NA,NA,NA
New Mexico,2015,1586110,1283011,2085109,1049370,1035739,805247,780863,639215,643796,794,7088,7882,794,7088,7882,784,6309,7093
New Mexico,2014,1588033,1297353,2085572,1055089,1030483,809861,778172,650704,646649,746,6962,7708,746,6962,7708,736,6104,6840
New Mexico,2013,1578942,1293596,2085287,1049487,1035800,802022,776920,646953,646643,656,6772,7428,656,6772,7428,632,5853,6485
New Mexico,2012,1570724,1304456,2085538,1048485,1037053,801430,769294,654754,649702,680,6431,7111,680,6431,7111,654,5538,6192
New Mexico,2011,1564221,1302432,2082224,1046663,1035561,796647,767574,654095,648337,678,6430,7108,678,6430,7108,654,5538,6192
New Mexico,2010,1548374,1288774,2065932,1046841,1019091,791507,756867,649779,638995,606,5522,6128,608,6515,7123,582,5557,6139
New Mexico,2009,1496203,1253113,2009671,1021889,987782,764839,731364,627652,625461,606,6013,6619,608,6376,6984,582,5419,6001
New Mexico,2008,1484043,1239960,1984356,1004954,979402,760714,723329,622069,617891,608,5850,6458,608,6416,7024,NA,NA,NA
New Mexico,2007,1475426,1241199,1969915,992536,977379,752818,722608,620651,620548,803,5850,6653,807,6324,7131,NA,NA,NA
New Mexico,2006,1450102,1224310,1954599,991185,963414,745768,704334,617042,607268,803,5616,6419,813,6072,6885,NA,NA,NA
New Mexico,2005,1400056,1189646,1886789,968289,918500,727179,672877,608222,581424,611,5616,6227,619,6094,6713,NA,NA,NA
New Mexico,2004,1371623,1170326,1855776,949504,906272,710841,660782,597899,572427,611,5596,6207,617,6016,6633,NA,NA,NA
New Mexico,2003,1339421,1130608,1837417,936914,900503,691546,647875,576846,553762,611,5374,5985,611,5774,6385,617,5774,6391
New Mexico,2002,1322313,1118313,1823047,926580,896467,680299,642014,569645,548668,611,5374,5985,611,5628,6239,617,5628,6245
New Mexico,2001,1295567,1101763,1794179,915211,878968,675038,620529,567812,533951,602,5384,5986,587,5519,6106,587,5519,6106
New Mexico,2000,1276183,1088258,1770085,897462,872623,645035,631148,547172,541086,313,5515,5828,313,5423,5736,NA,NA,NA
New Mexico,1999,1254881.7,1070799.3,1743791.1,884190,859601.1,635233.2,619648.5,538653.9,532145.4,625,4879,5504,463,5129,5592,NA,NA,NA
New Mexico,1998,1233580.4,1053340.6,1717497.2,870918,846579.2,625431.4,608149,530135.8,523204.8,NA,NA,NA,NA,NA,3447,NA,NA,NA
New Mexico,1997,1212279.1,1035881.9,1691203.3,857646,833557.3,615629.6,596649.5,521617.7,514264.2,NA,NA,NA,NA,NA,4435,NA,NA,NA
New Mexico,1996,1190977.8,1018423.2,1664909.4,844374,820535.4,605827.8,585150,513099.6,505323.6,NA,NA,4515,NA,NA,4515,NA,NA,4515
New Mexico,1995,1169676.5,1000964.5,1638615.5,831102,807513.5,596026,573650.5,504581.5,496383,NA,NA,4645,NA,NA,4636,NA,NA,4636
New Mexico,1994,1148375.2,983505.8,1612321.6,817830,794491.6,586224.2,562151,496063.4,487442.4,NA,NA,4074,NA,NA,4061,NA,NA,4054
New Mexico,1993,1127073.9,966047.1,1586027.7,804558,781469.7,576422.4,550651.5,487545.3,478501.8,NA,NA,3575,NA,NA,3561,NA,NA,3561
New Mexico,1992,1105772.6,948588.4,1559733.8,791286,768447.8,566620.6,539152,479027.2,469561.2,NA,NA,3443,NA,NA,3290,NA,NA,3427
New Mexico,1991,1084471.3,931129.7,1533439.9,778014,755425.9,556818.8,527652.5,470509.1,460620.6,NA,NA,3236,NA,NA,3236,NA,NA,3236
New Mexico,1990,1063170,913671,1507146,764742,742404,547017,516153,461991,451680,NA,NA,3225,NA,NA,3596,NA,NA,3225
New Mexico,1989,1045315,900227.9,1487435.4,755073.8,732361.6,538063.3,507251.7,455497.9,444730,NA,NA,2997,NA,NA,3001,NA,NA,2997
New Mexico,1988,1027460,886784.8,1467724.8,745405.6,722319.2,529109.6,498350.4,449004.8,437780,NA,NA,2671,NA,NA,2751,NA,NA,2671
New Mexico,1987,1009605,873341.7,1448014.2,735737.4,712276.8,520155.9,489449.1,442511.7,430830,NA,NA,2459,NA,NA,2689,NA,NA,2459
New Mexico,1986,991750,859898.6,1428303.6,726069.2,702234.4,511202.2,480547.8,436018.6,423880,NA,NA,2363,NA,NA,2593,NA,NA,2363
New Mexico,1985,973895,846455.5,1408593,716401,692192,502248.5,471646.5,429525.5,416930,NA,NA,NA,NA,NA,NA,NA,NA,2390
New Mexico,1984,956040,833012.4,1388882.4,706732.8,682149.6,493294.8,462745.2,423032.4,409980,NA,NA,2390,NA,NA,2390,NA,NA,NA
New Mexico,1983,938185,819569.3,1369171.8,697064.6,672107.2,484341.1,453843.9,416539.3,403030,NA,NA,1950,NA,NA,1950,NA,NA,1950
