state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
Florida,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20377
Florida,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,19232
Florida,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20457
Florida,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,23277
Florida,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,27565
Florida,1983,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1175,25054,26229
Florida,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1149,25757,26906
Florida,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1286,26886,28172
Florida,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1286,30602,31888
Florida,1987,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1696,30228,31924
Florida,1988,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1952,32375,34327
Florida,1989,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2472,37094,39566
Florida,1990,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2587,41405,43992
Florida,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2621,43828,46449
Florida,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2599,45703,48302
Florida,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699,50349,53048
Florida,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068,54100,57168
Florida,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3660,60219,63879
Florida,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3302,60461,63763
Florida,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3419,61207,64626
Florida,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3526,63698,67224
Florida,1999,3820,65776,804,2969,3773,3016,62807,65823,0,0,0,3820,65776,69596
Florida,2e3,4105,67214,932,2980,3912,3173,64234,67407,NA,NA,NA,4105,67214,71319
Florida,2001,4282,68122,935,3060,3995,3347,65062,68409,NA,NA,NA,4282,68122,72404
Florida,2002,4595,70615,940,3233,4173,3655,67382,71037,NA,NA,NA,4595,70615,75210
Florida,2003,5068,74526,1090,3240,4330,3978,71286,75264,0,0,0,5068,74526,79594
Florida,2004,5519,77646,1085,3243,4328,4434,74403,78837,0,0,0,5519,77646,83165
Florida,2005,5959,80600,1409,4852,6261,4550,75748,80298,0,0,0,5959,80600,86559
Florida,2006,6310,84067,1412,4938,6350,4898,79129,84027,NA,NA,NA,4898,79129,84027
Florida,2007,6688,88499,1785,6984,8769,4903,81515,86418,0,0,0,4903,81515,86418
Florida,2008,7020,92858,1785,7373,9158,5235,85485,90720,0,0,0,5235,85485,90720
Florida,2009,7038,94335,1789,8023,9812,5249,86312,91561,0,0,0,5249,86312,91561
Florida,2010,7232,94838,1844,9952,11796,5388,84886,90274,0,0,0,5388,84886,90274
Florida,2011,7050,93811,1838,9989,11827,5212,83822,89034,0,0,0,5212,83822,89034
Florida,2012,6871,92964,1843,9858,11701,5028,83106,88134,0,0,0,5028,83106,88134
Florida,2013,7137,93803,1851,9950,11801,5286,83853,89139,0,0,0,5286,83853,89139
Florida,2014,7203,93670,1865,10530,12395,5338,83140,88478,0,0,0,5338,83140,88478
Florida,2015,6828,92657,1848,10639,12487,4980,82018,86998,0,0,0,4980,82018,86998
Florida,2016,6756,91254,1864,10312,12176,4892,80942,85834,0,0,0,4892,80942,85834
