state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
New Mexico,2016,1594344,1279964,2081015,1052374,1028641,811081,783263,639807,640157,0,0,0,0,1,1,362,1949,2311,0,0,0,0,0,0,0,0,0,13,284,297,156,851,1007,0,0,0,531,3085,3616,0,0,0
New Mexico,2015,1586110,1283011,2085109,1049370,1035739,805247,780863,639215,643796,0,0,0,1,1,2,385,2268,2653,0,0,0,0,0,0,0,0,0,0,184,184,166,991,1157,0,0,0,552,3444,3996,0,0,0
New Mexico,2014,1588033,1297353,2085572,1055089,1030483,809861,778172,650704,646649,0,0,0,0,0,0,381,2119,2500,0,0,0,0,0,0,0,0,0,1,240,241,145,912,1057,0,0,0,527,3271,3798,0,0,0
New Mexico,2013,1578942,1293596,2085287,1049487,1035800,802022,776920,646953,646643,0,0,0,0,2,2,344,2109,2453,0,0,0,0,0,0,0,0,0,0,284,284,115,715,830,0,0,0,459,3110,3569,0,0,0
New Mexico,2012,1570724,1304456,2085538,1048485,1037053,801430,769294,654754,649702,0,0,0,0,1,1,292,1933,2225,0,0,0,0,0,0,0,0,0,4,373,377,119,859,978,0,0,0,415,3166,3581,0,0,0
New Mexico,2011,1564221,1302432,2082224,1046663,1035561,796647,767574,654095,648337,0,0,0,0,1,1,297,2e3,2297,0,0,0,0,0,0,0,0,0,1,362,363,118,713,831,0,0,0,416,3076,3492,0,0,0
New Mexico,2010,1548374,1288774,2065932,1046841,1019091,791507,756867,649779,638995,0,0,0,0,2,2,260,1209,1469,70,281,351,0,0,0,0,424,424,1,366,367,189,1335,1524,0,0,0,522,3727,4249,NA,110,NA
New Mexico,2009,1496203,1253113,2009671,1021889,987782,764839,731364,627652,625461,3,392,395,0,5,5,38,2027,2065,61,301,362,57,859,916,116,847,963,0,0,0,197,1145,1342,1,1,2,476,5581,6057,3,4,7
New Mexico,2008,1484043,1239960,1984356,1004954,979402,760714,723329,622069,617891,0,0,0,1,3,4,307,2085,2392,64,241,305,0,81,81,3,18,21,0,0,0,176,1117,1293,0,0,0,551,3552,4103,0,7,7
New Mexico,2007,1475426,1241199,1969915,992536,977379,752818,722608,620651,620548,0,0,0,0,2,2,289,2115,2404,77,336,413,0,0,0,17,12,29,0,0,0,128,1172,1300,0,0,0,512,3641,4153,1,4,5
New Mexico,2006,1450102,1224310,1954599,991185,963414,745768,704334,617042,607268,0,0,0,0,1,1,320,2190,2510,94,306,400,0,0,0,31,7,38,0,0,0,157,1232,1389,0,0,0,602,3741,4343,0,5,5
New Mexico,2005,1400056,1189646,1886789,968289,918500,727179,672877,608222,581424,0,0,0,0,2,2,385,2191,2576,77,335,412,0,0,0,23,87,110,0,0,0,87,1079,1166,0,0,0,574,3697,4271,2,3,5
