state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Virginia,2016,6547604,5404922,8411808,4275793,4136015,3365097,3182507,2725776,2679146,0,0,0,1607,9379,10986,14,103,117,0,0,0,0,0,0,0,15,15,0,0,0,8,257,265,1782,10883,12665,0,12,12,0,0,0,147,1012,1159
Virginia,2015,6513104,5420396,8382993,4264266,4118727,3348381,3164723,2735866,2684530,0,0,0,1444,9423,10867,4,114,118,0,0,0,0,0,0,1,2,3,0,0,0,7,253,260,1619,10871,12490,0,7,7,0,1,1,159,949,1108
Virginia,2014,6459130,5407290,8326289,4231186,4095103,3319412,3139718,2725121,2682169,0,0,0,1306,9089,10395,4,127,131,3,3,6,3,25,28,0,0,0,0,0,0,19,325,344,1465,10650,12115,2,13,15,0,0,0,123,971,1094
Virginia,2013,6397091,5383242,8260405,4204129,4056276,3287903,3109188,2713685,2669557,0,4,4,1252,8939,10191,8,134,142,1,6,7,5,25,30,0,0,0,0,0,0,19,359,378,1406,10492,11898,0,7,7,0,0,0,116,908,1024
Virginia,2012,6330863,5357455,8185867,4176369,4009498,3269204,3061659,2712426,2645029,0,0,0,1116,8372,9488,18,227,245,0,0,0,0,10,10,0,0,0,0,0,0,20,405,425,1319,10266,11585,3,14,17,0,0,0,149,1127,1276
Virginia,2011,6243412,5304359,8096604,4113099,3983505,3214010,3029402,2678680,2625679,0,0,0,1137,8655,9792,48,466,514,0,8,8,2,14,16,0,4,4,0,0,0,18,514,532,1383,10997,12380,3,24,27,0,1,1,170,1190,1360
Virginia,2010,6171111,5261338,8024617,4081919,3942698,3181831,2989280,2659944,2601394,0,0,0,1007,7514,8521,32,453,485,0,6,6,2,15,17,3,89,92,1,5,6,29,568,597,1487,11533,13020,1,24,25,0,3,3,405,2727,3132
Virginia,2009,6036341,5149897,7882590,4010193,3872397,3110591,2925750,2596542,2553355,0,0,0,0,0,0,28,400,428,0,0,0,0,0,0,0,0,0,0,0,0,45,869,914,1552,11616,13168,0,0,0,0,0,0,1452,10076,11528
Virginia,2008,5941173,5074881,7769089,3946834,3822255,3060577,2880596,2556667,2518214,0,0,0,0,0,0,18,201,219,0,0,0,0,0,0,20,95,115,0,0,0,94,1376,1470,1571,11623,13194,0,0,0,1,1,2,1430,9765,11195
Virginia,2007,5878890,5034717,7712091,3922991,3789100,3031326,2847564,2534696,2500021,0,0,0,0,0,0,29,227,256,0,0,0,16,99,115,6,91,97,0,0,0,70,1111,1181,1496,11063,12559,0,0,0,0,0,0,1371,9452,10823
Virginia,2006,5835933,5007717,7642884,3885258,3757626,3008633,2827300,2522824,2484893,0,0,0,0,0,0,31,214,245,0,0,0,20,120,140,0,0,0,0,0,0,108,1488,1596,1494,11300,12794,0,0,0,0,0,0,1327,9267,10594
Virginia,2005,5510784,4743193,7320848,3760650,3560198,2867617,2643167,2424948,2318245,NA,NA,NA,1407,8862,10269,42,446,488,NA,NA,NA,31,122,153,1,101,102,NA,NA,NA,66,1013,1079,1551,10624,12175,NA,NA,NA,0,0,0,NA,NA,NA
Virginia,2004,5430699,4678974,7219758,3694086,3525672,2822851,2607848,2386256,2292718,0,0,0,1126,7786,8912,60,488,548,0,0,0,36,102,138,0,133,133,0,0,0,51,1275,1326,1276,9872,11148,0,0,0,0,0,0,NA,NA,NA
Virginia,2003,5360674,4629289,7150715,3662527,3488188,2789582,2571092,2364268,2265021,0,0,0,1176,8043,9219,42,513,555,0,0,0,21,95,116,5,115,120,0,0,0,101,1399,1500,1348,10258,11606,0,0,0,0,0,0,0,0,0
