state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Texas,2016,20575820,17479567,27862596,14030277,13832319,10468399,10107421,8746275,8733292,1473,10578,12051,NA,NA,NA,1569,1569,12123,13692,12123,0,0,0,13692,12766,137245,150011,0,0,0,14335,149368,163703
Texas,2015,20266702,17290729,27469114,13838345,13630769,10317227,9949475,8651462,8639267,1352,9741,11093,NA,NA,NA,1545,1545,12748,14293,12748,0,0,0,14293,12863,136753,149616,0,0,0,14408,149501,163909
Texas,2014,19848130,16995961,26956958,13577055,13379903,10100730,9747400,8502271,8493690,1477,9918,11395,NA,NA,NA,1093,1093,13275,14368,13275,0,0,0,14368,13233,138442,151675,0,0,0,14326,151717,166043
Texas,2013,19411995,16690924,26448193,13301940,13146253,9869633,9542362,8342191,8348733,1346,11181,12527,NA,NA,NA,1099,1099,13439,14538,13439,0,0,0,14538,12731,141011,153742,0,0,0,13830,154450,168280
Texas,2012,19085346,16489296,26059203,13116525,12942678,9705362,9379984,8239103,8250193,1260,9554,10814,NA,NA,NA,2376,2376,16241,18617,16241,0,0,0,18617,11173,136582,147755,0,0,0,13549,152823,166372
Texas,2011,18718067,16214248,25674681,12936916,12737765,9535376,9182691,8119279,8094969,1387,10519,11906,NA,NA,NA,2376,2376,16227,18603,16227,0,0,0,18603,11812,141809,153621,0,0,0,14188,158036,172224
Texas,2010,18367869,15939112,25257114,12732957,12524157,9364638,9003231,7986618,7952494,1537,11453,12990,NA,NA,NA,2407,2407,16748,19155,16748,0,0,0,19155,11944,142550,154494,0,0,0,14351,159298,173649
Texas,2009,17894570,15543713,24782302,12417800,12364502,9052687,8841883,7699361,7844352,1378,10892,12270,NA,NA,NA,NA,2188,17019,19207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13570,157679,171249
Texas,2008,17594727,15296927,24326974,12179722,12147252,8899048,8695679,7569452,7727475,1309,11496,12805,NA,NA,NA,2404,2404,17637,20041,17637,0,0,0,20041,11449,141016,152465,0,0,0,13853,158653,172506
Texas,2007,17305966,15069784,23904380,11988007,11916373,8756157,8549809,7462962,7606822,1444,11330,12774,NA,NA,NA,2289,2289,16582,18871,16582,0,0,0,18871,11642,141277,152919,0,0,0,13931,157859,171790
Texas,2006,17007346,14831195,23507783,11802478,11705305,8629501,8377845,7363234,7467961,1683,13408,15091,NA,NA,NA,2287,2287,16340,18627,16340,0,0,0,18627,11512,141977,153489,0,0,0,13799,158317,172116
Texas,2005,15951322,13968799,22250152,11282675,10967477,8195556,7755766,7062657,6906142,957,9612,10569,NA,NA,NA,2311,2311,15206,17517,15206,0,0,0,17517,11195,140291,151486,0,0,0,13506,155497,169003
Texas,2004,15673529,13723603,21890579,11088092,10802487,8051240,7622289,6935409,6788194,1447,11781,13228,NA,NA,NA,2040,2040,14628,16668,14628,0,0,0,16668,11918,139519,151437,0,0,0,13958,154147,168105
Texas,2003,15332952,13426631,21575409,10909366,10666043,7861600,7471352,6780666,6645965,1586,11745,13331,NA,NA,NA,2028,2028,14542,16570,14542,0,0,0,16570,11459,138882,150341,0,0,0,13487,153424,166911
Texas,2002,15181549,13281594,21288789,10780768,10508021,7811541,7370008,6713321,6568273,1513,10862,12375,NA,NA,NA,2187,2187,14586,16773,14586,0,0,0,16773,10864,134366,145230,NA,NA,NA,13051,148952,162003
Texas,2001,14697368,12836797,20773439,10577771,10195668,7579766,7117602,6508686,6328111,1298,13860,15158,NA,NA,NA,1967,1967,14364,16331,14364,0,0,0,16331,10402,135337,145739,NA,NA,NA,12369,149701,162070
