state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Washington,1983,NA,NA,NA,NA,NA,6172,NA,NA,4491
Washington,1984,NA,NA,4484,NA,NA,6312,NA,NA,4484
Washington,1985,NA,NA,5291,NA,NA,7278,NA,NA,5291
Washington,1986,NA,NA,5324,NA,NA,6040,NA,NA,5324
Washington,1987,NA,NA,5838,NA,NA,5870,NA,NA,5838
Washington,1988,NA,NA,5914,NA,NA,6523,NA,NA,5914
Washington,1989,NA,NA,5756,NA,NA,6547,NA,NA,5756
Washington,1990,NA,NA,6446,NA,NA,6446,NA,NA,5411
Washington,1991,NA,NA,6710,NA,NA,6710,NA,NA,5452
Washington,1992,NA,NA,7779,NA,NA,7779,NA,NA,6190
Washington,1993,NA,NA,9117,NA,NA,9117,NA,NA,6894
Washington,1994,NA,NA,9588,NA,NA,9588,NA,NA,6967
Washington,1995,NA,NA,9916,NA,NA,9916,NA,NA,7231
Washington,1996,NA,NA,10057,NA,NA,10057,NA,NA,7371
Washington,1997,NA,NA,10971,NA,NA,10971,NA,NA,7963
Washington,1998,NA,NA,11575,NA,NA,11575,NA,NA,8902
Washington,1999,730,11306,NA,730,11306,NA,545,8317,NA
Washington,2e3,730,12832,NA,730,12832,NA,545,8921,NA
Washington,2001,654,12139,NA,654,12139,NA,494,9404,NA
Washington,2002,654,12139,NA,654,12139,NA,494,9404,NA
Washington,2003,1201,13623,NA,1201,13623,NA,1115,11392,NA
Washington,2004,1344,13718,NA,1344,13718,NA,1244,11260,NA
Washington,2005,1284,13730,NA,1284,13730,NA,1164,11828,NA
Washington,2006,1284,13830,NA,1284,13830,NA,1164,12007,NA
Washington,2007,1284,14218,NA,1284,14218,NA,1227,12550,NA
Washington,2008,1284,14218,NA,1284,14218,NA,1227,12530,NA
Washington,2009,1383,16668,NA,1383,16668,NA,1327,15810,NA
Washington,2010,1259,16542,NA,1259,16542,NA,1149,15271,NA
Washington,2011,1259,15720,NA,1259,15720,NA,1171,15111,NA
Washington,2012,NA,NA,NA,1064,14884,NA,1158,15263,NA
Washington,2013,NA,NA,NA,1064,15424,NA,1244,15555,NA
Washington,2014,NA,NA,NA,1139,15605,NA,NA,NA,NA
Washington,2015,NA,NA,NA,1198,15630,NA,NA,NA,NA
Washington,2016,NA,NA,NA,1139,15616,NA,NA,NA,NA
