state,year,population,population_adult,population_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Indiana,2016,6633053,5057836,4137541,68,335,403,NA,NA,NA,69,69,3858,3927,3858,0,0,0,3927,2136,19483,21619,0,16,16,2205,23341,25546
Indiana,2015,6619680,5041017,4144444,91,505,596,NA,NA,NA,85,85,4119,4204,4119,0,0,0,4204,2455,20696,23151,0,21,21,2540,24815,27355
Indiana,2014,6596855,5014663,4147984,175,1023,1198,NA,NA,NA,119,119,4301,4420,4301,0,0,0,4420,2756,22095,24851,0,10,10,2875,26396,29271
Indiana,2013,6570902,4985428,4144789,208,1210,1418,NA,NA,NA,117,117,4321,4438,4321,0,0,0,4438,2718,22757,25475,0,8,8,2835,27078,29913
Indiana,2012,6537334,4947700,4134790,64,733,797,NA,NA,NA,127,127,4124,4251,4124,0,0,0,4251,2439,22141,24580,0,9,9,2566,26265,28831
Indiana,2011,6516922,4921885,4121239,69,1435,1504,NA,NA,NA,74,74,2878,2952,2878,0,0,0,2952,2426,23528,25954,1,15,16,2500,26406,28906
Indiana,2010,6490621,4886036,4098945,60,1492,1552,NA,NA,NA,63,63,2754,2817,2754,0,0,0,2817,2443,22768,25211,1,15,16,2506,25522,28028
Indiana,2009,6423113,4836993,4067156,105,1955,2060,NA,NA,NA,63,63,2416,2479,2416,0,0,0,2479,2443,23886,26329,0,20,20,2506,26302,28808
Indiana,2008,6376792,4794072,4034513,107,1823,1930,NA,NA,NA,62,62,2580,2642,2580,0,0,0,2642,2431,23249,25680,0,21,21,2493,25829,28322
Indiana,2007,6345289,4751401,4018322,108,1894,2002,NA,NA,NA,70,70,1613,1683,1613,0,0,0,1683,2225,23224,25449,0,18,18,2295,24837,27132
Indiana,2006,6313520,4728787,4004157,65,1115,1180,NA,NA,NA,40,40,1250,1290,1250,0,0,0,1290,2127,22674,24801,6,30,36,2167,23924,26091
Indiana,2005,6081212,4483771,3805819,43,1652,1695,NA,NA,NA,0,0,115,115,115,0,0,0,115,1884,22456,24340,8,31,39,1884,22571,24455
Indiana,2004,6058172,4458244,3786739,127,1897,2024,NA,NA,NA,0,0,0,0,641,0,641,641,641,1892,21475,23367,11,55,66,1892,22116,24008
Indiana,2003,6021480,4419110,3752996,109,1615,1724,NA,NA,NA,0,0,0,0,652,0,652,652,652,1758,20659,22417,5,56,61,1758,21311,23069
Indiana,2002,5985228,4401277,3731166,78,1184,1262,NA,NA,NA,0,0,189,189,843,0,654,654,843,1583,19185,20768,5,62,67,1583,20028,21611
Indiana,2001,5934871,4452695,3800964,123,1197,1320,NA,NA,NA,0,0,317,317,915,0,598,598,915,1542,18509,20051,8,71,79,1542,19424,20966
Indiana,2000,5839634,4294738,3641917,80,1107,1187,NA,NA,NA,0,0,1162,1162,1754,0,592,592,1754,1452,16919,18371,3,37,40,1452,18673,20125
Indiana,1999,5810503.5,4273798.4,3621784.8,41,1183,1224,41,1183,1224,0,0,398,398,936,0,538,538,936,1222,17151,18373,0,10,10,1222,18087,19309
Indiana,1998,5781373,4252858.8,3601652.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,9,1198,17999,19197
Indiana,1997,5752242.5,4231919.2,3581520.4,NA,NA,NA,30,1293,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,8,1071,16832,17903
Indiana,1996,5723112,4210979.6,3561388.2,NA,NA,NA,70,1124,1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,1008,15952,16960
Indiana,1995,5693981.5,4190040,3541256,NA,NA,NA,20,1119,1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,892,15233,16125
Indiana,1994,5664851,4169100.4,3521123.8,NA,NA,NA,34,869,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,9,826,14188,15014
Indiana,1993,5635720.5,4148160.8,3500991.6,NA,NA,NA,24,981,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,778,13692,14470
Indiana,1992,5606590,4127221.2,3480859.4,NA,NA,NA,18,761,779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,738,13207,13945
Indiana,1991,5577459.5,4106281.6,3460727.2,NA,NA,NA,0,711,711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,10,706,13013,13719
Indiana,1990,5548329,4085342,3440595,NA,NA,NA,0,757,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,681,12055,12736
Indiana,1989,5542780.1,4063843.8,3429201.5,NA,NA,NA,0,633,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,624,11717,12341
Indiana,1988,5537231.2,4042345.6,3417808,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,10904,11406
Indiana,1987,5531682.3,4020847.4,3406414.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,10336,10827
Indiana,1986,5526133.4,3999349.2,3395021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,9771,10175
Indiana,1985,5520584.5,3977851,3383627.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,9605,10056
Indiana,1984,5515035.6,3956352.8,3372234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,8933,9328
Indiana,1983,5509486.7,3934854.6,3360840.5,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,8907,9296
Indiana,1982,5503937.8,3913356.4,3349447,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,350,8440,8790
Indiana,1981,5498388.9,3891858.2,3338053.5,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,286,7736,8022
Indiana,1980,5492840,3870360,3326660,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,241,6442,6683
Indiana,1979,5462216,3817924,3283384,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,192,5475,5667
