state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Louisiana,2016,3564536,2935832,4681666,2390206,2291460,1844753,1719783,1489542,1446290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2015,3555920,2948468,4670724,2383927,2286797,1844560,1711360,1499072,1449396,NA,NA,NA,1,91,92,25,410,435,26,501,527
Louisiana,2014,3534984,2954086,4649676,2378697,2270979,1832919,1702065,1501257,1452829,NA,NA,NA,3,123,126,30,417,447,33,540,573
Louisiana,2013,3515282,2957034,4625470,2367933,2257537,1819728,1695554,1501511,1455523,NA,NA,NA,5,145,150,37,413,450,42,558,600
Louisiana,2012,3484029,2933137,4601893,2354322,2247571,1804690,1679339,1487436,1445701,NA,NA,NA,4,150,154,23,355,378,27,505,532
Louisiana,2011,3456063,2926373,4574836,2334375,2240461,1792595,1663468,1484915,1441458,NA,NA,NA,8,127,135,26,375,401,34,502,536
Louisiana,2010,3426437,2904926,4544228,2317994,2226234,1773050,1653387,1472606,1432320,NA,NA,NA,14,117,131,52,482,534,66,599,665
Louisiana,2009,3369803,2854561,4492076,2307172,2184904,1758827,1610976,1457379,1397182,NA,NA,NA,25,131,156,60,357,417,85,488,573
Louisiana,2008,3311064,2810356,4410796,2271185,2139611,1730461,1580603,1435650,1374706,NA,NA,NA,52,406,458,NA,NA,NA,52,406,458
Louisiana,2007,3210012,2726790,4293204,2205573,2087631,1678321,1531691,1394703,1332087,0,0,0,37,475,512,0,0,0,37,475,512
Louisiana,2006,3211629,2719283,4287768,2209486,2078282,1678546,1533083,1385247,1334036,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,484,525
Louisiana,2005,3245235,2786667,4387181,2266760,2120421,1708499,1536736,1441809,1344858,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,455,488
Louisiana,2004,3222315,2762696,4383224,2280739,2102485,1707266,1515049,1438831,1323865,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,442,487
Louisiana,2003,3194605,2737873,4364568,2262801,2101767,1692681,1501924,1421912,1315961,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,469,511
Louisiana,2002,3172908,2715570,4348960,2266865,2082095,1685637,1487271,1415763,1299807,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,472,503
Louisiana,2001,3102174,2641419,4328743,2247191,2081552,1649113,1453061,1376861,1264558,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,466,514
Louisiana,2000,3121107,2648498,4321694,2236215,2085479,1653932,1467175,1373980,1274518,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,463,500
Louisiana,1999,3105716.1,2637100.5,4308365.4,2230446.6,2077918.8,1646341.8,1459374.3,1367983.5,1269117,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,355,381
Louisiana,1998,3090325.2,2625703,4295036.8,2224678.2,2070358.6,1638751.6,1451573.6,1361987,1263716,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,411,436
Louisiana,1997,3074934.3,2614305.5,4281708.2,2218909.8,2062798.4,1631161.4,1443772.9,1355990.5,1258315,NA,NA,NA,NA,NA,107,NA,NA,290,25,372,397
Louisiana,1996,3059543.4,2602908,4268379.6,2213141.4,2055238.2,1623571.2,1435972.2,1349994,1252914,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,329,347
Louisiana,1995,3044152.5,2591510.5,4255051,2207373,2047678,1615981,1428171.5,1343997.5,1247513,NA,NA,NA,NA,NA,86,NA,NA,228,15,299,314
Louisiana,1994,3028761.6,2580113,4241722.4,2201604.6,2040117.8,1608390.8,1420370.8,1338001,1242112,NA,NA,NA,NA,NA,67,NA,NA,218,11,274,285
Louisiana,1993,3013370.7,2568715.5,4228393.8,2195836.2,2032557.6,1600800.6,1412570.1,1332004.5,1236711,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,237,262
Louisiana,1992,2997979.8,2557318,4215065.2,2190067.8,2024997.4,1593210.4,1404769.4,1326008,1231310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425
Louisiana,1991,2982588.9,2545920.5,4201736.6,2184299.4,2017437.2,1585620.2,1396968.7,1320011.5,1225909,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,100
