state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Montana,2016,813878,642460,1042520,518293,524227,408883,404995,319161,323299,15,574,589,NA,NA,NA,180,180,1301,1481,1301,0,0,0,1481,229,2104,2333,0,0,0,409,3405,3814
Montana,2015,807451,641858,1032949,512871,520078,401773,405678,313458,328400,24,467,491,NA,NA,NA,157,157,1333,1490,1333,0,0,0,1490,233,1962,2195,0,0,0,390,3295,3685
Montana,2014,799474,641552,1023579,511883,511696,402265,397209,318757,322795,13,502,515,NA,NA,NA,166,166,1266,1432,1266,0,0,0,1432,222,2045,2267,0,0,0,388,3311,3699
Montana,2013,791360,642096,1015165,508501,506664,398557,392803,320857,321239,6,491,497,NA,NA,NA,209,209,1250,1459,1250,0,0,0,1459,203,1980,2183,0,0,0,412,3230,3642
Montana,2012,785253,639014,1005141,503712,501429,395150,390103,317909,321105,3,485,488,NA,NA,NA,202,202,1216,1418,1216,0,0,0,1418,197,1994,2191,0,0,0,399,3210,3609
Montana,2011,777492,638222,998199,496312,501887,388498,388994,314366,323856,11,512,523,NA,NA,NA,196,196,1222,1418,1222,0,0,0,1418,208,2052,2260,0,0,0,404,3274,3678
Montana,2010,767995,628422,990898,491e3,499898,385766,382229,310396,318026,8,542,550,NA,NA,NA,233,233,1269,1502,1269,0,0,0,1502,192,2022,2214,0,0,0,425,3291,3716
Montana,2009,754847,619430,974989,488588,486401,380724,374123,306795,312635,3,490,493,NA,NA,NA,224,224,1210,1434,1210,0,0,0,1434,167,2004,2171,NA,NA,NA,391,3214,3605
Montana,2008,740161,614409,967440,486179,481261,373623,366538,303415,310994,1,578,579,NA,NA,NA,165,165,1147,1312,1147,0,0,0,1312,194,2011,2205,NA,NA,NA,359,3158,3517
Montana,2007,729504,605401,957861,478827,479034,370521,358983,302334,303067,4,518,522,NA,NA,NA,130,130,1194,1324,1194,0,0,0,1324,168,1939,2107,NA,NA,NA,298,3133,3431
Montana,2006,727231,602017,944632,473389,471243,367376,359855,298311,303706,44,571,615,NA,NA,NA,80,80,1115,1195,1115,0,0,0,1195,274,2094,2368,NA,NA,NA,354,3209,3563
Montana,2005,699086,587238,897367,452919,444448,357895,341191,296289,290949,29,658,687,NA,NA,NA,39,39,856,895,856,0,0,0,895,315,2299,2614,0,0,0,354,3155,3509
Montana,2004,694240,582461,903109,452336,450773,351089,343151,290212,292249,29,658,687,NA,NA,NA,39,39,856,895,856,0,0,0,895,284,1985,2269,0,0,0,323,2841,3164
Montana,2003,677355,567277,892023,451366,440657,346793,330562,285200,282077,15,552,567,NA,NA,NA,135,135,924,1059,924,0,0,0,1059,284,2277,2561,0,0,0,419,3201,3620
Montana,2002,673085,563633,887655,445222,442433,339976,333109,279979,283654,16,403,419,NA,NA,NA,122,122,841,963,841,0,0,0,963,223,2137,2360,NA,NA,NA,345,2978,3323
Montana,2001,655574,548632,875841,439288,436553,332411,323163,273754,274878,27,469,496,NA,NA,NA,195,195,892,1087,892,0,0,0,1087,168,2073,2241,NA,NA,NA,363,2965,3328
Montana,2000,651340,543615,879617,440565,439052,333109,318231,272285,271330,22,526,548,NA,NA,NA,173,173,813,986,813,0,0,0,986,133,1986,2119,NA,NA,NA,306,2799,3105
Montana,1999,643522,536649.5,871287,437055.2,434231.8,329361.8,314160.2,268915.5,267734,10,520,530,0,0,0,141,138,655,793,655,3,0,3,796,122,2033,2155,0,0,0,263,2688,2951
Montana,1998,635704,529684,862957,433545.4,429411.6,325614.6,310089.4,265546,264138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,2486,2734
Montana,1997,627886,522718.5,854627,430035.6,424591.4,321867.4,306018.6,262176.5,260542,NA,NA,NA,20,193,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,2350,2541
Montana,1996,620068,515753,846297,426525.8,419771.2,318120.2,301947.8,258807,256946,NA,NA,NA,5,80,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,2109,2230
Montana,1995,612250,508787.5,837967,423016,414951,314373,297877,255437.5,253350,NA,NA,NA,0,133,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,1887,1999
Montana,1994,604432,501822,829637,419506.2,410130.8,310625.8,293806.2,252068,249754,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1671,1764
Montana,1993,596614,494856.5,821307,415996.4,405310.6,306878.6,289735.4,248698.5,246158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1474,1541
Montana,1992,588796,487891,812977,412486.6,400490.4,303131.4,285664.6,245329,242562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,1465,1548
Montana,1991,580978,480925.5,804647,408976.8,395670.2,299384.2,281593.8,241959.5,238966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1405,1478
Montana,1990,573160,473960,796317,405467,390850,295637,277523,238590,235370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1349,1425
Montana,1989,571412,474278,795881.3,404800.3,391081,294423.3,276988.7,238611,235667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,64,1264,1328
Montana,1988,569664,474596,795445.6,404133.6,391312,293209.6,276454.4,238632,235964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1214,1272
Montana,1987,567916,474914,795009.9,403466.9,391543,291995.9,275920.1,238653,236261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1160,1207
Montana,1986,566168,475232,794574.2,402800.2,391774,290782.2,275385.8,238674,236558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1069,1111
Montana,1985,564420,475550,794138.5,402133.5,392005,289568.5,274851.5,238695,236855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1090,1129
Montana,1984,562672,475868,793702.8,401466.8,392236,288354.8,274317.2,238716,237152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,929,964
